striker,batting_team,num_innings,sixes,runs,strike_rate
B Sai Sudharsan,CSK,14,7,367,146.22
Jay Gohil,LSG,9,6,154,208.11
Rituraj Sharma,DC,5,6,87,161.11
AD Russell,DC,9,6,78,159.18
Rohan Kunnummal,KKR,6,6,167,159.05
SP Narine,PBKS,5,6,119,154.55
Priyansh Arya,RCB,8,5,239,189.68
TH David,GT,7,5,106,170.97
D Brevis,GT,5,5,112,169.7
JC Buttler,SRH,7,5,125,168.92
RD Rickelton,RR,11,5,270,148.35
BJ McMullen,DC,7,5,98,146.27
N Rana,PBKS,8,5,190,134.75
TP Ura,PBKS,5,4,100,185.19
Karan Shinde,DC,6,4,64,182.86
Parth Chandan,DC,2,4,58,170.59
Ramandeep Singh,KKR,5,4,98,166.1
WL Madsen,KKR,4,4,112,160.0
MW Short,SRH,5,4,97,144.78
SR Watson,LSG,5,4,67,142.55
F du Plessis,CSK,3,4,96,133.33
AJ Hosein,MI,6,4,45,128.57
T Stubbs,PBKS,9,4,92,124.32
RR Rossouw,PBKS,5,4,112,113.13
Akhil Singh Rawat,KKR,3,3,67,203.03
Rishabh Chouhan,GT,4,3,74,194.74
Sanvir Singh,PBKS,4,3,54,174.19
Nithish Kumar Reddy,GT,6,3,94,140.3
J Overton,GT,6,3,33,122.22
AK Markram,DC,8,3,103,119.77
Suryansh Shedge,KKR,5,3,60,115.38
JJ Smit,PBKS,2,2,21,300.0
RA Jadeja,LSG,1,2,16,200.0
Akshat Raghuwanshi,RCB,3,2,55,183.33
T Banton,SRH,4,2,57,162.86
SS Iyer,MI,9,2,168,147.37
BA Stokes,RR,3,2,43,143.33
A Manohar,MI,4,2,46,139.39
Salman Nizar,KKR,4,2,57,132.56
GF Linde,GT,8,2,50,128.21
MS Pepper,KKR,3,2,74,123.33
KA Pollard,CSK,5,2,59,122.92
JM Coles,MI,4,2,37,119.35
AB de Villiers,CSK,7,2,76,118.75
V Kohli,RR,10,2,85,107.59
SS Ghosh,RCB,4,2,20,90.91
KA Maharaj,RCB,4,2,47,72.31
Imran Tahir,RCB,1,1,8,266.67
RE van der Merwe,CSK,3,1,17,212.5
Vidyadhar Patil,SRH,2,1,14,200.0
Taskin Ahmed,MI,2,1,7,175.0
BM Duckett,KKR,4,1,60,150.0
JN Loftie-Eaton,RR,3,1,15,150.0
M Shahrukh Khan,MI,3,1,30,142.86
RK Singh,GT,4,1,34,141.67
Sanskar Rawat,PBKS,2,1,7,140.0
Tripuresh Singh,SRH,3,1,19,135.71
SE Rutherford,DC,1,1,20,133.33
R Sai Kishore,SRH,3,1,23,127.78
Saim Ayub,SRH,3,1,43,126.47
S Lamichhane,KKR,3,1,21,123.53
Ashutosh Sharma,GT,4,1,49,119.51
Anand Bais,DC,1,1,13,118.18
Tejaswi Dahiya,LSG,2,1,31,110.71
Tanay Thyagarajan,CSK,4,1,14,107.69
Yashvardhan Dalal,DC,2,1,28,100.0
Jay Bista,KKR,2,1,21,100.0
HJ Manenti,RCB,2,1,19,100.0
AHT Donald,PBKS,3,1,15,100.0
JG Bethell,GT,1,1,30,90.91
JC Archer,LSG,2,1,8,88.89
Shaheen Shah Afridi,DC,2,1,7,87.5
Sonu Yadav,CSK,5,1,14,82.35
Utkarsh Singh,PBKS,4,1,11,68.75
