partners,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb,50s/100s
Hassan Nawaz  - PD Salt,186,116,6,16,5,160.34,31.0,5.52,-/-
Ashutosh Sharma  - PD Salt,185,99,9,13,11,186.87,20.56,4.12,-/-
DA Miller  - GJ Maxwell,185,130,5,11,6,142.31,37.0,7.65,-/-
RM Patidar  - Tilak Varma,184,121,5,14,9,152.07,36.8,5.26,-/-
Atharva Taide  - MW Short,184,105,4,22,5,175.24,46.0,3.89,-/-
PD Salt  - SO Hetmyer,183,117,4,14,9,156.41,45.75,5.09,-/-
BM Duckett  - Tilak Varma,183,120,7,11,9,152.5,26.14,6.0,-/-
KD Karthik  - N Pooran,182,112,3,9,11,162.5,60.67,5.6,0/1
KA Pollard  - MS Dhoni,180,102,3,11,10,176.47,60.0,4.86,-/-
Chirag Jani  - Smaran Ravichandran,180,101,6,18,5,178.22,30.0,4.39,-/-
Shashank Singh  - Washington Sundar,178,118,11,8,10,150.85,16.18,6.56,-/-
Sameer Rizvi  - Shubman Gill,176,96,4,14,7,183.33,44.0,4.57,-/-
B Sai Sudharsan  - J Fraser-McGurk,173,118,5,13,6,146.61,34.6,6.21,-/-
JC Buttler  - RD Rickelton,171,98,6,11,8,174.49,28.5,5.16,-/-
DJ Hooda  - Nithish Kumar Reddy,171,115,8,8,10,148.7,21.38,6.39,-/-
Ishan Kishan  - TM Head,170,108,5,13,8,157.41,34.0,5.14,-/-
Anmolpreet Singh  - Tilak Varma,170,88,6,15,9,193.18,28.33,3.67,-/-
AR Patel  - Tilak Varma,168,103,6,11,9,163.11,28.0,5.15,-/-
AD Russell  - SA Yadav,168,91,6,14,9,184.62,28.0,3.96,-/-
H Klaasen  - V Suryavanshi,167,110,6,13,9,151.82,27.83,5.0,0/1
MP Stoinis  - RG Sharma,167,106,8,16,7,157.55,20.88,4.61,-/-
MP Stoinis  - V Suryavanshi,167,103,3,9,8,162.14,55.67,6.06,0/1
CH Gayle  - KA Pollard,166,104,4,14,7,159.62,41.5,4.95,-/-
Abishek Porel  - Sikandar Raza,165,99,3,12,9,166.67,55.0,4.71,0/1
AK Markram  - P Simran Singh,165,109,4,16,5,151.38,41.25,5.19,-/-
Naman Dhir  - Rashid Khan,165,114,3,11,8,144.74,55.0,6.0,-/-
RD Gaikwad  - SO Hetmyer,164,103,2,15,6,159.22,82.0,4.9,-/-
MJ Owen  - V Kohli,164,85,5,15,7,192.94,32.8,3.86,-/-
AK Markram  - SA Yadav,163,103,7,12,7,158.25,23.29,5.42,-/-
DP Conway  - Nithish Kumar Reddy,163,96,4,8,11,169.79,40.75,5.05,-/-
H Klaasen  - Tilak Varma,163,96,4,13,7,169.79,40.75,4.8,-/-
SP Narine  - SS Iyer,163,95,7,5,11,171.58,23.29,5.94,-/-
C Green  - RD Gaikwad,163,108,5,12,8,150.93,32.6,5.4,-/-
Abishek Porel  - BJ McMullen,161,75,3,11,11,214.67,53.67,3.41,-/-
Abishek Porel  - Tarang Gohel,161,88,3,15,6,182.95,53.67,4.19,0/1
CH Gayle  - Usman Khan (2),161,98,2,15,6,164.29,80.5,4.67,0/1
Azmatullah Omarzai  - S Dube,161,87,2,11,8,185.06,80.5,4.58,-/-
Tanush Kotian  - Tilak Varma,159,75,3,21,5,212.0,53.0,2.88,0/1
AD Russell  - MJ Owen,159,83,2,12,9,191.57,79.5,3.95,-/-
AHT Donald  - PD Salt,159,90,7,17,7,176.67,22.71,3.75,-/-
D Brevis  - YBK Jaiswal,157,101,7,15,6,155.45,22.43,4.81,-/-
Ishan Kishan  - N Pooran,157,102,5,11,6,153.92,31.4,6.0,-/-
JM Sharma  - Rahul Singh,156,86,6,14,9,181.4,26.0,3.74,-/-
RM Patidar  - YK Pathan,156,91,5,8,11,171.43,31.2,4.79,-/-
C Green  - RK Singh,156,83,3,14,7,187.95,52.0,3.95,-/-
Arshad Khan  - YBK Jaiswal,154,62,2,12,11,248.39,77.0,2.7,-/-
PD Salt  - Priyansh Arya,154,75,3,19,6,205.33,51.33,3.0,1/1
RG Sharma  - Smaran Ravichandran,153,97,5,16,4,157.73,30.6,4.85,-/-
B Sai Sudharsan  - C Green,153,87,3,17,5,175.86,51.0,3.95,-/-
Ishan Kishan  - SM Curran,152,106,3,17,4,143.4,50.67,5.05,-/-
Anmolpreet Singh  - F du Plessis,152,111,3,9,4,136.94,50.67,8.54,-/-
AJ Turner  - WL Madsen,151,100,2,14,2,151.0,75.5,6.25,-/-
FH Allen  - Shashwat Rawat,151,88,4,23,2,171.59,37.75,3.52,-/-
HS Desai  - V Suryavanshi,151,98,3,15,5,154.08,50.33,4.9,0/1
Ramandeep Singh  - Sameer Rizvi,150,92,4,12,7,163.04,37.5,4.84,-/-
Priyansh Arya  - VR Iyer,150,88,5,8,7,170.45,30.0,5.87,-/-
RA Tripathi  - SP Narine,149,122,5,17,1,122.13,29.8,6.78,-/-
A Badoni  - PD Salt,145,130,8,14,2,111.54,18.12,8.12,-/-
Babar Azam  - MP Stoinis,144,89,4,12,6,161.8,36.0,4.94,0/1
D Brevis  - Q de Kock,144,96,3,12,8,150.0,48.0,4.8,0/1
Anmolpreet Singh  - KA Pollard,143,81,2,13,7,176.54,71.5,4.05,-/-
JM Bairstow  - RR Pant,143,91,5,17,4,157.14,28.6,4.33,-/-
MJ Owen  - N Sindhu,142,81,8,13,6,175.31,17.75,4.26,-/-
GJ Maxwell  - Tarang Gohel,141,80,2,12,6,176.25,70.5,4.44,-/-
AD Russell  - RA Jadeja,140,74,3,10,7,189.19,46.67,4.35,-/-
D Wiese  - GD Phillips,140,60,3,11,9,233.33,46.67,3.0,-/-
AM Rahane  - JM Bairstow,140,103,5,15,1,135.92,28.0,6.44,-/-
MP Stoinis  - RR Pant,139,94,3,8,7,147.87,46.33,6.27,-/-
N Wadhera  - RM Patidar,137,92,6,9,6,148.91,22.83,6.13,-/-
KL Rahul  - RR Rossouw,137,85,3,12,6,161.18,45.67,4.72,-/-
Abhishek Sharma  - HH Pandya,136,96,8,16,3,141.67,17.0,5.05,-/-
DA Warner  - V Kohli,136,84,6,16,5,161.9,22.67,4.0,-/-
Anmolpreet Singh  - T Stubbs,135,75,4,8,8,180.0,33.75,4.69,-/-
N Pooran  - T Banton,135,72,4,8,8,187.5,33.75,4.5,-/-
Abhishek Sharma  - RK Singh,135,108,1,11,5,125.0,135.0,6.75,0/1
Shashank Singh  - Utkarsh Singh,134,60,3,5,13,223.33,44.67,3.33,-/-
KA Pollard  - TM Head,134,94,4,9,4,142.55,33.5,7.23,-/-
FH Allen  - PP Shaw,134,86,5,10,7,155.81,26.8,5.06,-/-
JM Sharma  - PP Shaw,132,77,4,8,6,171.43,33.0,5.5,-/-
C Green  - Q de Kock,131,94,3,12,2,139.36,43.67,6.71,-/-
AD Russell  - V Kohli,131,97,5,11,4,135.05,26.2,6.47,-/-
Smaran Ravichandran  - TP Ura,131,87,5,13,2,150.57,26.2,5.8,-/-
Abhishek Sharma  - MW Short,130,83,5,12,5,156.63,26.0,4.88,-/-
D Padikkal  - Ishan Kishan,130,96,2,7,7,135.42,65.0,6.86,-/-
Nithish Kumar Reddy  - R Parag,130,76,4,8,6,171.05,32.5,5.43,-/-
Aniket Verma  - BJ McMullen,130,68,8,14,6,191.18,16.25,3.4,-/-
Atharva Taide  - N Pooran,130,90,5,10,1,144.44,26.0,8.18,-/-
N Rana  - R Ashwin,129,84,5,5,8,153.57,25.8,6.46,-/-
C Green  - JM Sharma,129,59,4,12,7,218.64,32.25,3.11,-/-
BM Duckett  - VR Iyer,129,78,2,7,6,165.38,64.5,6.0,0/1
BM Duckett  - Smaran Ravichandran,129,83,3,12,3,155.42,43.0,5.53,-/-
HC Brook  - TM Head,128,79,1,12,4,162.03,128.0,4.94,0/1
PD Salt  - RK Singh,128,86,7,10,4,148.84,18.29,6.14,-/-
DP Conway  - V Suryavanshi,126,87,6,14,3,144.83,21.0,5.12,-/-
MP Stoinis  - Smaran Ravichandran,126,96,5,9,3,131.25,25.2,8.0,-/-
JG Bethell  - MK Lomror,126,79,3,9,7,159.49,42.0,4.94,-/-
Abhishek Sharma  - Akash Vasisht,124,81,5,11,4,153.09,24.8,5.4,-/-
Dhruv Jurel  - RA Jadeja,122,63,4,7,9,193.65,30.5,3.94,-/-
Aniket Verma  - D Brevis,122,56,1,9,9,217.86,122.0,3.11,-/-
KA Pollard  - Suryansh Shedge,121,67,5,6,8,180.6,24.2,4.79,-/-
BJ McMullen  - D Brevis,121,96,4,9,3,126.04,30.25,8.0,-/-
H Klaasen  - MP Stoinis,121,79,4,12,2,153.16,30.25,5.64,-/-
HC Brook  - N Pooran,121,77,4,3,8,157.14,30.25,7.0,-/-
Abdul Samad  - N Wadhera,120,72,2,9,6,166.67,60.0,4.8,-/-
AB de Villiers  - GJ Maxwell,120,83,7,9,7,144.58,17.14,5.19,-/-
BM Duckett  - V Suryavanshi,119,85,4,12,5,140.0,29.75,5.0,-/-
Shahbaz Ahmed  - Shubman Gill,119,82,3,2,9,145.12,39.67,7.45,-/-
N Wadhera  - YBK Jaiswal,118,73,5,10,6,161.64,23.6,4.56,-/-
FH Allen  - SS Iyer,118,81,4,4,6,145.68,29.5,8.1,-/-
HH Pandya  - WL Madsen,118,72,4,8,6,163.89,29.5,5.14,-/-
BA Stokes  - Dhruv Jurel,117,63,2,10,7,185.71,58.5,3.71,-/-
Suryansh Shedge  - Tilak Varma,117,67,6,7,10,174.63,19.5,3.94,-/-
J Fraser-McGurk  - RK Singh,117,66,2,5,7,177.27,58.5,5.5,-/-
DP Conway  - Smaran Ravichandran,117,94,3,5,2,124.47,39.0,13.43,-/-
Nithish Kumar Reddy  - Shadab Khan,116,62,3,10,6,187.1,38.67,3.88,-/-
AB de Villiers  - Aniket Verma,116,52,3,5,8,223.08,38.67,4.0,-/-
MP Stoinis  - Washington Sundar,115,82,4,8,4,140.24,28.75,6.83,-/-
Bilal Zalmai  - RK Singh,114,68,1,8,5,167.65,114.0,5.23,0/1
Smaran Ravichandran  - Washington Sundar,113,96,5,4,7,117.71,22.6,8.73,-/-
CH Gayle  - SPD Smith,112,71,3,6,8,157.75,37.33,5.07,-/-
