bowler,franchise,wkts,Eco,SR,overs,3fers/5fers,best_performance
KH Pandya,SRH,34,8.91,25.59,145.0,1/0,4-30 (24)
Mayank Dagar,LSG,5,9.92,15.6,13.0,0/0,2-28 (24)
Mayank Dagar,RR,31,9.66,19.48,100.4,3/0,4-27 (24)
Swapnil Singh,CSK,4,10.53,22.5,15.0,0/0,2-32 (18)
Swapnil Singh,GT,8,10.67,18.0,24.0,0/0,2-38 (24)
Swapnil Singh,RR,24,9.83,18.42,73.4,4/0,3-29 (24)
Mohammed Shami,GT,21,9.12,24.29,85.0,1/0,3-35 (24)
Mohammed Shami,LSG,4,10.25,24.0,16.0,0/0,2-36 (24)
Mohammed Shami,PBKS,10,9.92,22.8,38.0,0/0,2-34 (24)
BA Stokes,LSG,27,8.96,20.0,90.0,5/0,4-47 (24)
BA Stokes,RR,2,9.13,45.0,15.0,0/0,2-39 (24)
BA Stokes,SRH,5,12.22,21.6,18.0,1/0,3-57 (24)
SH Johnson,GT,13,8.46,11.46,24.5,2/0,4-20 (21)
SH Johnson,SRH,21,9.58,16.52,57.5,2/0,3-10 (12)
Akash Vasisht,DC,15,8.68,22.4,56.0,2/0,4-26 (24)
Akash Vasisht,MI,14,8.26,9.86,23.0,3/0,3-15 (12)
Akash Vasisht,SRH,4,9.17,36.0,24.0,0/0,2-22 (18)
Ravi Teja,LSG,12,9.53,19.0,38.0,1/0,3-37 (24)
Ravi Teja,RCB,21,8.46,14.19,49.4,3/0,3-12 (18)
Arshad Khan,DC,11,11.07,14.73,27.0,1/0,3-38 (24)
Arshad Khan,KKR,7,9.0,30.86,36.0,0/0,2-16 (24)
Arshad Khan,RR,14,10.93,25.29,59.0,0/0,2-19 (12)
Imran Tahir,CSK,30,9.03,13.33,66.4,5/0,4-16 (24)
Imran Tahir,MI,2,11.0,33.0,11.0,0/0,1-43 (24)
Jagjit Singh,CSK,24,9.55,20.62,82.3,2/0,3-25 (24)
Jagjit Singh,SRH,8,9.11,21.25,28.2,0/0,2-18 (20)
GF Linde,GT,22,9.55,16.23,59.3,2/1,5-35 (24)
GF Linde,RR,8,9.03,25.5,34.0,0/0,2-32 (24)
DAJ Bracewell,MI,16,9.39,14.25,38.0,1/0,3-36 (24)
DAJ Bracewell,RCB,13,10.4,21.38,46.2,1/0,3-41 (24)
Sikandar Raza,DC,15,8.61,33.13,82.5,0/0,2-17 (17)
Sikandar Raza,MI,14,10.66,16.29,38.0,2/0,4-51 (24)
V Nigam,GT,18,10.12,20.89,62.4,1/0,3-32 (22)
V Nigam,MI,11,8.91,18.0,33.0,1/0,3-26 (18)
HJ Manenti,CSK,13,9.52,10.62,23.0,2/0,4-21 (18)
HJ Manenti,PBKS,15,10.06,11.33,28.2,1/1,5-41 (24)
Mustafizur Rahman,DC,28,9.4,21.21,99.0,2/0,3-29 (24)
Mustafizur Rahman,MI,0,12.25,inf,4.0,0/0,0-49 (24)
PHKD Mendis,DC,3,9.94,36.0,18.0,0/0,2-9 (12)
PHKD Mendis,KKR,7,7.43,16.14,18.5,1/0,3-15 (17)
PHKD Mendis,SRH,18,10.37,18.17,54.3,1/0,3-22 (12)
Harsh Dubey,LSG,3,11.67,24.0,12.0,1/0,3-36 (24)
Harsh Dubey,RCB,9,8.48,18.0,27.0,1/0,3-42 (24)
Harsh Dubey,RR,15,11.26,12.4,31.0,2/0,4-50 (24)
Harpreet Brar,GT,0,12.25,inf,8.0,0/0,0-45 (24)
Harpreet Brar,PBKS,1,10.5,24.0,4.0,0/0,1-32 (18)
Harpreet Brar,RCB,25,8.9,27.64,115.1,1/0,3-27 (24)
Harpreet Brar,RR,0,11.57,inf,7.0,0/0,0-40 (18)
A Nortje,LSG,4,8.39,34.5,23.0,0/0,2-40 (24)
A Nortje,RCB,20,10.2,19.0,63.2,3/0,4-36 (24)
V Puthur,DC,15,9.19,18.8,47.0,1/0,3-31 (18)
V Puthur,LSG,9,10.33,12.0,18.0,0/0,2-27 (18)
Harshit Rana,CSK,5,8.63,22.8,19.0,0/0,2-22 (18)
Harshit Rana,KKR,9,9.3,19.0,28.3,1/0,3-39 (21)
Harshit Rana,PBKS,7,7.59,23.14,27.0,0/0,2-16 (18)
Harshit Rana,SRH,0,11.82,inf,11.0,0/0,0-40 (24)
M Markande,LSG,5,8.4,30.0,25.0,0/0,2-23 (24)
M Markande,PBKS,12,8.4,26.5,53.0,2/0,3-24 (24)
M Markande,SRH,4,8.89,28.5,19.0,0/0,2-21 (18)
Yash Thakur,CSK,11,10.0,22.09,40.3,1/0,3-11 (15)
Yash Thakur,PBKS,10,9.05,27.3,45.3,1/0,3-21 (24)
Yudhvir Singh,GT,7,9.18,24.0,28.0,0/0,2-30 (24)
Yudhvir Singh,RCB,13,10.26,21.23,46.0,0/0,2-21 (18)
