striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
N Wadhera,RR,8,125,76,5,7,9,28,164.47,15.2,25.0,4.75,36.84,147.01,61 (39),2-1-0,32
Abdul Samad,LSG,7,120,68,2,11,6,18,176.47,34.0,60.0,4.0,26.47,167.6,49 (20),1-0-0,34
GD Phillips,GT,5,118,67,2,10,5,14,176.12,33.5,59.0,4.47,20.9,167.46,39 (33),2-0-0,38
RA Jadeja,DC,7,117,56,4,7,9,17,208.93,14.0,29.25,3.5,30.36,172.28,43 (18),1-0-0,26
F du Plessis,CSK,3,112,85,3,12,2,28,131.76,28.33,37.33,6.07,32.94,128.52,62 (38),2-1-0,45
WG Jacks,LSG,7,110,74,6,5,7,26,148.65,12.33,18.33,6.17,35.14,127.26,27 (20),0-0-0,39
Kartik Sharma,LSG,5,107,71,4,5,4,25,150.7,17.75,26.75,7.89,35.21,126.19,47 (25),2-0-0,40
DAJ Bracewell,MI,5,94,56,4,8,5,19,167.86,14.0,23.5,4.31,33.93,133.67,46 (22),2-0-0,25
HC Brook,PBKS,4,87,53,4,6,6,23,164.15,13.25,21.75,4.42,43.4,121.97,67 (39),1-1-0,20
Salman Nizar,PBKS,4,83,57,3,7,3,14,145.61,19.0,27.67,5.7,24.56,121.09,41 (28),2-0-0,33
Nithish Kumar Reddy,GT,5,83,67,3,9,1,28,123.88,22.33,27.67,6.7,41.79,99.74,25 (21),0-0-0,33
Jay Gohil,MI,7,81,60,3,4,4,22,135.0,20.0,27.0,7.5,36.67,105.66,44* (29),1-0-0,32
BA Stokes,LSG,5,78,52,3,9,0,18,150.0,17.33,26.0,5.78,34.62,112.79,47 (25),1-0-0,27
AJ Turner,MI,5,75,67,3,5,0,25,111.94,22.33,25.0,13.4,37.31,87.23,34* (23),1-0-0,42
Akash Vasisht,MI,6,70,49,6,8,3,24,142.86,8.17,11.67,4.45,48.98,95.86,40 (29),1-0-0,16
A Raghuvanshi,KKR,5,66,44,5,7,4,27,150.0,8.8,13.2,4.0,61.36,91.83,31 (19),1-0-0,7
JG Bethell,SRH,3,66,44,3,4,4,13,150.0,14.67,22.0,5.5,29.55,109.7,53 (35),1-1-0,23
DP Conway,GT,3,66,46,3,5,2,16,143.48,15.33,22.0,6.57,34.78,101.4,52 (35),1-1-0,24
R Ashwin,KKR,6,62,40,2,2,5,12,155.0,20.0,31.0,5.71,30.0,112.26,23* (17),0-0-0,22
J Fraser-McGurk,RCB,3,59,35,2,4,3,6,168.57,17.5,29.5,5.0,17.14,124.75,21* (14),0-0-0,23
M Jansen,RR,4,55,31,2,3,5,13,177.42,15.5,27.5,3.88,41.94,114.93,36 (20),1-0-0,10
Yuvraj Chaudhary,RCB,3,53,29,3,4,3,9,182.76,9.67,17.67,4.14,31.03,118.67,38 (19),1-0-0,15
MA Agarwal,CSK,4,51,24,2,5,4,10,212.5,12.0,25.5,2.67,41.67,0.0,25* (8),0-0-0,6
A Badoni,SRH,3,49,27,2,7,1,9,181.48,13.5,24.5,3.38,33.33,119.03,26 (15),0-0-0,10
DS Airee,RCB,2,46,24,2,5,2,6,191.67,12.0,23.0,3.43,25.0,0.0,32 (13),1-0-0,11
DJ Hooda,GT,4,45,38,4,5,0,14,118.42,9.5,11.25,7.6,36.84,72.18,18 (16),0-0-0,19
R Shepherd,GT,8,42,30,7,2,4,16,140.0,4.29,6.0,5.0,53.33,73.65,20 (9),0-0-0,8
TH David,LSG,2,40,26,1,3,2,9,153.85,26.0,40.0,5.2,34.62,100.52,24 (15),0-0-0,13
Harpreet Brar,RCB,5,36,26,4,3,2,13,138.46,6.5,9.0,5.2,50.0,71.85,18 (12),0-0-0,9
K Gowtham,DC,3,36,28,2,0,3,11,128.57,14.0,18.0,9.33,39.29,72.57,21 (15),0-0-0,15
RS Hangargekar,RCB,4,35,15,1,6,0,3,233.33,15.0,35.0,2.5,20.0,0.0,15* (4),0-0-0,6
Yudhvir Singh,GT,4,34,17,0,2,2,4,200.0,inf,inf,4.25,23.53,0.0,15* (4),0-0-0,9
KH Pandya,SRH,7,34,30,6,5,0,16,113.33,5.0,5.67,6.0,53.33,53.75,10 (12),0-0-0,9
A Mhatre,KKR,4,33,31,4,3,1,14,106.45,7.75,8.25,7.75,45.16,54.21,31 (23),1-0-0,13
MM Ali,KKR,5,32,43,5,2,1,25,74.42,8.6,6.4,14.33,58.14,27.12,19 (23),0-0-0,15
Rashid Khan,GT,4,31,27,2,3,1,14,114.81,13.5,15.5,6.75,51.85,57.2,12* (5),0-0-0,11
MG Bracewell,DC,5,30,22,3,4,0,7,136.36,7.33,10.0,5.5,31.82,0.0,13* (7),0-0-0,12
SB Dubey,GT,2,29,20,1,3,1,8,145.0,20.0,29.0,5.0,40.0,0.0,20* (13),0-0-0,8
R Sai Kishore,GT,5,28,19,3,1,3,10,147.37,6.33,9.33,4.75,52.63,0.0,17* (9),0-0-0,5
HV Patel,PBKS,2,27,20,1,1,2,7,135.0,20.0,27.0,6.67,35.0,0.0,25* (14),0-0-0,10
Tanush Kotian,SRH,3,27,20,2,2,2,9,135.0,10.0,13.5,5.0,45.0,0.0,27* (18),0-0-0,7
RG Sharma,PBKS,2,27,33,2,2,0,15,81.82,16.5,13.5,16.5,45.45,38.92,18 (22),0-0-0,17
JO Holder,SRH,2,26,11,1,2,2,2,236.36,11.0,26.0,2.75,18.18,0.0,18* (6),0-0-0,5
Azmatullah Omarzai,RR,1,25,13,0,4,0,2,192.31,inf,inf,3.25,15.38,0.0,25* (13),0-0-0,8
MK Lomror,SRH,3,25,27,3,1,1,14,92.59,9.0,8.33,13.5,51.85,36.64,13 (12),0-0-0,11
DS Rathi,KKR,3,24,12,2,3,1,6,200.0,6.0,12.0,3.0,50.0,0.0,11 (6),0-0-0,5
Shakib Al Hasan,PBKS,5,24,26,4,2,1,14,92.31,6.5,6.0,8.67,53.85,35.86,10 (12),0-0-0,9
Ramandeep Singh,LSG,4,23,13,2,1,2,3,176.92,6.5,11.5,4.33,23.08,0.0,18* (5),0-0-0,7
Sumit Kumar,DC,2,22,24,2,2,1,14,91.67,12.0,11.0,8.0,58.33,0.0,14 (14),0-0-0,7
Samarth Vyas,MI,1,21,16,1,2,2,12,131.25,16.0,21.0,4.0,75.0,0.0,21 (16),0-0-0,1
AJ Tye,DC,4,21,20,1,1,1,10,105.0,20.0,21.0,10.0,50.0,0.0,10* (8),0-0-0,9
Umran Malik,MI,2,20,9,1,3,1,4,222.22,9.0,20.0,2.25,44.44,0.0,16 (7),0-0-0,1
Fazalhaq Farooqi,CSK,1,17,18,1,1,0,10,94.44,18.0,17.0,18.0,55.56,0.0,17 (18),0-0-0,8
K Kartikeya,GT,2,16,6,0,2,0,0,266.67,inf,inf,3.0,0.0,0.0,9* (4),0-0-0,4
CV Varun,PBKS,3,16,13,2,2,0,4,123.08,6.5,8.0,6.5,30.77,0.0,13 (8),0-0-0,7
Suyash Sharma,MI,2,15,8,0,0,1,2,187.5,inf,inf,8.0,25.0,0.0,12* (5),0-0-0,5
M Theekshana,MI,1,15,11,1,1,1,6,136.36,11.0,15.0,5.5,54.55,0.0,15 (11),0-0-0,3
MA Starc,KKR,4,15,23,3,2,0,15,65.22,7.67,5.0,11.5,65.22,0.0,13 (12),0-0-0,6
YS Chahal,RCB,3,13,11,1,1,1,6,118.18,11.0,13.0,5.5,54.55,0.0,12* (9),0-0-0,3
Kuldeep Yadav,SRH,4,13,19,3,0,1,11,68.42,6.33,4.33,19.0,57.89,0.0,8 (7),0-0-0,7
Mohammed Siraj,RCB,2,12,5,0,1,1,1,240.0,inf,inf,2.5,20.0,0.0,11* (4),0-0-0,2
D Padikkal,GT,2,12,8,2,1,1,4,150.0,4.0,6.0,4.0,50.0,0.0,12 (7),0-0-0,2
G Coetzee,KKR,1,12,10,0,1,0,2,120.0,inf,inf,10.0,20.0,0.0,12* (10),0-0-0,7
JR Hazlewood,RR,3,12,16,1,0,0,9,75.0,16.0,12.0,inf,56.25,0.0,7 (10),0-0-0,7
Sanvir Singh,SRH,1,11,7,1,2,0,3,157.14,7.0,11.0,3.5,42.86,0.0,11 (7),0-0-0,2
PJ Cummins,PBKS,2,11,9,1,0,1,3,122.22,9.0,11.0,9.0,33.33,0.0,8* (4),0-0-0,5
R Tewatia,RR,2,11,11,2,1,0,5,100.0,5.5,5.5,11.0,45.45,0.0,11 (9),0-0-0,5
Swapnil Singh,RR,1,10,8,1,2,0,4,125.0,8.0,10.0,4.0,50.0,0.0,10 (8),0-0-0,2
Ravi Bishnoi,PBKS,3,10,9,1,1,1,8,111.11,9.0,10.0,4.5,88.89,0.0,6* (3),0-0-0,0
CJ Green,RCB,1,10,10,1,0,1,8,100.0,10.0,10.0,10.0,80.0,0.0,10 (10),0-0-0,2
TU Deshpande,RR,1,10,11,1,0,1,8,90.91,11.0,10.0,11.0,72.73,0.0,10 (11),0-0-0,3
TA Boult,MI,4,10,15,2,1,0,9,66.67,7.5,5.0,15.0,60.0,0.0,5 (4),0-0-0,5
V Nigam,GT,1,9,3,0,0,1,1,300.0,inf,inf,3.0,33.33,0.0,9* (3),0-0-0,2
Rasikh Salam,GT,2,9,4,1,0,1,2,225.0,4.0,9.0,4.0,50.0,0.0,9 (3),0-0-0,1
A Manohar,GT,2,9,9,1,0,0,2,100.0,9.0,9.0,inf,22.22,0.0,7 (7),0-0-0,7
M Shahrukh Khan,RCB,1,9,10,1,1,0,6,90.0,10.0,9.0,10.0,60.0,0.0,9 (10),0-0-0,4
Noor Ahmad,RCB,3,9,13,1,0,1,11,69.23,13.0,9.0,13.0,84.62,0.0,6* (1),0-0-0,1
Harshit Rana,CSK,3,9,15,1,0,0,9,60.0,15.0,9.0,inf,60.0,0.0,4* (8),0-0-0,6
GF Linde,RR,2,8,4,1,0,1,1,200.0,4.0,8.0,4.0,25.0,0.0,6* (1),0-0-0,2
Mujeeb Ur Rahman,CSK,1,8,4,0,0,1,2,200.0,inf,inf,4.0,50.0,0.0,8* (4),0-0-0,1
Atharva Ankolekar,MI,1,7,4,1,0,1,2,175.0,4.0,7.0,4.0,50.0,0.0,7 (4),0-0-0,1
M Markande,PBKS,2,7,7,1,0,1,5,100.0,7.0,7.0,7.0,71.43,0.0,6* (5),0-0-0,1
LH Ferguson,MI,1,7,8,1,1,0,6,87.5,8.0,7.0,8.0,75.0,0.0,7 (8),0-0-0,2
VG Arora,KKR,2,6,2,1,0,1,1,300.0,2.0,6.0,2.0,50.0,0.0,6* (1),0-0-0,0
A Nortje,RCB,1,6,4,0,1,0,1,150.0,inf,inf,4.0,25.0,0.0,6* (4),0-0-0,2
PN Mankad,SRH,1,6,5,1,0,0,1,120.0,5.0,6.0,inf,20.0,0.0,6 (5),0-0-0,4
JJ Bumrah,MI,2,6,7,1,1,0,5,85.71,7.0,6.0,7.0,71.43,0.0,6* (5),0-0-0,2
Mohammad Nabi,GT,4,6,8,3,1,0,5,75.0,2.67,2.0,8.0,62.5,0.0,5 (4),0-0-0,2
M Prasidh Krishna,DC,3,5,6,0,0,0,1,83.33,inf,inf,inf,16.67,0.0,2* (2),0-0-0,5
D Brevis,PBKS,1,5,7,1,0,0,2,71.43,7.0,5.0,inf,28.57,0.0,5 (7),0-0-0,5
A Mishra,CSK,1,4,2,1,1,0,1,200.0,2.0,4.0,2.0,50.0,0.0,4 (2),0-0-0,0
MP Yadav,CSK,2,4,5,1,0,0,2,80.0,5.0,4.0,inf,40.0,0.0,4* (4),0-0-0,3
Avesh Khan,DC,2,4,13,1,0,0,11,30.77,13.0,4.0,inf,84.62,0.0,4 (12),0-0-0,2
JC Archer,LSG,2,4,14,1,0,0,11,28.57,14.0,4.0,inf,78.57,0.0,2* (8),0-0-0,3
AS Roy,SRH,2,3,4,1,0,0,3,75.0,4.0,3.0,inf,75.0,0.0,2 (3),0-0-0,2
DA Miller,PBKS,1,3,5,1,0,0,2,60.0,5.0,3.0,inf,40.0,0.0,3 (5),0-0-0,3
CJ Jordan,GT,2,3,7,1,0,0,4,42.86,7.0,3.0,inf,57.14,0.0,3* (4),0-0-0,3
M Pathirana,RCB,1,3,7,0,0,0,4,42.86,inf,inf,inf,57.14,0.0,3* (7),0-0-0,3
SH Johnson,SRH,1,2,1,0,0,0,0,200.0,inf,inf,inf,0.0,0.0,2* (1),0-0-0,1
A Zampa,SRH,3,2,6,0,0,0,4,33.33,inf,inf,inf,66.67,0.0,1* (2),0-0-0,2
Arshdeep Singh,LSG,1,2,6,1,0,0,4,33.33,6.0,2.0,inf,66.67,0.0,2 (6),0-0-0,2
C Sakariya,SRH,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
Jagjit Singh,CSK,1,1,1,0,0,0,1,100.0,inf,inf,inf,100.0,0.0,1* (1),0-0-0,1
Mukesh Kumar,GT,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
Sandeep Sharma,RR,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
Ashwani Kumar,RR,1,1,2,1,0,0,1,50.0,2.0,1.0,inf,50.0,0.0,1 (2),0-0-0,1
Mohammed Shami,PBKS,1,1,2,0,0,0,1,50.0,inf,inf,inf,50.0,0.0,1* (2),0-0-0,1
T Natarajan,CSK,2,1,2,0,0,0,1,50.0,inf,inf,inf,50.0,0.0,1* (1),0-0-0,1
NT Ellis,LSG,1,1,3,0,0,0,2,33.33,inf,inf,inf,66.67,0.0,1* (3),0-0-0,1
Sikandar Raza,DC,1,1,3,0,0,0,2,33.33,inf,inf,inf,66.67,0.0,1* (3),0-0-0,1
B Kumar,KKR,3,1,6,3,0,0,5,16.67,2.0,0.33,inf,83.33,0.0,1 (4),0-0-0,1
R Powell,KKR,1,1,6,1,0,0,6,16.67,6.0,1.0,inf,100.0,0.0,1 (6),0-0-0,1
HS Desai,DC,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
LUVNITH SISODIA,RR,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
M Siddharth,CSK,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Ravi Teja,LSG,1,0,4,0,0,0,4,0.0,inf,,inf,100.0,0.0,0* (4),0-0-0,0
SS Ghosh,MI,1,0,1,0,0,0,1,0.0,inf,,inf,100.0,0.0,0* (1),0-0-0,0
SZ Mulani,MI,2,0,4,2,0,0,4,0.0,2.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Yash Thakur,PBKS,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
