Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2025-06-19,11,LSG,SRH,SRH,Priyansh Arya (SRH) -> 121 off 61,Priyansh Arya (SRH) -> 121 off 61,C Sakariya (SRH) -> 2-36 (4.0),SRH 220-3 (20.0) beat LSG 219-5 (20.0) by 1 run!,9.1/10
2025-06-19,12,RR,MI,MI,Atharva Ankolekar (MI) -> 7 off 4 ; 4-35 (4.0),WL Madsen (MI) -> 66* off 37,Atharva Ankolekar (MI) -> 4-35 (4.0),MI 181-8 (20.0) beat RR 175-8 (20.0) by 6 runs!,6.8/10
2025-06-20,13,RCB,DC,DC,SA Yadav (DC) -> 69* off 32,SA Yadav (DC) -> 69* off 32,M Pathirana (RCB) -> 3-47 (4.0),DC 216-6 (20.0) beat RCB 205-6 (20.0) by 11 runs!,6.9/10
2025-06-20,14,GT,CSK,CSK,TM Head (CSK) -> 75 off 51 ; 0-33 (4.0),TM Head (CSK) -> 75 off 51,M Siddharth (CSK) -> 3-32 (4.0),CSK 182-6 (19.1) beat GT 177-9 (20.0) by 4 wickets!,8.1/10
2025-06-21,15,KKR,PBKS,PBKS,JM Bairstow (KKR) -> 76* off 51,JM Bairstow (KKR) -> 76* off 51,HV Patel (PBKS) -> 2-16 (3.0),PBKS 197-4 (20.0) beat KKR 177-5 (20.0) by 20 runs!,6.4/10
2025-06-21,16,SRH,RR,RR,AK Markram (SRH) -> 39 off 24 ; 3-48 (4.0),Aniket Verma (RR) -> 93 off 46,A Zampa (SRH) -> 3-28 (4.0),RR 199-6 (19.1) beat SRH 197-8 (20.0) by 4 wickets!,8.4/10
2025-06-22,17,MI,LSG,MI,TA Boult (MI) -> 4-15 (3.2),N Pooran (MI) -> 71 off 39,TA Boult (MI) -> 4-15 (3.2),MI 189-6 (20.0) beat LSG 107-10 (14.2) by 82 runs!,4.1/10
2025-06-22,18,DC,CSK,DC,Tilak Varma (CSK) -> 109* off 55,Tilak Varma (CSK) -> 109* off 55,M Prasidh Krishna (DC) -> 1-25 (4.0),DC 201-2 (20.0) beat CSK 200-6 (20.0) by 1 run!,9.4/10
2025-06-23,19,GT,RCB,RCB,B Sai Sudharsan (RCB) -> 86 off 55,B Sai Sudharsan (RCB) -> 86 off 55,YS Chahal (RCB) -> 3-43 (4.0),RCB 211-3 (19.4) beat GT 210-8 (20.0) by 7 wickets!,8.2/10
2025-06-23,20,PBKS,KKR,PBKS,Shashank Singh (PBKS) -> 46 off 31 ; 1-25 (3.0),Shashank Singh (PBKS) -> 46 off 31,Ravi Bishnoi (PBKS) -> 2-24 (4.0),PBKS 174-5 (20.0) beat KKR 160-10 (20.0) by 14 runs!,6.0/10
2025-06-24,21,SRH,DC,SRH,KL Rahul (SRH) -> 61 off 41,KL Rahul (SRH) -> 61 off 41,KH Pandya (SRH) -> 2-17 (3.0),SRH 200-4 (18.5) beat DC 198-7 (20.0) by 6 wickets!,6.6/10
2025-06-24,22,CSK,MI,MI,HH Pandya (MI) -> 2* off 1 ; 4-41 (4.0),PP Shaw (MI) -> 75 off 47,HH Pandya (MI) -> 4-41 (4.0),MI 178-4 (16.5) beat CSK 176-7 (20.0) by 6 wickets!,5.6/10
2025-06-25,23,KKR,RR,KKR,JC Buttler (KKR) -> 78* off 38,JC Buttler (KKR) -> 78* off 38,B Kumar (KKR) -> 3-28 (4.0),KKR 203-5 (20.0) beat RR 198-6 (20.0) by 5 runs!,9.7/10
2025-06-25,24,PBKS,GT,GT,CV Varun (PBKS) -> 13 off 8 ; 3-24 (3.0),MP Stoinis (PBKS) -> 33 off 34,Mohammad Nabi (GT) -> 3-24 (4.0),GT 130-9 (15.4) beat PBKS 126-9 (20.0) by 1 wicket!,4.5/10
2025-06-26,25,LSG,RCB,LSG,SP Narine (LSG) -> 21 off 14 ; 3-26 (4.0),B Sai Sudharsan (RCB) -> 62 off 34,SP Narine (LSG) -> 3-26 (4.0),LSG 178-4 (17.5) beat RCB 177-9 (20.0) by 6 wickets!,6.1/10
2025-06-26,26,CSK,SRH,CSK,LS Livingstone (SRH) -> 71 off 39,LS Livingstone (SRH) -> 71 off 39,Suryansh Shedge (CSK) -> 2-34 (3.0),CSK 213-3 (18.3) beat SRH 212-4 (20.0) by 7 wickets!,6.4/10
2025-06-27,27,KKR,GT,GT,SV Samson (GT) -> 97* off 60,SV Samson (GT) -> 97* off 60,R Shepherd (GT) -> 3-28 (4.0),GT 169-3 (17.3) beat KKR 168-7 (20.0) by 7 wickets!,6.1/10
2025-06-27,28,MI,PBKS,MI,DAJ Bracewell (MI) -> 46 off 22 ; 2-30 (4.0),Q de Kock (PBKS) -> 62 off 45,SS Ghosh (MI) -> 3-25 (4.0),MI 180-7 (20.0) beat PBKS 151-9 (20.0) by 29 runs!,5.4/10
2025-06-28,29,RR,RCB,RCB,RD Rickelton (RR) -> 86* off 52,RD Rickelton (RR) -> 86* off 52,Mayank Dagar (RR) -> 2-53 (4.0),RCB 212-7 (20.0) beat RR 211-3 (20.0) by 1 run!,9.4/10
2025-06-28,30,LSG,DC,LSG,V Kohli (DC) -> 106 off 60,V Kohli (DC) -> 106 off 60,WG Jacks (LSG) -> 3-55 (4.0),LSG 215-5 (19.3) beat DC 214-5 (20.0) by 5 wickets!,8.2/10
2025-06-29,31,PBKS,SRH,SRH,V Suryavanshi (PBKS) -> 86 off 57,V Suryavanshi (PBKS) -> 86 off 57,CV Varun (PBKS) -> 3-33 (4.0),SRH 174-4 (20.0) beat PBKS 162-8 (20.0) by 12 runs!,6.1/10
2025-06-29,32,KKR,CSK,KKR,JM Bairstow (KKR) -> 91 off 58,JM Bairstow (KKR) -> 91 off 58,B Kumar (KKR) -> 3-32 (4.0),KKR 200-3 (20.0) beat CSK 192-5 (20.0) by 8 runs!,8.2/10
2025-06-30,33,MI,GT,,,,,,
2025-06-30,34,RR,DC,,,,,,
2025-07-01,35,RCB,LSG,,,,,,
2025-07-01,36,SRH,CSK,,,,,,
2025-07-02,37,RR,KKR,,,,,,
2025-07-02,38,DC,MI,,,,,,
2025-07-03,39,GT,LSG,,,,,,
2025-07-03,40,PBKS,RCB,,,,,,
2025-07-04,41,DC,SRH,,,,,,
2025-07-04,42,CSK,RR,,,,,,
2025-07-05,43,PBKS,MI,,,,,,
2025-07-05,44,KKR,LSG,,,,,,
2025-07-06,45,RCB,CSK,,,,,,
2025-07-06,46,GT,SRH,,,,,,
2025-07-07,47,DC,PBKS,,,,,,
2025-07-07,48,LSG,MI,,,,,,
2025-07-08,49,RCB,RR,,,,,,
2025-07-08,50,CSK,GT,,,,,,
2025-07-09,51,KKR,DC,,,,,,
2025-07-09,52,SRH,PBKS,,,,,,
2025-07-10,53,MI,RR,,,,,,
2025-07-10,54,CSK,RCB,,,,,,
2025-07-11,55,LSG,GT,,,,,,
2025-07-11,56,KKR,SRH,,,,,,
2025-07-12,57,RCB,MI,,,,,,
2025-07-12,58,PBKS,CSK,,,,,,
2025-07-13,59,RR,GT,,,,,,
2025-07-13,60,DC,KKR,,,,,,
2025-07-14,61,LSG,PBKS,,,,,,
2025-07-14,62,SRH,RCB,,,,,,
2025-07-15,63,GT,DC,,,,,,
2025-07-15,64,MI,KKR,,,,,,
2025-07-16,65,CSK,LSG,,,,,,
2025-07-16,66,PBKS,RR,,,,,,
2025-07-17,67,RCB,KKR,,,,,,
2025-07-17,68,MI,DC,,,,,,
2025-07-18,69,SRH,LSG,,,,,,
2025-07-18,70,GT,RR,,,,,,
2025-07-20,71,,,,,,,,
2025-07-21,72,,,,,,,,
2025-07-22,73,,,,,,,,
2025-07-23,74,,,,,,,,
