bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts,points
Washington Sundar,PBKS,14,392,282,9,29,14,82,134,18,5,7,0,8.34,31.33,6.56,29.08,0,0,0,176.4475522637109
KH Pandya,SRH,9,286,198,9,22,10,59,88,13,6,5,1,8.67,22.0,6.19,29.8,0,0,0,185.0912981021285
BA Stokes,LSG,5,177,120,9,9,10,33,58,8,2,1,0,8.85,13.33,6.32,27.5,2,0,0,202.1588123725847
Kuldeep Yadav,SRH,9,266,180,9,26,9,56,76,11,2,3,1,8.87,20.0,5.14,31.11,2,0,0,182.1399571589628
Mohammad Nabi,GT,7,263,168,9,22,11,39,86,10,0,3,0,9.39,18.67,5.09,23.21,1,0,0,178.3065592394786
M Theekshana,MI,7,264,165,9,16,15,51,61,19,3,2,0,9.6,18.33,5.32,30.91,1,0,0,183.8403535188216
Sandeep Sharma,RR,9,324,185,9,26,12,40,82,17,8,8,0,10.51,20.56,4.87,21.62,2,0,0,171.1558140070417
M Siddharth,CSK,5,159,120,8,11,8,44,49,7,1,1,0,7.95,15.0,6.32,36.67,1,0,0,192.7639496855346
C Green,RCB,12,267,174,8,25,8,51,70,17,3,6,0,9.21,21.75,5.27,29.31,0,0,0,167.5322690478865
Shashank Singh,PBKS,12,165,138,7,18,5,69,35,7,4,2,0,7.17,19.71,6.0,50.0,0,0,0,179.8148349817118
PHKD Mendis,KKR,6,140,113,7,5,5,27,65,9,2,1,0,7.43,16.14,11.3,23.89,1,0,0,199.0218845265435
CJ Jordan,GT,6,171,129,7,12,6,35,67,8,1,1,0,7.95,18.43,7.17,27.13,1,0,0,173.3362962219788
MM Ali,KKR,7,232,168,7,25,5,53,77,6,2,7,0,8.29,24.0,5.6,31.55,0,0,0,158.5760595094491
PJ Cummins,PBKS,5,169,114,7,13,5,34,45,14,3,5,0,8.89,16.29,6.33,29.82,0,0,0,173.2342710282762
Arshad Khan,KKR,9,324,216,7,30,11,61,93,19,2,1,0,9.0,30.86,5.27,28.24,0,0,0,145.1073146107871
R Ashwin,KKR,8,284,186,7,29,9,50,84,12,2,0,0,9.16,26.57,4.89,26.88,0,0,0,146.0632466008056
Yudhvir Singh,GT,8,257,168,7,30,10,66,53,7,2,3,1,9.18,24.0,4.2,39.29,0,0,0,151.3005795206972
Zeeshan Ansari,LSG,6,209,132,7,17,8,37,55,12,3,5,0,9.5,18.86,5.28,28.03,0,0,0,159.5054504660378
Atharva Ankolekar,MI,3,119,71,7,13,4,18,31,5,0,2,0,10.06,10.14,4.18,25.35,1,1,0,177.6100225471628
RA Jadeja,DC,12,421,230,7,42,20,60,93,10,5,5,0,10.98,32.86,3.71,26.09,0,0,0,125.527536291847
K Kartikeya,GT,6,163,114,6,13,8,38,49,4,2,0,0,8.58,19.0,5.43,33.33,0,0,0,152.8688011286958
AJ Turner,MI,5,155,102,6,12,6,24,55,4,1,5,0,9.12,17.0,5.67,23.53,0,0,0,151.8446769865841
MG Bracewell,DC,7,204,132,6,21,9,49,46,5,2,4,0,9.27,22.0,4.4,37.12,1,0,0,143.0367592429146
HV Patel,PBKS,5,139,84,6,8,8,23,35,7,3,1,0,9.93,14.0,5.25,27.38,0,0,0,157.462779168465
JC Archer,LSG,5,225,108,6,15,16,24,47,4,2,8,0,12.5,18.0,3.48,22.22,1,0,0,129.7597777777778
Mohammad Ghazanfar,CSK,1,29,24,5,2,1,10,8,2,1,0,0,7.25,4.8,8.0,41.67,1,1,1,0.0
SS Ghosh,MI,3,61,48,5,7,1,16,23,0,1,1,0,7.62,9.6,6.0,33.33,1,0,0,175.4546929133858
Naveen-ul-Haq,SRH,3,90,69,5,7,2,21,30,8,1,1,0,7.83,13.8,7.67,30.43,0,0,0,165.3612761397079
Harshit Rana,CSK,5,164,114,5,19,4,35,49,6,1,0,0,8.63,22.8,4.96,30.7,0,0,0,132.4873100770466
Tanush Kotian,SRH,4,95,66,5,7,4,18,31,6,0,0,0,8.64,13.2,6.0,27.27,0,0,0,154.5648619528619
Harpreet Brar,RCB,10,339,228,5,30,9,53,115,17,4,4,0,8.92,45.6,5.85,23.25,0,0,0,115.8756746125403
M Jansen,RR,7,248,162,5,28,6,48,66,12,2,4,0,9.19,32.4,4.76,29.63,0,0,0,120.3914915837128
SH Johnson,SRH,4,168,93,5,22,6,30,29,6,0,2,1,10.84,18.6,3.32,32.26,0,0,0,126.06281268103
Swapnil Singh,RR,4,182,96,5,20,7,25,32,9,3,1,0,11.38,19.2,3.56,26.04,1,0,0,122.2530128881078
RS Hangargekar,RCB,6,183,138,4,9,7,41,66,9,6,3,0,7.96,34.5,8.62,29.71,1,0,0,132.2315676935402
KA Maharaj,RR,3,95,66,4,8,5,27,21,4,1,1,0,8.64,16.5,5.08,40.91,0,0,0,137.3231043771044
C Sakariya,SRH,5,177,120,4,9,6,26,61,13,5,3,0,8.85,30.0,8.0,21.67,0,0,0,125.7181016949153
HR Shokeen,RR,5,179,120,4,13,7,33,54,11,2,3,0,8.95,30.0,6.0,27.5,0,0,0,117.5898510242086
Avesh Khan,DC,6,208,138,4,11,7,21,85,11,3,5,1,9.04,34.5,7.67,15.22,0,0,0,116.7867005258433
Umran Malik,MI,4,118,78,4,6,8,30,25,8,1,2,0,9.08,19.5,5.57,38.46,0,0,0,132.0802415000565
Ravi Teja,LSG,6,175,108,4,16,10,46,27,6,3,3,0,9.72,27.0,4.15,42.59,0,0,0,116.1105843621399
A Mishra,CSK,5,209,120,4,11,13,27,58,7,4,3,0,10.45,30.0,5.0,22.5,1,0,0,105.4860446570973
Mohammed Shami,PBKS,4,182,96,4,18,10,31,27,9,1,2,0,11.38,24.0,3.43,32.29,0,0,0,106.6446795547745
Ashwani Kumar,RR,3,104,54,4,10,5,12,23,3,1,2,0,11.56,13.5,3.6,22.22,0,0,0,122.0195560681789
TU Deshpande,RR,2,52,42,3,4,2,15,19,2,0,1,0,7.43,14.0,7.0,35.71,0,0,0,141.09923591617
DS Airee,RCB,2,61,48,3,3,2,10,30,3,0,1,0,7.62,16.0,9.6,20.83,0,0,0,140.6213595800525
Mohammed Siraj,RCB,5,131,96,3,11,6,41,29,8,1,3,0,8.19,32.0,5.65,42.71,0,0,0,113.4610122100122
N Rana,KKR,5,157,108,3,8,7,28,52,12,1,3,1,8.72,36.0,7.2,25.93,0,0,0,108.9147787971458
PWH de Silva,DC,2,72,48,3,3,4,14,24,2,1,3,2,9.0,16.0,6.86,29.17,1,0,0,128.9131111111111
M Markande,PBKS,6,168,108,3,18,6,36,39,8,1,2,0,9.33,36.0,4.5,33.33,0,0,0,97.10500250089316
R Tewatia,RR,4,69,42,3,3,3,7,22,4,3,0,0,9.86,14.0,7.0,16.67,0,0,0,126.1082735439003
GF Linde,RR,2,89,48,3,8,4,10,22,2,2,1,0,11.12,16.0,4.0,20.83,0,0,0,106.2408057553957
Harsh Dubey,LSG,3,140,72,3,14,8,19,29,0,2,1,0,11.67,24.0,3.27,26.39,1,0,0,91.58631362467867
JO Holder,SRH,4,159,78,3,20,4,11,36,6,1,4,0,12.23,26.0,3.25,14.1,0,0,0,82.6173841122083
LH Ferguson,MI,1,27,24,2,3,0,9,10,1,1,0,0,6.75,12.0,8.0,37.5,0,0,0,0.0
Abdul Samad,LSG,8,76,60,2,5,3,21,27,3,1,2,0,7.6,30.0,7.5,35.0,0,0,0,110.5745614035088
K Gowtham,DC,4,128,90,2,7,6,24,46,6,1,3,0,8.53,45.0,6.92,26.67,0,0,0,93.68644053666796
Suyash Sharma,MI,4,120,84,2,8,5,24,40,7,0,4,0,8.57,42.0,6.46,28.57,0,0,0,93.5153733400011
BJ McMullen,DC,12,230,156,2,18,6,37,76,15,4,4,0,8.85,78.0,6.5,23.72,0,0,0,81.94169143850499
VG Arora,KKR,5,177,120,2,16,9,45,43,7,0,2,0,8.85,60.0,4.8,37.5,0,0,0,82.63276836158192
GD Phillips,GT,3,64,42,2,6,2,13,16,3,2,0,0,9.14,21.0,5.25,30.95,0,0,0,102.0704428467229
Noor Ahmad,RCB,4,141,90,2,14,4,23,41,5,3,1,0,9.4,45.0,5.0,25.56,0,0,0,81.58540898345154
Mukesh Kumar,GT,4,154,96,2,21,3,36,28,5,3,5,0,9.62,48.0,4.0,37.5,0,0,0,81.56167706167706
OEG Baartman,RCB,2,77,48,2,5,3,14,18,4,4,1,0,9.62,24.0,6.0,29.17,0,0,0,100.9803437283437
Sikandar Raza,DC,3,117,72,2,8,4,15,33,10,2,2,0,9.75,36.0,6.0,20.83,0,0,0,87.64329914529914
SZ Mulani,MI,2,81,48,2,6,5,14,21,1,1,1,0,10.12,24.0,4.36,29.17,0,0,0,91.01675625823451
Yash Thakur,PBKS,5,180,105,2,13,8,20,51,12,1,2,0,10.29,52.5,5.0,19.05,0,0,0,73.42198250728863
V Nigam,GT,3,94,54,2,10,4,14,22,4,0,0,0,10.44,27.0,3.86,25.93,0,0,0,83.45506257982119
JD Unadkat,SRH,3,126,72,2,12,4,12,39,5,0,5,0,10.5,36.0,4.5,16.67,0,0,0,75.91469841269841
Mujeeb Ur Rahman,CSK,3,91,60,1,13,2,22,20,2,1,0,0,9.1,60.0,4.0,36.67,0,0,0,69.57434432234433
Ramandeep Singh,LSG,7,134,84,1,4,8,16,48,4,4,2,0,9.57,84.0,7.0,19.05,0,0,0,70.33170174652933
Abhishek Sharma,MI,10,215,132,1,17,8,24,73,5,5,1,0,9.77,132.0,5.28,18.18,0,0,0,55.58129332216743
V Kaverappa,SRH,1,41,24,1,5,1,7,8,3,0,0,1,10.25,24.0,4.0,29.17,0,0,0,0.0
Kartik Tyagi,PBKS,2,42,24,1,3,2,4,13,1,1,0,0,10.5,24.0,4.8,16.67,0,0,0,0.0
Gurjapneet Singh,LSG,1,33,18,1,6,0,4,7,1,0,0,0,11.0,18.0,3.0,22.22,0,0,0,0.0
Mustafizur Rahman,DC,4,168,90,1,19,6,16,43,6,0,1,0,11.2,90.0,3.6,17.78,0,0,0,47.90212698412699
S Gopal,DC,1,45,24,1,2,3,6,9,2,2,0,0,11.25,24.0,4.8,25.0,0,0,0,0.0
DL Chahar,PBKS,1,47,24,1,3,3,5,10,2,1,0,0,11.75,24.0,4.0,20.83,0,0,0,0.0
A Kamboj,RR,1,48,24,1,7,1,4,10,2,0,0,0,12.0,24.0,3.0,16.67,0,0,0,0.0
Mohsin Khan,RCB,2,90,42,1,12,3,8,15,3,1,0,0,12.86,42.0,2.8,19.05,0,0,0,53.11081167148041
Jagjit Singh,CSK,3,152,66,1,17,8,11,25,5,0,1,0,13.82,66.0,2.64,16.67,0,0,0,42.26364759022936
MM Sharma,MI,2,71,30,1,9,3,5,10,3,0,1,0,14.2,30.0,2.5,16.67,0,0,0,54.96092018779343
N Sindhu,DC,1,44,18,1,7,1,3,5,1,1,0,0,14.67,18.0,2.25,16.67,0,0,0,0.0
CJ Green,RCB,1,21,24,0,0,1,9,14,0,0,1,0,5.25,inf,24.0,37.5,0,0,0,0.0
Lalit Yadav,RCB,1,23,18,0,1,1,4,11,1,0,0,0,7.67,inf,9.0,22.22,0,0,0,0.0
TM Head,CSK,1,33,24,0,3,0,5,12,3,1,0,0,8.25,inf,8.0,20.83,0,0,0,0.0
MR Marsh,DC,2,69,48,0,4,3,12,25,4,0,2,0,8.62,inf,6.86,25.0,0,0,0,58.40092807424595
KK Ahmed,GT,1,27,18,0,3,1,8,4,2,0,0,1,9.0,inf,4.5,44.44,0,0,0,0.0
Mohit Avasthi,MI,1,36,24,0,4,0,6,9,5,0,1,0,9.0,inf,6.0,25.0,0,0,0,0.0
WL Madsen,MI,2,18,12,0,3,0,3,6,0,0,0,0,9.0,inf,4.0,25.0,0,0,0,0.0
R Parag,GT,10,151,96,0,12,4,15,54,10,1,2,0,9.44,inf,6.0,15.62,0,0,0,44.96522033898305
G Coetzee,KKR,1,39,24,0,4,1,7,7,5,0,0,0,9.75,inf,4.8,29.17,0,0,0,0.0
SM Curran,KKR,1,39,24,0,5,1,8,9,1,0,2,0,9.75,inf,4.0,33.33,0,0,0,0.0
N Wadhera,RR,1,10,6,0,1,0,0,4,1,0,0,0,10.0,inf,6.0,0.0,0,0,0,0.0
M Shahrukh Khan,RCB,1,21,12,0,3,0,3,4,1,1,0,0,10.5,inf,4.0,25.0,0,0,0,0.0
Nithish Kumar Reddy,GT,1,21,12,0,1,1,1,8,1,0,1,0,10.5,inf,6.0,8.33,0,0,0,0.0
K Rabada,DC,1,43,24,0,5,1,3,13,2,0,0,0,10.75,inf,4.0,12.5,0,0,0,0.0
Shahbaz Ahmed,LSG,2,87,48,0,8,4,14,15,6,1,1,0,10.88,inf,4.0,29.17,0,0,0,42.69317647058823
MP Stoinis,PBKS,3,66,36,0,5,3,5,19,3,1,0,0,11.0,inf,4.5,13.89,0,0,0,37.17490909090909
S Dube,RR,3,33,18,0,2,2,3,9,2,0,0,0,11.0,inf,4.5,16.67,0,0,0,0.0
Yuvraj Chaudhary,RCB,1,22,12,0,0,2,2,6,2,0,0,0,11.0,inf,6.0,16.67,0,0,0,0.0
Sumit Kumar,DC,2,35,18,0,7,0,4,7,0,0,0,0,11.67,inf,2.57,22.22,0,0,0,0.0
I Sharma,GT,2,82,42,0,7,4,7,20,3,1,1,0,11.71,inf,3.82,16.67,0,0,0,33.8917096498719
Akash Deep,SRH,2,95,48,0,9,4,9,19,6,1,1,0,11.88,inf,3.69,18.75,0,0,0,33.86750841750842
AS Roy,SRH,3,96,48,0,8,5,10,18,5,2,0,0,12.0,inf,3.69,20.83,0,0,0,34.78133333333334
Yash Dayal,LSG,1,36,18,0,5,1,5,6,0,1,1,0,12.0,inf,3.0,27.78,0,0,0,0.0
Cheepurapalli Stephen,DC,1,38,18,0,4,1,0,10,3,0,0,0,12.67,inf,3.6,0.0,0,0,0,0.0
KA Pollard,CSK,3,52,24,0,8,0,5,5,4,2,1,0,13.0,inf,3.0,20.83,0,0,0,0.0
MK Lomror,SRH,1,13,6,0,1,1,2,2,0,0,1,0,13.0,inf,3.0,33.33,0,0,0,0.0
MJ Henry,RR,1,53,24,0,6,2,6,7,2,1,3,0,13.25,inf,3.0,25.0,0,0,0,0.0
JG Bethell,SRH,2,73,32,0,5,5,6,12,4,0,3,0,13.69,inf,3.2,18.75,0,0,0,30.80460189919649
Rahul Singh,MI,1,14,6,0,1,1,2,1,0,1,0,0,14.0,inf,3.0,33.33,0,0,0,0.0
Azmatullah Omarzai,RR,1,49,18,0,2,5,3,5,3,0,0,0,16.33,inf,2.57,16.67,0,0,0,0.0
VR Iyer,SRH,1,34,12,0,2,3,2,3,2,0,1,0,17.0,inf,2.4,16.67,0,0,0,0.0
