partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
Shashank Singh  - Smaran Ravichandran,PBKS,87,47,3,2,7,185.11,29.0,5.22
MP Stoinis  - Washington Sundar,PBKS,86,50,2,6,4,172.0,43.0,5.0
SA Yadav  - Urvil Patel,DC,85,62,2,10,1,137.1,42.5,5.64
BJ McMullen  - N Sindhu,DC,83,54,2,8,1,153.7,41.5,6.0
Dhruv Jurel  - FH Allen,LSG,82,54,1,10,2,151.85,82.0,4.5
GJ Maxwell  - YBK Jaiswal,RR,82,46,1,6,3,178.26,82.0,5.11
Shashank Singh  - Washington Sundar,PBKS,82,45,2,3,6,182.22,41.0,5.0
Kartik Sharma  - TH David,LSG,81,47,1,3,5,172.34,81.0,5.88
AK Markram  - KL Rahul,SRH,81,54,3,5,3,150.0,27.0,6.75
RG Sharma  - V Suryavanshi,PBKS,78,66,2,11,0,118.18,39.0,6.0
JG Bethell  - Priyansh Arya,SRH,77,52,1,7,1,148.08,77.0,6.5
Arshad Khan  - MM Ali,KKR,74,47,2,4,5,157.45,37.0,5.22
Shashank Singh  - V Suryavanshi,PBKS,74,67,3,6,1,110.45,24.67,9.57
SS Iyer  - Sameer Rizvi,LSG,74,41,2,4,4,180.49,37.0,5.12
AK Markram  - Tanush Kotian,SRH,73,46,1,3,6,158.7,73.0,5.11
N Rana  - PHKD Mendis,KKR,71,47,3,3,5,151.06,23.67,5.88
Anmolpreet Singh  - Tilak Varma,CSK,71,42,2,8,2,169.05,35.5,4.2
Q de Kock  - Washington Sundar,PBKS,71,49,1,5,1,144.9,71.0,8.17
Anmolpreet Singh  - KA Pollard,CSK,71,47,1,6,3,151.06,71.0,5.22
Shubman Gill  - WG Jacks,LSG,69,31,2,2,6,222.58,34.5,3.88
M Jansen  - N Wadhera,RR,68,37,2,4,5,183.78,34.0,4.11
KA Pollard  - Suryansh Shedge,CSK,67,31,2,2,5,216.13,33.5,4.43
GJ Maxwell  - S Dube,RR,67,41,3,5,3,163.41,22.33,5.12
Abhishek Sharma  - Akash Vasisht,MI,67,46,4,6,3,145.65,16.75,5.11
Kartik Sharma  - SS Iyer,LSG,66,45,2,7,1,146.67,33.0,5.62
A Mhatre  - Ishan Kishan,KKR,65,49,1,7,2,132.65,65.0,5.44
Abishek Porel  - SA Yadav,DC,64,32,3,4,5,200.0,21.33,3.56
Anmolpreet Singh  - BM Duckett,CSK,64,45,1,5,3,142.22,64.0,5.62
JP Inglis  - Nithish Kumar Reddy,GT,62,51,2,6,0,121.57,31.0,8.5
C Green  - Yuvraj Chaudhary,RCB,62,36,1,4,4,172.22,62.0,4.5
Ishan Kishan  - RR Pant,KKR,62,42,3,7,3,147.62,20.67,4.2
Aniket Verma  - Azmatullah Omarzai,RR,61,26,0,4,4,234.62,inf,3.25
AR Patel  - TM Head,CSK,60,33,2,5,3,181.82,30.0,4.12
Kartik Sharma  - SP Narine,LSG,60,29,1,3,4,206.9,60.0,4.14
PD Salt  - RK Singh,RCB,60,36,4,7,2,166.67,15.0,4.0
Abdul Samad  - SS Iyer,LSG,59,29,1,4,4,203.45,59.0,3.62
F du Plessis  - TM Head,CSK,59,40,2,6,2,147.5,29.5,5.0
AM Rahane  - N Rana,KKR,58,33,3,2,5,175.76,19.33,4.71
Arshad Khan  - PHKD Mendis,KKR,58,34,2,4,3,170.59,29.0,4.86
SP Narine  - SS Iyer,LSG,58,31,4,3,4,187.1,14.5,4.43
MP Stoinis  - Q de Kock,PBKS,57,33,1,9,1,172.73,57.0,3.3
Sameer Rizvi  - WG Jacks,LSG,56,36,1,4,2,155.56,56.0,6.0
AM Rahane  - RR Pant,KKR,56,43,1,5,1,130.23,56.0,7.17
Salman Nizar  - Shashank Singh,PBKS,56,28,0,6,3,200.0,inf,3.11
GD Phillips  - Naman Dhir,GT,54,30,2,6,2,180.0,27.0,3.75
PP Shaw  - WL Madsen,MI,54,34,2,6,0,158.82,27.0,5.67
Abdul Samad  - FH Allen,LSG,53,26,0,5,3,203.85,inf,3.25
DAJ Bracewell  - Rahul Singh,MI,53,32,1,4,3,165.62,53.0,4.57
Sameer Rizvi  - Shubman Gill,LSG,53,35,2,4,2,151.43,26.5,5.83
MP Stoinis  - Shashank Singh,PBKS,52,43,1,1,2,120.93,52.0,14.33
R Parag  - Rashid Khan,GT,52,39,2,3,3,133.33,26.0,6.5
Suryansh Shedge  - Tilak Varma,CSK,50,32,2,2,4,156.25,25.0,5.33
PP Shaw  - RR Rossouw,MI,49,25,1,1,3,196.0,49.0,6.25
MM Ali  - PHKD Mendis,KKR,49,43,3,3,3,113.95,16.33,7.17
Dhruv Jurel  - Sameer Rizvi,LSG,48,21,1,3,4,228.57,48.0,3.0
H Klaasen  - Q de Kock,PBKS,48,36,2,7,1,133.33,24.0,4.5
HC Brook  - V Suryavanshi,PBKS,48,32,3,5,2,150.0,16.0,4.57
Abhishek Sharma  - KD Karthik,MI,47,27,2,5,2,174.07,23.5,3.86
AK Markram  - P Simran Singh,SRH,46,26,1,4,3,176.92,46.0,3.71
BA Stokes  - FH Allen,LSG,46,29,1,4,1,158.62,46.0,5.8
KA Pollard  - TM Head,CSK,46,39,2,2,1,117.95,23.0,13.0
Aniket Verma  - S Dube,RR,45,22,3,5,2,204.55,15.0,3.14
JP Inglis  - LG Pretorius,GT,45,27,1,7,0,166.67,45.0,3.86
HC Brook  - Shashank Singh,PBKS,45,30,1,2,2,150.0,45.0,7.5
DS Rathi  - PHKD Mendis,KKR,45,22,1,4,3,204.55,45.0,3.14
Nithish Kumar Reddy  - R Parag,GT,45,23,0,4,2,195.65,inf,3.83
Arshad Khan  - N Rana,KKR,44,22,1,6,2,200.0,44.0,2.75
LS Livingstone  - T Stubbs,SRH,43,29,1,5,1,148.28,43.0,4.83
DAJ Bracewell  - Jay Gohil,MI,43,29,1,2,2,148.28,43.0,7.25
H Klaasen  - Salman Nizar,PBKS,43,28,2,4,1,153.57,21.5,5.6
AK Markram  - KH Pandya,SRH,42,35,4,3,2,120.0,10.5,7.0
SS Iyer  - WG Jacks,LSG,42,40,2,2,1,105.0,21.0,13.33
RM Patidar  - YBK Jaiswal,RR,41,30,3,7,0,136.67,13.67,4.29
RK Bhui  - Tilak Varma,CSK,41,29,2,2,3,141.38,20.5,5.8
JC Buttler  - PHKD Mendis,KKR,41,24,1,1,3,170.83,41.0,6.0
GJ Maxwell  - JR Hazlewood,RR,41,22,1,4,2,186.36,41.0,3.67
KD Karthik  - PP Shaw,MI,41,37,2,5,1,110.81,20.5,6.17
Q de Kock  - Salman Nizar,PBKS,41,35,2,0,2,117.14,20.5,17.5
Fazalhaq Farooqi  - RK Bhui,CSK,39,29,1,2,1,134.48,39.0,9.67
LG Pretorius  - Naman Dhir,GT,37,30,2,3,2,123.33,18.5,6.0
MP Stoinis  - Smaran Ravichandran,PBKS,37,30,2,4,0,123.33,18.5,7.5
Abhishek Sharma  - Samarth Vyas,MI,36,24,1,3,3,150.0,36.0,4.0
AR Patel  - RK Bhui,CSK,36,28,3,3,2,128.57,12.0,5.6
BA Stokes  - Shubman Gill,LSG,36,21,2,5,0,171.43,18.0,4.2
Abhishek Sharma  - HH Pandya,MI,35,26,2,4,1,134.62,17.5,5.2
DAJ Bracewell  - KD Karthik,MI,34,20,1,1,3,170.0,34.0,5.0
Jay Gohil  - KD Karthik,MI,34,30,1,2,0,113.33,34.0,15.0
PJ Cummins  - Washington Sundar,PBKS,33,21,1,2,3,157.14,33.0,4.2
AK Markram  - T Stubbs,SRH,33,20,2,3,1,165.0,16.5,5.0
A Badoni  - Priyansh Arya,SRH,32,23,1,5,0,139.13,32.0,4.6
Abishek Porel  - K Gowtham,DC,31,23,1,0,2,134.78,31.0,11.5
Abhishek Sharma  - WL Madsen,MI,31,20,2,4,0,155.0,15.5,5.0
AJ Turner  - HH Pandya,MI,31,28,2,1,1,110.71,15.5,14.0
PHKD Mendis  - R Ashwin,KKR,30,21,3,3,1,142.86,10.0,5.25
Ashutosh Sharma  - JM Sharma,RCB,30,26,2,3,0,115.38,15.0,8.67
Urvil Patel  - V Kohli,DC,29,23,1,2,2,126.09,29.0,5.75
MA Starc  - R Ashwin,KKR,27,25,1,3,1,108.0,27.0,6.25
MP Stoinis  - Shakib Al Hasan,PBKS,26,28,1,2,0,92.86,26.0,14.0
F du Plessis  - Tilak Varma,CSK,26,24,1,3,0,108.33,26.0,8.0
DJ Hooda  - JP Inglis,GT,26,23,1,3,0,113.04,26.0,7.67
Abishek Porel  - RA Jadeja,DC,26,22,0,2,0,118.18,inf,11.0
