Player,Team,TI,B.Impact,Bo.Impact
MA Starc,KKR,352.01,5.23,346.77
A Nortje,RCB,347.08,4.65,342.43
Q de Kock,PBKS,346.77,346.77,0.0
Fazalhaq Farooqi,CSK,345.4,10.4,335.0
R Sai Kishore,GT,345.25,28.74,316.51
VR Iyer,SRH,345.16,352.03,-6.87
RM Patidar,RR,341.17,341.17,0.0
AJ Tye,DC,335.69,11.67,324.02
T Natarajan,CSK,333.6,-2.95,336.54
Arshdeep Singh,LSG,327.82,-0.89,328.7
RA Jadeja,DC,326.01,168.85,157.15
H Klaasen,PBKS,324.81,324.81,0.0
A Zampa,SRH,319.54,-3.55,323.09
WL Madsen,MI,312.74,323.31,-10.56
Rashid Khan,GT,311.15,27.61,283.54
RK Singh,RCB,308.89,308.89,0.0
BA Stokes,LSG,307.09,74.83,232.25
S Dube,RR,296.27,306.43,-10.14
Mayank Dagar,RR,286.08,0.0,286.08
JR Hazlewood,RR,272.83,3.26,269.56
MP Stoinis,PBKS,270.65,283.26,-12.62
Ravi Bishnoi,PBKS,265.3,9.1,256.21
MP Yadav,CSK,265.07,0.73,264.34
KD Karthik,MI,257.39,257.39,0.0
CJ Jordan,GT,244.24,-1.43,245.67
GD Phillips,GT,243.38,162.53,80.86
NT Ellis,LSG,237.82,-1.47,239.29
Abdul Samad,LSG,232.81,167.26,65.55
AJ Turner,MI,232.45,62.91,169.53
KH Pandya,SRH,230.94,24.81,206.11
HV Patel,PBKS,227.36,42.99,184.37
Dhruv Jurel,LSG,226.4,226.4,0.0
R Ashwin,KKR,225.29,79.69999999999999,145.6
Anmolpreet Singh,CSK,223.08,223.08,0.0
K Kartikeya,GT,221.9,47.54,174.36
Urvil Patel,DC,221.19,221.19,0.0
RR Rossouw,MI,220.44,220.44,0.0
Mohammad Nabi,GT,219.73,1.91,217.82
Smaran Ravichandran,PBKS,214.18,214.18,0.0
M Theekshana,MI,213.73,13.58,200.15
Sandeep Sharma,RR,211.67,-1.23,212.91
Kuldeep Yadav,SRH,207.38,1.77,205.6
LG Pretorius,GT,204.24,204.24,0.0
RS Hangargekar,RCB,189.04,76.92,112.14
M Jansen,RR,187.96,59.06,128.9
Yudhvir Singh,GT,183.89,52.24,131.65
PJ Cummins,PBKS,183.71,9.13,174.57
M Siddharth,CSK,181.91,-1.74,183.65
JC Archer,LSG,181.87,-2.41,184.28
Zeeshan Ansari,LSG,180.42,0.0,180.42
MG Bracewell,DC,177.55,26.32,151.23
Sameer Rizvi,LSG,171.59,171.59,0.0
Tanush Kotian,SRH,165.4,23.54,141.88
DS Airee,RCB,157.2,60.37,96.82
Naveen-ul-Haq,SRH,155.45,0.0,155.45
Avesh Khan,DC,153.77,-2.39,156.15
Swapnil Singh,RR,153.14,7.98,145.16
MM Ali,KKR,153.12,14.82,138.3
Atharva Ankolekar,MI,150.64,7.46,143.18
Rahul Singh,MI,144.99,150.17,-5.18
Umran Malik,MI,143.56,28.6,114.97
C Sakariya,SRH,141.84,-1.23,143.07
N Wadhera,RR,137.13,143.87,-6.75
RK Bhui,CSK,136.21,136.21,0.0
T Stubbs,SRH,136.03,136.03,0.0
A Mishra,CSK,135.22,4.68,130.54
RR Pant,KKR,130.26,130.26,0.0
Harpreet Brar,RCB,127.99,43.02,84.95
HR Shokeen,RR,126.98,0.0,126.98
F du Plessis,CSK,126.67,126.67,0.0
JO Holder,SRH,119.37,39.58,79.78999999999999
SH Johnson,SRH,109.38,0.47,108.92
R Tewatia,RR,108.62,6.789999999999999,101.83
Mohammad Ghazanfar,CSK,108.26,0.0,108.26
SS Ghosh,MI,104.82,-1.72,106.54
K Gowtham,DC,103.55,30.83,72.72
Kartik Sharma,LSG,101.07,101.07,0.0
TU Deshpande,RR,100.83,8.57,92.25999999999999
Harshit Rana,CSK,97.19,6.37,90.81
KA Maharaj,RR,97.09,0.0,97.09
Salman Nizar,PBKS,96.46,96.46,0.0
HC Brook,PBKS,94.99000000000001,94.99000000000001,0.0
GF Linde,RR,94.97,20.6,74.37
VG Arora,KKR,91.50999999999999,57.5,34.01
M Markande,PBKS,89.38000000000001,3.77,85.60000000000001
A Raghuvanshi,KKR,83.81,83.81,0.0
Ashwani Kumar,RR,83.57,-1.24,84.81
Mohammed Siraj,RCB,80.63,15.52,65.11
Jay Gohil,MI,78.3,78.3,0.0
Ramandeep Singh,LSG,76.47,33.82,42.66
Mohammed Shami,PBKS,76.16,-0.98,77.14
JG Bethell,SRH,71.87,78.74,-6.87
MA Agarwal,CSK,70.98,70.98,0.0
Nithish Kumar Reddy,GT,66.1,69.79,-3.69
Suyash Sharma,MI,65.53,19.11,46.42
Sikandar Raza,DC,65.29,-1.38,66.67
J Fraser-McGurk,RCB,65.23,65.23,0.0
DP Conway,GT,64.58,64.58,0.0
A Badoni,SRH,61.23,61.23,0.0
Noor Ahmad,RCB,60.91,17.44,43.45999999999999
Ravi Teja,LSG,58.47,-1.55,60.02
PWH de Silva,DC,58.46,0.0,58.46
Harsh Dubey,LSG,57.19,0.0,57.19
Yuvraj Chaudhary,RCB,56.38,60.16999999999999,-3.8
JD Unadkat,SRH,56.13,0.0,56.13
Yash Thakur,PBKS,54.28,-1.72,56.0
V Nigam,GT,54.09,28.57,25.53
SZ Mulani,MI,43.05,-3.56,46.62
Mukesh Kumar,GT,42.3,-1.18,43.48
V Kaverappa,SRH,39.77,0.0,39.77
DJ Hooda,GT,38.24,38.24,0.0
LH Ferguson,MI,37.43,3.39,34.04
OEG Baartman,RCB,36.43,0.0,36.43
TH David,LSG,35.98999999999999,35.98999999999999,0.0
MM Sharma,MI,35.23999999999999,0.0,35.23999999999999
S Gopal,DC,32.17,0.0,32.17
Mohsin Khan,RCB,31.62,0.0,31.62
Kartik Tyagi,PBKS,29.55,0.0,29.55
A Mhatre,KKR,29.44,29.44,0.0
Gurjapneet Singh,LSG,29.04,0.0,29.04
SB Dubey,GT,27.77,27.77,0.0
DL Chahar,PBKS,27.48,0.0,27.48
A Kamboj,RR,21.49,0.0,21.49
Azmatullah Omarzai,RR,20.29,28.05,-7.76
Samarth Vyas,MI,20.04,20.04,0.0
MR Marsh,DC,19.8,0.0,19.8
CJ Green,RCB,18.21,8.89,9.32
RG Sharma,PBKS,15.72,15.72,0.0
G Coetzee,KKR,12.93,11.03,1.9
Sanvir Singh,SRH,12.21,12.21,0.0
MK Lomror,SRH,11.55,17.06,-5.52
D Padikkal,GT,10.65,10.65,0.0
Mujeeb Ur Rahman,CSK,9.850000000000001,9.99,-0.1399999999999997
PN Mankad,SRH,5.1,5.1,0.0
Akash Vashisht,MI,4.89,4.89,0.0
A Manohar,GT,3.76,3.76,0.0
Sumit Kumar,DC,2.68,12.97,-10.29
Mustafizur Rahman,DC,2.120000000000001,0.0,2.120000000000001
K Rabada,DC,2.02,0.0,2.02
D Brevis,PBKS,1.87,1.87,0.0
DA Miller,PBKS,-0.31,-0.31,0.0
M Shahrukh Khan,RCB,-1.26,5.24,-6.5
KK Ahmed,GT,-1.62,0.0,-1.62
R Powell,KKR,-1.66,-1.66,0.0
HS Desai,DC,-1.82,-1.82,0.0
LUVNITH SISODIA,RR,-1.82,-1.82,0.0
Lalit Yadav,RCB,-2.05,0.0,-2.05
SM Curran,KKR,-2.31,0.0,-2.31
Jagjit Singh,CSK,-2.59,-0.57,-2.02
Akash Deep,SRH,-4.38,0.0,-4.38
Mohit Avasthi,MI,-4.62,0.0,-4.62
MJ Henry,RR,-5.44,0.0,-5.44
Yash Dayal,LSG,-5.97,0.0,-5.97
Cheepurapalli Stephen,DC,-6.0,0.0,-6.0
Shahbaz Ahmed,LSG,-7.029999999999999,0.0,-7.029999999999999
I Sharma,GT,-8.399999999999999,0.0,-8.399999999999999
AS Roy,SRH,-14.14,-2.04,-12.11
