striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
Naman Dhir,GT,18,503,314,17,50,16,80,160.19,18.47,29.59,4.76,25.48,356.55,92 (39),7-3-0,175
VR Iyer,SRH,18,502,290,12,39,21,54,173.1,24.17,41.83,4.83,18.62,369.06,107* (51),7-2-1,180
Priyansh Arya,SRH,16,500,310,17,53,12,91,161.29,18.24,29.41,4.77,29.35,351.89,83 (37),8-4-0,163
JM Sharma,RCB,17,486,292,12,41,21,78,166.44,24.33,40.5,4.71,26.71,353.72,80 (51),7-4-0,160
FH Allen,PBKS,18,479,286,18,60,13,103,167.48,15.89,26.61,3.92,36.01,343.83,75 (47),6-3-0,122
RG Sharma,KKR,18,466,264,14,43,18,52,176.52,18.86,33.29,4.33,19.7,350.17,78* (40),8-3-0,153
Sameer Rizvi,LSG,18,465,240,8,37,26,51,193.75,30.0,58.12,3.81,21.25,367.0,68* (36),7-3-0,136
P Simran Singh,SRH,18,449,283,18,49,16,101,158.66,15.72,24.94,4.35,35.69,322.02,80 (43),5-4-0,125
Smaran Ravichandran,PBKS,17,449,308,16,43,8,90,145.78,19.25,28.06,6.04,29.22,312.51,66* (45),6-2-0,173
PWH de Silva,RCB,12,442,234,9,45,22,63,188.89,26.0,49.11,3.49,26.92,348.87,86 (47),6-3-0,106
JP Inglis,GT,16,437,272,14,40,15,69,160.66,19.43,31.21,4.95,25.37,320.92,74 (38),5-2-0,156
Abdul Samad,LSG,15,427,297,10,38,13,98,143.77,29.7,42.7,5.82,33.0,305.03,87 (53),7-2-0,157
Aniket Verma,RR,18,424,247,14,41,19,72,171.66,17.64,30.29,4.12,29.15,321.05,85* (40),5-1-0,120
N Sindhu,DC,16,422,259,14,39,13,77,162.93,18.5,30.14,4.98,29.73,310.17,89* (46),7-2-0,141
N Rana,PBKS,14,420,252,14,42,17,72,166.67,18.0,30.0,4.27,28.57,315.9,114 (51),7-2-1,128
N Pooran,MI,18,396,246,15,22,22,83,160.98,16.4,26.4,5.59,33.74,291.89,54 (35),6-1-0,128
R Parag,GT,16,385,232,14,23,23,64,165.95,16.57,27.5,5.04,27.59,294.38,86 (48),6-1-0,126
SV Samson,GT,15,376,244,15,52,8,87,154.1,16.27,25.07,4.07,35.66,281.07,52 (30),6-2-0,103
Urvil Patel,MI,9,369,226,8,40,12,73,163.27,28.25,46.12,4.35,32.3,288.37,105* (63),7-2-1,109
SS Iyer,LSG,16,346,220,14,43,9,78,157.27,15.71,24.71,4.23,35.45,265.29,76* (42),4-2-0,94
Shashank Singh,PBKS,18,338,210,13,24,14,51,160.95,16.15,26.0,5.53,24.29,265.02,71* (44),4-3-0,128
Hassan Nawaz,RCB,14,330,206,12,26,17,68,160.19,17.17,27.5,4.79,33.01,259.31,79* (49),3-1-0,103
KA Pollard,CSK,12,329,189,7,29,10,33,174.07,27.0,47.0,4.85,17.46,277.12,64 (36),4-2-0,121
JC Buttler,LSG,15,327,216,13,22,13,54,151.39,16.62,25.15,6.17,25.0,252.61,67* (39),4-1-0,130
TH David,PBKS,14,321,196,11,20,17,58,163.78,17.82,29.18,5.3,29.59,256.48,77* (39),5-1-0,107
RM Patidar,KKR,18,312,247,15,19,11,77,126.32,16.47,20.8,8.23,31.17,225.02,55* (38),5-1-0,149
Abishek Porel,DC,10,290,169,7,31,10,44,171.6,24.14,41.43,4.12,26.04,252.13,85 (46),4-2-0,90
MW Short,MI,10,290,179,10,34,8,53,162.01,17.9,29.0,4.26,29.61,241.43,63 (34),5-2-0,85
Nithish Kumar Reddy,SRH,16,286,193,9,23,9,49,148.19,21.44,31.78,6.03,25.39,231.12,50* (31),4-1-0,113
RK Singh,MI,12,262,161,8,25,8,33,162.73,20.12,32.75,4.88,20.5,230.62,57* (27),3-1-0,96
D Brevis,RR,12,260,174,7,21,12,57,149.43,24.86,37.14,5.27,32.76,218.23,45 (22),4-0-0,86
V Suryavanshi,PBKS,15,260,176,15,38,3,72,147.73,11.73,17.33,4.29,40.91,207.84,49 (27),4-0-0,71
RD Rickelton,LSG,11,245,178,11,25,6,66,137.64,16.18,22.27,5.74,37.08,195.12,80 (45),3-2-0,87
MJ Owen,DC,13,241,135,11,22,11,40,178.52,12.27,21.91,4.09,29.63,221.34,87 (41),2-1-0,69
H Klaasen,CSK,8,233,169,7,24,5,54,137.87,24.14,33.29,5.83,31.95,195.41,64* (43),4-3-0,92
Tanush Kotian,CSK,12,232,113,6,35,8,32,205.31,18.83,38.67,2.63,28.32,242.84,82 (35),2-1-0,38
T Stubbs,CSK,11,221,138,8,18,11,38,160.14,17.25,27.62,4.76,27.54,203.18,66 (36),2-1-0,72
Atharva Taide,MI,6,201,125,6,25,6,47,160.8,20.83,33.5,4.03,37.6,190.41,53 (31),3-1-0,51
YK Pathan,KKR,17,195,153,9,8,15,70,127.45,17.0,21.67,6.65,45.75,159.29,38 (18),3-0-0,62
Karan Shinde,RCB,9,194,99,6,14,13,30,195.96,16.5,32.33,3.67,30.3,208.67,31 (11),1-0-0,44
Jay Gohil,LSG,6,191,97,4,17,10,26,196.91,24.25,47.75,3.59,26.8,213.18,67 (29),3-2-0,48
TP Ura,PBKS,7,177,97,6,19,7,24,182.47,16.17,29.5,3.73,24.74,194.63,54* (26),3-2-0,48
Babar Azam,KKR,11,177,160,11,18,4,73,110.62,14.55,16.09,7.27,45.62,137.09,46 (42),3-0-0,67
Chirag Jani,PBKS,9,174,106,8,12,9,35,164.15,13.25,21.75,5.05,33.02,173.29,52 (25),2-1-0,54
WL Madsen,MI,6,171,108,1,12,7,22,158.33,108.0,171.0,5.68,20.37,221.75,65* (39),3-1-0,69
D Wiese,GT,11,170,94,8,13,10,27,180.85,11.75,21.25,4.09,28.72,184.54,43* (15),1-0-0,49
Shadab Khan,SRH,9,168,91,6,19,6,25,184.62,15.17,28.0,3.64,27.47,188.9,49* (25),3-0-0,41
AM Rahane,MI,5,167,121,5,14,4,39,138.02,24.2,33.4,6.72,32.23,158.21,46 (26),3-0-0,66
Rahul Singh,RCB,10,165,118,9,16,7,44,139.83,13.11,18.33,5.13,37.29,153.84,46 (33),1-0-0,52
MR Marsh,SRH,6,162,108,6,13,5,31,150.0,18.0,27.0,6.0,28.7,161.86,72 (45),3-1-0,62
GF Linde,GT,9,160,109,4,15,7,46,146.79,27.25,40.0,4.95,42.2,159.05,51* (26),2-1-0,43
JDS Neesham,DC,8,158,118,8,15,5,43,133.9,14.75,19.75,5.9,36.44,146.19,42 (34),2-0-0,61
HH Pandya,MI,13,157,90,9,10,11,31,174.44,10.0,17.44,4.29,34.44,169.71,37* (18),1-0-0,42
Anmolpreet Singh,CSK,10,154,76,5,15,8,16,202.63,15.2,30.8,3.3,21.05,196.19,44* (21),3-0-0,38
T Banton,MI,7,143,89,5,14,6,33,160.67,17.8,28.6,4.45,37.08,156.22,67* (40),2-1-0,40
AB de Villiers,RR,6,142,85,5,12,7,22,167.06,17.0,28.4,4.47,25.88,165.19,65 (34),2-2-0,44
N Wadhera,KKR,14,137,93,10,10,8,36,147.31,9.3,13.7,5.17,38.71,139.75,43 (34),1-0-0,41
Dhruv Jurel,RCB,9,136,112,9,16,3,49,121.43,12.44,15.11,5.89,43.75,122.67,44 (33),1-0-0,47
AHT Donald,RCB,6,135,76,6,14,6,25,177.63,12.67,22.5,3.8,32.89,162.57,65 (31),2-1-0,34
Shashwat Rawat,PBKS,4,131,87,4,17,3,37,150.57,21.75,32.75,4.35,42.53,143.39,38 (26),3-0-0,32
AK Markram,DC,7,117,79,6,8,8,34,148.1,13.17,19.5,4.94,43.04,129.43,29 (12),0-0-0,31
PHKD Mendis,SRH,8,115,89,7,8,5,38,129.21,12.71,16.43,6.85,42.7,114.64,35 (26),2-0-0,41
Ishan Kishan,MI,6,111,87,6,13,2,30,127.59,14.5,18.5,5.8,34.48,118.73,42 (30),2-0-0,43
TM Head,GT,6,104,74,6,15,3,34,140.54,12.33,17.33,4.11,45.95,118.28,37 (35),1-0-0,25
PP Shaw,RCB,4,101,80,4,15,1,33,126.25,20.0,25.25,5.0,41.25,113.12,51 (42),1-1-0,31
MG Erasmus,RCB,8,101,86,7,12,2,44,117.44,12.29,14.43,6.14,51.16,96.81,39 (32),1-0-0,31
Arshad Khan,RR,10,99,56,3,9,3,19,176.79,18.67,33.0,4.67,33.93,141.33,20* (11),0-0-0,29
MS Pepper,RR,6,97,65,4,9,1,15,149.23,16.25,24.25,6.5,23.08,127.83,46* (32),2-0-0,40
Waseem Muhammad,DC,5,92,63,5,7,3,21,146.03,12.6,18.4,6.3,33.33,116.5,42 (27),1-0-0,35
AD Russell,DC,3,91,43,2,7,7,14,211.63,21.5,45.5,3.07,32.56,164.07,48* (19),1-0-0,17
JJ Smit,PBKS,5,87,50,3,10,3,12,174.0,16.67,29.0,3.85,24.0,141.42,42* (28),1-0-0,25
HC Brook,MI,6,87,74,5,5,3,32,117.57,14.8,17.4,9.25,43.24,91.9,32 (31),1-0-0,37
RR Rossouw,SRH,6,86,63,6,8,4,28,136.51,10.5,14.33,5.25,44.44,103.36,55 (43),1-1-0,23
Hemang Patel,GT,9,86,74,7,5,5,40,116.22,10.57,12.29,7.4,54.05,84.47,35 (26),1-0-0,27
GD Phillips,GT,6,80,37,6,3,7,10,216.22,6.17,13.33,3.7,27.03,152.74,30 (12),1-0-0,18
Gaurav Puri,CSK,5,77,56,5,4,4,24,137.5,11.2,15.4,7.0,42.86,97.28,48 (22),1-0-0,26
JN Loftie-Eaton,RR,4,74,52,2,5,4,24,142.31,26.0,37.0,5.78,46.15,105.37,37* (25),1-0-0,19
Akash Vasisht,DC,4,73,50,3,4,5,25,146.0,16.67,24.33,5.56,50.0,100.33,36* (23),1-0-0,16
Ramandeep Singh,LSG,6,70,47,4,5,3,18,148.94,11.75,17.5,5.88,38.3,103.62,23* (10),0-0-0,23
TA Boult,MI,8,70,48,7,4,6,25,145.83,6.86,10.0,4.8,52.08,94.51,18 (11),0-0-0,14
Mohammad Nabi,LSG,5,63,45,5,6,3,17,140.0,9.0,12.6,5.0,37.78,96.33,31 (19),1-0-0,20
Suryansh Shedge,CSK,6,60,30,6,5,5,13,200.0,5.0,10.0,3.0,43.33,126.92,21 (7),0-0-0,7
SR Hain,MI,3,58,45,3,4,2,13,128.89,15.0,19.33,7.5,28.89,92.28,49 (34),1-0-0,26
DP Conway,PBKS,3,57,66,3,5,0,30,86.36,22.0,19.0,13.2,45.45,60.45,34 (35),1-0-0,32
D Ferreira,DC,6,55,42,4,4,2,20,130.95,10.5,13.75,7.0,47.62,78.8,18 (15),0-0-0,19
MS Dhoni,CSK,2,54,31,2,3,2,6,174.19,15.5,27.0,6.2,19.35,120.05,35 (22),1-0-0,21
Washington Sundar,PBKS,10,53,67,5,4,2,43,79.1,13.4,10.6,11.17,64.18,40.72,13* (9),0-0-0,19
Ashutosh Sharma,RCB,4,52,35,2,5,1,11,148.57,17.5,26.0,5.83,31.43,100.5,47* (26),1-0-0,20
AR Ramjani,PBKS,9,50,58,3,2,1,29,86.21,19.33,16.67,19.33,50.0,51.36,13 (14),0-0-0,27
RA Jadeja,RCB,7,49,33,5,3,4,18,148.48,6.6,9.8,4.71,54.55,82.68,22* (6),0-0-0,11
LS Livingstone,KKR,2,49,51,2,5,2,30,96.08,25.5,24.5,7.29,58.82,59.11,27 (31),0-0-0,16
Azmatullah Omarzai,LSG,2,47,35,2,4,2,14,134.29,17.5,23.5,5.83,40.0,85.97,35 (30),1-0-0,15
R Shepherd,GT,8,46,30,6,6,2,13,153.33,5.0,7.67,3.75,43.33,92.0,17* (7),0-0-0,9
Shaheen Shah Afridi,MI,8,45,69,6,2,2,45,65.22,11.5,7.5,17.25,65.22,26.13,10* (14),0-0-0,21
Sikandar Raza,MI,3,44,30,3,2,3,10,146.67,10.0,14.67,6.0,33.33,90.67,33 (18),1-0-0,15
DR Sams,GT,7,44,39,4,4,0,18,112.82,9.75,11.0,9.75,46.15,61.72,17 (15),0-0-0,18
Faisal Khan,LSG,2,43,26,2,5,1,6,165.38,13.0,21.5,4.33,23.08,110.14,35 (20),1-0-0,16
DAJ Bracewell,RCB,6,42,27,6,5,1,11,155.56,4.5,7.0,4.5,40.74,89.45,15 (7),0-0-0,11
RA Bawa,SRH,4,42,30,3,3,3,15,140.0,10.0,14.0,5.0,50.0,78.25,23* (13),0-0-0,9
AA Kulkarni,GT,3,38,27,3,6,0,16,140.74,9.0,12.67,4.5,59.26,70.93,32 (21),1-0-0,8
V Nigam,MI,2,36,17,1,3,3,8,211.76,17.0,36.0,2.83,47.06,0.0,33* (13),1-0-0,5
RR Pant,GT,2,35,25,1,3,2,10,140.0,25.0,35.0,5.0,40.0,87.75,23 (19),0-0-0,10
DS Airee,RCB,3,34,24,2,4,1,8,141.67,12.0,17.0,4.8,33.33,0.0,27 (18),0-0-0,11
Utkarsh Singh,PBKS,3,32,22,3,2,3,14,145.45,7.33,10.67,4.4,63.64,0.0,20 (9),0-0-0,5
Jagjit Singh,SRH,2,32,25,0,3,0,8,128.0,inf,inf,8.33,32.0,80.05,18* (13),0-0-0,14
Naseem Shah,LSG,4,31,22,3,0,3,9,140.91,7.33,10.33,7.33,40.91,0.0,21* (10),0-0-0,10
DJ Bravo,RCB,5,30,26,4,2,2,16,115.38,6.5,7.5,6.5,61.54,48.21,18 (13),0-0-0,9
YS Chahal,RCB,5,30,27,4,1,2,13,111.11,6.75,7.5,9.0,48.15,51.85,11* (8),0-0-0,11
AR Patel,CSK,7,30,30,5,3,0,18,100.0,6.0,6.0,10.0,60.0,37.75,11 (5),0-0-0,12
Yuvraj Chaudhary,GT,1,29,16,1,2,2,6,181.25,16.0,29.0,4.0,37.5,0.0,29 (16),0-0-0,6
Karan Lal,RR,3,27,18,2,3,1,8,150.0,9.0,13.5,4.5,44.44,0.0,17 (12),0-0-0,6
M Prasidh Krishna,MI,5,27,19,2,2,1,6,142.11,9.5,13.5,6.33,31.58,0.0,10 (9),0-0-0,10
Khrievitso Kense,RCB,5,27,20,3,1,1,8,135.0,6.67,9.0,10.0,40.0,0.0,18* (13),0-0-0,11
Akshay Karnewar,PBKS,1,27,21,0,0,2,7,128.57,inf,inf,10.5,33.33,0.0,27* (21),0-0-0,12
Jaskaran Singh,KKR,3,26,17,0,1,2,7,152.94,inf,inf,5.67,41.18,0.0,16* (9),0-0-0,8
JC Archer,LSG,5,24,34,3,2,0,22,70.59,11.33,8.0,17.0,64.71,17.58,9* (11),0-0-0,12
Kuldeep Yadav,SRH,5,24,40,4,2,0,27,60.0,10.0,6.0,20.0,67.5,9.5,13 (21),0-0-0,11
CH Morris,DC,3,23,18,3,2,2,11,127.78,6.0,7.67,4.5,61.11,0.0,12 (10),0-0-0,3
Rashid Khan,RR,3,22,22,2,1,1,10,100.0,11.0,11.0,11.0,45.45,0.0,14 (12),0-0-0,10
M Siddharth,CSK,5,21,12,2,1,2,6,175.0,6.0,10.5,4.0,50.0,0.0,13* (5),0-0-0,3
Khushdil Shah,DC,4,21,26,3,1,1,15,80.77,8.67,7.0,13.0,57.69,25.2,11 (15),0-0-0,9
Sumit Kumar,DC,1,20,15,0,0,2,6,133.33,inf,inf,7.5,40.0,0.0,20* (15),0-0-0,7
DJ Hooda,DC,3,20,17,2,2,0,8,117.65,8.5,10.0,8.5,47.06,0.0,11 (10),0-0-0,8
Shakib Al Hasan,PBKS,3,20,19,1,1,0,6,105.26,19.0,20.0,19.0,31.58,0.0,12* (11),0-0-0,12
HS Desai,PBKS,1,20,24,1,2,0,13,83.33,24.0,20.0,12.0,54.17,0.0,20 (24),0-0-0,9
V Puthur,DC,2,18,16,1,2,0,10,112.5,16.0,18.0,8.0,62.5,0.0,13* (8),0-0-0,5
MK Lomror,SRH,1,17,15,1,3,0,7,113.33,15.0,17.0,5.0,46.67,0.0,17 (15),0-0-0,5
Avesh Khan,GT,3,17,25,3,0,1,15,68.0,8.33,5.67,25.0,60.0,13.16,12 (18),0-0-0,10
Mohammad Ghazanfar,SRH,4,15,10,4,0,1,4,150.0,2.5,3.75,10.0,40.0,0.0,9 (3),0-0-0,5
Yuvraj Singh,CSK,1,14,8,0,1,1,3,175.0,inf,inf,4.0,37.5,0.0,14* (8),0-0-0,3
NA Rathva,RCB,3,14,16,3,2,0,11,87.5,5.33,4.67,8.0,68.75,0.0,9 (10),0-0-0,5
KH Pandya,SRH,1,14,23,1,0,0,12,60.87,23.0,14.0,inf,52.17,0.0,14 (23),0-0-0,12
RS Hangargekar,MI,2,13,10,2,1,0,5,130.0,5.0,6.5,10.0,50.0,0.0,11 (7),0-0-0,6
AV Wankhade,CSK,1,13,15,1,1,0,7,86.67,15.0,13.0,15.0,46.67,0.0,13 (15),0-0-0,8
SPD Smith,CSK,2,13,17,2,1,0,11,76.47,8.5,6.5,17.0,64.71,0.0,11 (11),0-0-0,6
Ishaan Gadekar,RCB,4,13,18,4,1,0,12,72.22,4.5,3.25,18.0,66.67,0.0,7 (7),0-0-0,5
TU Deshpande,MI,1,12,13,0,1,1,9,92.31,inf,inf,6.5,69.23,0.0,12* (13),0-0-0,2
RD Chahar,CSK,3,11,8,2,1,1,5,137.5,4.0,5.5,4.0,62.5,0.0,6 (3),0-0-0,1
HJ Manenti,PBKS,3,11,11,2,1,0,5,100.0,5.5,5.5,11.0,45.45,0.0,9 (7),0-0-0,5
NT Ellis,SRH,2,11,11,2,2,0,7,100.0,5.5,5.5,5.5,63.64,0.0,11 (9),0-0-0,3
KA Maharaj,SRH,3,10,4,0,2,0,0,250.0,inf,inf,2.0,0.0,0.0,5* (2),0-0-0,2
S Lamichhane,DC,1,10,5,0,0,1,1,200.0,inf,inf,5.0,20.0,0.0,10* (5),0-0-0,3
A Nagwaswalla,RR,2,10,8,0,2,0,4,125.0,inf,inf,4.0,50.0,0.0,5* (4),0-0-0,2
Yudhvir Singh,RCB,2,10,8,1,2,0,4,125.0,8.0,10.0,4.0,50.0,0.0,10* (7),0-0-0,2
T Natarajan,CSK,1,9,3,1,0,1,1,300.0,3.0,9.0,3.0,33.33,0.0,9 (3),0-0-0,1
Rasikh Salam,GT,2,9,6,0,2,0,4,150.0,inf,inf,3.0,66.67,0.0,5* (4),0-0-0,1
Ihsanullah,DC,2,9,7,0,0,1,3,128.57,inf,inf,7.0,42.86,0.0,8* (6),0-0-0,3
SS Ghosh,MI,2,9,9,1,1,0,4,100.0,9.0,9.0,9.0,44.44,0.0,5* (6),0-0-0,5
R Sai Kishore,MI,2,8,8,1,0,1,5,100.0,8.0,8.0,8.0,62.5,0.0,7* (5),0-0-0,2
M Jansen,SRH,2,8,9,2,1,0,5,88.89,4.5,4.0,9.0,55.56,0.0,8 (8),0-0-0,3
JJ Bumrah,DC,5,8,11,3,1,0,7,72.73,3.67,2.67,11.0,63.64,0.0,4* (1),0-0-0,3
Harsh Tyagi,SRH,3,8,13,3,0,0,7,61.54,4.33,2.67,inf,53.85,0.0,5 (4),0-0-0,6
Arshdeep Singh,LSG,4,8,14,2,1,0,10,57.14,7.0,4.0,14.0,71.43,0.0,7 (7),0-0-0,3
Shahbaz Ahmed,GT,1,7,3,1,0,1,1,233.33,3.0,7.0,3.0,33.33,0.0,7 (3),0-0-0,1
A Sheth,DC,1,7,5,1,1,0,2,140.0,5.0,7.0,5.0,40.0,0.0,7 (5),0-0-0,2
SB Dubey,PBKS,1,7,7,1,1,0,4,100.0,7.0,7.0,7.0,57.14,0.0,7 (7),0-0-0,2
SZ Mulani,LSG,1,7,8,0,1,0,4,87.5,inf,inf,8.0,50.0,0.0,7* (8),0-0-0,3
BM Duckett,RCB,2,7,11,2,1,0,8,63.64,5.5,3.5,11.0,72.73,0.0,5 (4),0-0-0,2
Fazalhaq Farooqi,CSK,2,7,15,1,0,0,12,46.67,15.0,7.0,inf,80.0,0.0,6 (14),0-0-0,3
SN Thakur,GT,1,6,2,1,0,1,1,300.0,2.0,6.0,2.0,50.0,0.0,6 (2),0-0-0,0
Noor Ahmad,MI,1,6,3,1,1,0,1,200.0,3.0,6.0,3.0,33.33,0.0,6 (3),0-0-0,1
Mohammed Shami,GT,2,6,4,2,0,1,3,150.0,2.0,3.0,4.0,75.0,0.0,6 (3),0-0-0,0
Pulkit Narang,RR,1,6,5,0,1,0,4,120.0,inf,inf,5.0,80.0,0.0,6* (5),0-0-0,1
RK Bhui,KKR,1,6,10,1,1,0,8,60.0,10.0,6.0,10.0,80.0,0.0,6 (10),0-0-0,1
D Padikkal,KKR,1,5,6,0,0,0,4,83.33,inf,inf,inf,66.67,0.0,5* (6),0-0-0,2
Waqar Salamkheil,PBKS,1,5,10,0,0,0,6,50.0,inf,inf,inf,60.0,0.0,5* (10),0-0-0,4
C Sakariya,SRH,1,4,3,0,1,0,2,133.33,inf,inf,3.0,66.67,0.0,4* (3),0-0-0,0
LI Meriwala,DC,1,4,4,0,0,0,1,100.0,inf,inf,inf,25.0,0.0,4* (4),0-0-0,3
Samarth Vyas,KKR,2,4,6,2,0,0,3,66.67,3.0,2.0,inf,50.0,0.0,2 (4),0-0-0,3
Abrar Ahmed,GT,4,3,4,0,0,0,1,75.0,inf,inf,inf,25.0,0.0,1* (1),0-0-0,3
R Powell,KKR,2,3,7,2,0,0,4,42.86,3.5,1.5,inf,57.14,0.0,3 (5),0-0-0,3
MA Starc,KKR,6,3,15,3,0,0,12,20.0,5.0,1.0,inf,80.0,0.0,2 (7),0-0-0,3
B Kumar,KKR,5,3,28,2,0,0,25,10.71,14.0,1.5,inf,89.29,-39.72,2 (6),0-0-0,3
Harshit Rana,KKR,1,2,2,1,0,0,1,100.0,2.0,2.0,inf,50.0,0.0,2 (2),0-0-0,1
MP Yadav,PBKS,2,2,2,1,0,0,1,100.0,2.0,2.0,inf,50.0,0.0,2* (1),0-0-0,1
SH Johnson,GT,1,2,7,1,0,0,6,28.57,7.0,2.0,inf,85.71,0.0,2 (7),0-0-0,1
M Pathirana,RCB,2,2,8,1,0,0,6,25.0,8.0,2.0,inf,75.0,0.0,2* (7),0-0-0,2
PJ Cummins,RR,2,2,8,2,0,0,6,25.0,4.0,1.0,inf,75.0,0.0,1 (3),0-0-0,2
Harsh Dubey,RCB,3,2,10,3,0,0,8,20.0,3.33,0.67,inf,80.0,0.0,2 (7),0-0-0,2
Naveen-ul-Haq,SRH,1,1,1,0,0,0,0,100.0,inf,inf,inf,0.0,0.0,1* (1),0-0-0,1
F du Plessis,GT,1,1,2,1,0,0,2,50.0,2.0,1.0,inf,100.0,0.0,1 (2),0-0-0,1
SL Malinga,PBKS,2,1,4,0,0,0,3,25.0,inf,inf,inf,75.0,0.0,1* (2),0-0-0,1
Ravi Bishnoi,LSG,2,1,5,1,0,0,4,20.0,5.0,1.0,inf,80.0,0.0,1* (1),0-0-0,1
Vishnu Vinod,RR,2,1,5,2,0,0,4,20.0,2.5,0.5,inf,80.0,0.0,1 (2),0-0-0,1
VG Arora,KKR,1,1,7,1,0,0,7,14.29,7.0,1.0,inf,100.0,0.0,1 (7),0-0-0,1
Imran Tahir,CSK,3,1,8,2,0,0,7,12.5,4.0,0.5,inf,87.5,0.0,1 (4),0-0-0,1
BA Stokes,SRH,3,0,6,2,0,0,6,0.0,3.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
CV Varun,PBKS,2,0,11,2,0,0,13,0.0,5.5,0.0,inf,118.18,0.0,0 (8),0-0-0,0
Cheepurapalli Stephen,CSK,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
JR Hazlewood,RR,1,0,1,1,0,0,2,0.0,1.0,0.0,inf,200.0,0.0,0 (1),0-0-0,0
Kartik Sharma,SRH,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Mayank Dagar,LSG,2,0,4,2,0,0,5,0.0,2.0,0.0,inf,125.0,0.0,0 (1),0-0-0,0
Ravi Teja,RCB,2,0,4,2,0,0,4,0.0,2.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Shivank Vashisth,RCB,1,0,1,0,0,0,1,0.0,inf,,inf,100.0,0.0,0* (1),0-0-0,0
