striker,batting_team,num_innings,fours,runs,strike_rate
Jagjit Singh,SRH,2,3,32,128.0
MK Lomror,SRH,1,3,17,113.33
AR Patel,CSK,7,3,30,100.0
KA Maharaj,SRH,3,2,10,250.0
Yuvraj Chaudhary,GT,1,2,29,181.25
Rasikh Salam,GT,2,2,9,150.0
Sikandar Raza,MI,3,2,44,146.67
Utkarsh Singh,PBKS,3,2,32,145.45
M Prasidh Krishna,MI,5,2,27,142.11
CH Morris,DC,3,2,23,127.78
A Nagwaswalla,RR,2,2,10,125.0
Yudhvir Singh,RCB,2,2,10,125.0
DJ Hooda,DC,3,2,20,117.65
DJ Bravo,RCB,5,2,30,115.38
V Puthur,DC,2,2,18,112.5
NT Ellis,SRH,2,2,11,100.0
NA Rathva,RCB,3,2,14,87.5
AR Ramjani,PBKS,9,2,50,86.21
HS Desai,PBKS,1,2,20,83.33
JC Archer,LSG,5,2,24,70.59
Shaheen Shah Afridi,MI,8,2,45,65.22
Kuldeep Yadav,SRH,5,2,24,60.0
Noor Ahmad,MI,1,1,6,200.0
M Siddharth,CSK,5,1,21,175.0
Yuvraj Singh,CSK,1,1,14,175.0
Jaskaran Singh,KKR,3,1,26,152.94
A Sheth,DC,1,1,7,140.0
RD Chahar,CSK,3,1,11,137.5
Khrievitso Kense,RCB,5,1,27,135.0
C Sakariya,SRH,1,1,4,133.33
RS Hangargekar,MI,2,1,13,130.0
Pulkit Narang,RR,1,1,6,120.0
Shakib Al Hasan,PBKS,3,1,20,105.26
YS Chahal,RCB,6,1,30,103.45
Rashid Khan,RR,3,1,22,100.0
HJ Manenti,PBKS,3,1,11,100.0
SS Ghosh,MI,2,1,9,100.0
SB Dubey,PBKS,1,1,7,100.0
TU Deshpande,MI,1,1,12,92.31
M Jansen,SRH,2,1,8,88.89
SZ Mulani,LSG,1,1,7,87.5
AV Wankhade,CSK,1,1,13,86.67
Khushdil Shah,DC,4,1,21,80.77
SPD Smith,CSK,2,1,13,76.47
JJ Bumrah,DC,5,1,8,72.73
Ishaan Gadekar,RCB,4,1,13,72.22
BM Duckett,RCB,2,1,7,63.64
RK Bhui,KKR,1,1,6,60.0
Arshdeep Singh,LSG,4,1,8,57.14
