partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
D Wiese  - GF Linde,GT,98,65,2,10,3,150.77,49.0,5.0
Aniket Verma  - MS Pepper,RR,97,60,1,10,1,161.67,97.0,5.45
SV Samson  - TM Head,GT,97,50,5,14,4,194.0,19.4,2.78
Ishan Kishan  - Urvil Patel,MI,94,52,3,10,3,180.77,31.33,4.0
Chirag Jani  - TH David,PBKS,94,47,2,4,8,200.0,47.0,3.92
Naman Dhir  - SV Samson,GT,92,69,4,12,2,133.33,23.0,4.93
JC Buttler  - Sameer Rizvi,LSG,92,59,3,6,3,155.93,30.67,6.56
D Wiese  - JP Inglis,GT,91,40,3,8,5,227.5,30.33,3.08
SS Iyer  - WG Jacks,LSG,90,68,5,9,3,132.35,18.0,5.67
RA Bawa  - VR Iyer,SRH,90,38,2,6,7,236.84,45.0,2.92
H Klaasen  - Tilak Varma,CSK,90,57,2,13,1,157.89,45.0,4.07
Babar Azam  - RG Sharma,KKR,90,56,1,9,3,160.71,90.0,4.67
PD Salt  - PP Shaw,RCB,89,60,4,14,2,148.33,22.25,3.75
Sameer Rizvi  - Shubman Gill,LSG,86,38,0,8,3,226.32,inf,3.45
Jay Gohil  - Shubman Gill,LSG,86,49,1,4,4,175.51,86.0,6.12
Sikandar Raza  - WL Madsen,MI,86,58,3,5,5,148.28,28.67,5.8
Hassan Nawaz  - JM Sharma,RCB,85,44,4,4,6,193.18,21.25,4.4
JDS Neesham  - V Kohli,DC,84,57,1,9,3,147.37,84.0,4.75
JM Sharma  - Rahul Singh,RCB,83,53,3,7,4,156.6,27.67,4.82
R Parag  - RD Gaikwad,GT,83,59,4,6,4,140.68,20.75,5.9
DS Airee  - JM Sharma,RCB,82,37,1,9,4,221.62,82.0,2.85
N Wadhera  - YK Pathan,KKR,82,47,5,6,6,174.47,16.4,3.92
CH Gayle  - MS Dhoni,CSK,82,47,1,6,3,174.47,82.0,5.22
N Rana  - V Suryavanshi,PBKS,80,53,3,8,4,150.94,26.67,4.42
AHT Donald  - JM Sharma,RCB,78,48,2,7,3,162.5,39.0,4.8
AR Ramjani  - Shashank Singh,PBKS,77,42,1,4,5,183.33,77.0,4.67
Shashank Singh  - TP Ura,PBKS,77,39,3,8,2,197.44,25.67,3.9
AB de Villiers  - D Brevis,RR,76,51,2,8,1,149.02,38.0,5.67
JM Sharma  - MG Erasmus,RCB,75,44,2,8,2,170.45,37.5,4.4
Abhishek Sharma  - Ishan Kishan,MI,75,43,3,8,2,174.42,25.0,4.3
KL Rahul  - Shadab Khan,SRH,75,43,1,7,2,174.42,75.0,4.78
MP Stoinis  - YK Pathan,KKR,73,56,2,5,4,130.36,36.5,6.22
Dhruv Jurel  - JM Sharma,RCB,72,52,2,8,1,138.46,36.0,5.78
SA Yadav  - Waseem Muhammad,DC,72,46,1,4,3,156.52,72.0,6.57
JDS Neesham  - MJ Owen,DC,71,54,3,4,1,131.48,23.67,10.8
P Simran Singh  - PHKD Mendis,SRH,70,45,1,3,4,155.56,70.0,6.43
FH Allen  - Smaran Ravichandran,PBKS,69,51,3,7,2,135.29,23.0,5.67
AK Markram  - SA Yadav,DC,69,50,4,5,3,138.0,17.25,6.25
JM Sharma  - Karan Shinde,RCB,68,34,3,7,4,200.0,22.67,3.09
Babar Azam  - RM Patidar,KKR,67,67,5,2,1,100.0,13.4,22.33
Abhishek Sharma  - T Banton,MI,66,32,1,6,3,206.25,66.0,3.56
Smaran Ravichandran  - TH David,PBKS,66,42,3,5,2,157.14,22.0,6.0
AK Markram  - V Kohli,DC,65,48,1,3,3,135.42,65.0,8.0
N Rana  - TH David,PBKS,65,41,1,6,2,158.54,65.0,5.12
JJ Smit  - Shashank Singh,PBKS,64,33,1,7,2,193.94,64.0,3.67
Ramandeep Singh  - Sameer Rizvi,LSG,64,40,2,6,2,160.0,32.0,5.0
Karan Shinde  - MG Erasmus,RCB,64,34,3,5,4,188.24,21.33,3.78
Atharva Taide  - N Pooran,MI,63,38,3,7,1,165.79,21.0,4.75
Abhishek Sharma  - N Pooran,MI,60,33,5,4,3,181.82,12.0,4.71
PP Shaw  - PWH de Silva,RCB,60,34,1,7,3,176.47,60.0,3.4
AD Russell  - MJ Owen,DC,60,25,1,7,3,240.0,60.0,2.5
MR Marsh  - Priyansh Arya,SRH,59,27,1,6,2,218.52,59.0,3.38
V Nigam  - WL Madsen,MI,59,29,1,6,3,203.45,59.0,3.22
N Rana  - Shashwat Rawat,PBKS,58,30,2,8,2,193.33,29.0,3.0
HC Brook  - MW Short,MI,58,34,1,8,1,170.59,58.0,3.78
Dhruv Jurel  - Hassan Nawaz,RCB,58,36,2,4,3,161.11,29.0,5.14
Mohammad Nabi  - Sameer Rizvi,LSG,58,34,2,4,4,170.59,29.0,4.25
KL Rahul  - RR Rossouw,SRH,57,39,2,5,4,146.15,28.5,4.33
RG Sharma  - SP Narine,KKR,57,33,1,2,3,172.73,57.0,6.6
RK Singh  - TA Boult,MI,57,34,2,2,5,167.65,28.5,4.86
C Green  - SP Narine,KKR,57,40,2,6,1,142.5,28.5,5.71
Hemang Patel  - RD Gaikwad,GT,57,41,1,2,3,139.02,57.0,8.2
B Sai Sudharsan  - T Stubbs,CSK,56,50,3,3,1,112.0,18.67,12.5
Akshay Karnewar  - Smaran Ravichandran,PBKS,56,37,0,3,2,151.35,inf,7.4
JC Buttler  - RD Rickelton,LSG,55,26,1,5,2,211.54,55.0,3.71
JN Loftie-Eaton  - YBK Jaiswal,RR,54,26,0,3,4,207.69,inf,3.71
Ishan Kishan  - WL Madsen,MI,54,40,1,2,2,135.0,54.0,10.0
Sameer Rizvi  - WG Jacks,LSG,54,31,3,3,3,174.19,18.0,5.17
MG Erasmus  - PD Salt,RCB,53,43,1,4,2,123.26,53.0,7.17
Karan Shinde  - Rahul Singh,RCB,53,35,0,2,3,151.43,inf,7.0
Arshad Khan  - YBK Jaiswal,RR,52,30,1,4,2,173.33,52.0,5.0
RG Sharma  - YK Pathan,KKR,52,31,3,3,2,167.74,17.33,6.2
N Pooran  - RK Singh,MI,52,42,5,1,2,123.81,10.4,14.0
HH Pandya  - Shaheen Shah Afridi,MI,51,33,1,3,4,154.55,51.0,4.71
BJ McMullen  - MS Pepper,RR,51,29,2,5,2,175.86,25.5,4.14
MW Short  - Urvil Patel,MI,51,26,1,7,2,196.15,51.0,2.89
Naman Dhir  - RR Pant,GT,51,34,1,5,2,150.0,51.0,4.86
Shashwat Rawat  - Smaran Ravichandran,PBKS,51,34,1,6,1,150.0,51.0,4.86
MJ Owen  - V Kohli,DC,51,26,1,6,2,196.15,51.0,3.25
AR Patel  - Gaurav Puri,CSK,51,31,1,2,3,164.52,51.0,6.2
Akash Vasisht  - SA Yadav,DC,50,31,1,1,3,161.29,50.0,7.75
PHKD Mendis  - RR Rossouw,SRH,49,33,1,2,2,148.48,49.0,8.25
MJ Owen  - N Sindhu,DC,48,29,2,3,1,165.52,24.0,7.25
CH Gayle  - SPD Smith,CSK,47,31,2,4,3,151.61,23.5,4.43
C Green  - LS Livingstone,KKR,46,44,2,5,0,104.55,23.0,8.8
Shashank Singh  - Utkarsh Singh,PBKS,46,28,2,2,4,164.29,23.0,4.67
LS Livingstone  - SP Narine,KKR,46,37,2,4,3,124.32,23.0,5.29
FH Allen  - TH David,PBKS,45,31,1,4,0,145.16,45.0,7.75
Ishan Kishan  - N Pooran,MI,45,33,1,4,1,136.36,45.0,6.6
NA Rathva  - PD Salt,RCB,44,29,3,5,1,151.72,14.67,4.83
CH Gayle  - KA Pollard,CSK,44,36,1,6,0,122.22,44.0,6.0
MW Short  - N Pooran,MI,44,28,4,4,2,157.14,11.0,4.67
TH David  - TP Ura,PBKS,43,28,3,2,3,153.57,14.33,5.6
Gaurav Puri  - T Stubbs,CSK,43,33,2,4,1,130.3,21.5,6.6
GF Linde  - Naman Dhir,GT,42,27,1,6,0,155.56,42.0,4.5
Smaran Ravichandran  - V Suryavanshi,PBKS,42,26,2,6,0,161.54,21.0,4.33
DJ Bravo  - JM Sharma,RCB,42,25,2,4,2,168.0,21.0,4.17
Jagjit Singh  - Shadab Khan,SRH,42,30,0,4,0,140.0,inf,7.5
Faisal Khan  - Mohammad Nabi,LSG,41,20,1,3,2,205.0,41.0,4.0
DP Conway  - Smaran Ravichandran,PBKS,41,35,2,3,0,117.14,20.5,11.67
GD Phillips  - RD Gaikwad,GT,40,22,1,1,3,181.82,40.0,5.5
Anmolpreet Singh  - T Stubbs,CSK,40,22,2,2,3,181.82,20.0,4.4
Gaurav Puri  - Tanush Kotian,CSK,40,26,2,6,1,153.85,20.0,3.71
KA Pollard  - MS Dhoni,CSK,40,20,1,2,2,200.0,40.0,5.0
AHT Donald  - Hassan Nawaz,RCB,40,30,2,3,1,133.33,20.0,7.5
Azmatullah Omarzai  - WG Jacks,LSG,40,31,1,4,0,129.03,40.0,7.75
RK Singh  - Shaheen Shah Afridi,MI,39,30,1,5,1,130.0,39.0,5.0
AV Wankhade  - B Sai Sudharsan,CSK,38,29,1,2,1,131.03,38.0,9.67
JDS Neesham  - N Sindhu,DC,38,23,1,5,0,165.22,38.0,4.6
JN Loftie-Eaton  - Rashid Khan,RR,38,37,2,2,2,102.7,19.0,9.25
DR Sams  - Naman Dhir,GT,38,28,3,2,2,135.71,12.67,7.0
HC Brook  - RK Singh,MI,38,30,2,1,1,126.67,19.0,15.0
Arshad Khan  - MS Pepper,RR,37,23,0,4,0,160.87,inf,5.75
D Ferreira  - SA Yadav,DC,37,24,1,4,0,154.17,37.0,6.0
Tarang Gohel  - Waseem Muhammad,DC,37,27,1,5,0,137.04,37.0,5.4
KA Pollard  - Tilak Varma,CSK,36,25,2,1,2,144.0,18.0,8.33
Ishaan Gadekar  - PD Salt,RCB,36,31,2,5,1,116.13,18.0,5.17
MK Lomror  - P Simran Singh,SRH,36,25,1,3,2,144.0,36.0,5.0
DP Conway  - V Suryavanshi,PBKS,35,33,2,3,0,106.06,17.5,11.0
Shakib Al Hasan  - Smaran Ravichandran,PBKS,35,25,1,4,1,140.0,35.0,5.0
Khushdil Shah  - MJ Owen,DC,33,30,1,2,2,110.0,33.0,7.5
N Rana  - TP Ura,PBKS,33,23,1,2,2,143.48,33.0,5.75
RK Singh  - T Banton,MI,33,27,1,4,1,122.22,33.0,5.4
Abdul Samad  - Ramandeep Singh,LSG,32,27,1,3,0,118.52,32.0,9.0
TH David  - Washington Sundar,PBKS,31,24,0,3,0,129.17,inf,8.0
Shashank Singh  - Smaran Ravichandran,PBKS,30,30,5,2,0,100.0,6.0,15.0
JP Inglis  - Yuvraj Chaudhary,GT,30,21,1,4,0,142.86,30.0,5.25
R Parag  - SV Samson,GT,30,22,1,1,2,136.36,30.0,7.33
N Rana  - Shashank Singh,PBKS,29,20,3,3,0,145.0,9.67,6.67
MP Stoinis  - RM Patidar,KKR,28,22,6,2,1,127.27,4.67,7.33
B Sai Sudharsan  - Gaurav Puri,CSK,28,29,2,1,0,96.55,14.0,29.0
Avesh Khan  - DR Sams,GT,27,32,2,0,1,84.38,13.5,32.0
Abdul Samad  - RD Rickelton,LSG,27,20,1,1,1,135.0,27.0,10.0
HH Pandya  - N Pooran,MI,27,22,2,3,0,122.73,13.5,7.33
GF Linde  - JP Inglis,GT,26,32,3,2,0,81.25,8.67,16.0
AB de Villiers  - S Dube,RR,25,21,1,2,1,119.05,25.0,7.0
Hemang Patel  - JP Inglis,GT,25,29,2,1,0,86.21,12.5,29.0
AR Ramjani  - TH David,PBKS,24,22,1,1,1,109.09,24.0,11.0
Khrievitso Kense  - PP Shaw,RCB,24,24,1,1,0,100.0,24.0,24.0
KH Pandya  - Kuldeep Yadav,SRH,24,35,1,1,0,68.57,24.0,35.0
JP Inglis  - SV Samson,GT,24,24,2,3,0,100.0,12.0,8.0
D Wiese  - Hemang Patel,GT,24,21,2,0,2,114.29,12.0,10.5
Hassan Nawaz  - YS Chahal,RCB,23,20,1,2,0,115.0,23.0,10.0
CH Morris  - V Kohli,DC,23,22,1,2,1,104.55,23.0,7.33
HS Desai  - Smaran Ravichandran,PBKS,22,20,1,2,0,110.0,22.0,10.0
Aniket Verma  - YBK Jaiswal,RR,22,21,2,0,1,104.76,11.0,21.0
HS Desai  - V Suryavanshi,PBKS,21,20,1,3,0,105.0,21.0,6.67
AR Ramjani  - Washington Sundar,PBKS,20,26,3,1,1,76.92,6.67,13.0
Ishan Kishan  - MW Short,MI,18,25,1,1,1,72.0,18.0,12.5
N Wadhera  - RM Patidar,KKR,16,22,2,1,0,72.73,8.0,22.0
AR Ramjani  - Waqar Salamkheil,PBKS,12,21,0,0,0,57.14,inf,inf
Smaran Ravichandran  - Washington Sundar,PBKS,12,20,2,0,1,60.0,6.0,20.0
