striker,batting_team,num_innings,sixes,runs,strike_rate
Suryansh Shedge,CSK,6,5,60,200.0
Akash Vasisht,DC,4,5,73,146.0
H Klaasen,CSK,8,5,233,137.87
JDS Neesham,DC,8,5,158,133.9
PHKD Mendis,SRH,8,5,115,129.21
Hemang Patel,GT,9,5,86,116.22
Arshad Khan,RR,11,4,122,184.85
AM Rahane,MI,5,4,167,138.02
Gaurav Puri,CSK,5,4,77,137.5
RR Rossouw,SRH,6,4,86,136.51
JN Loftie-Eaton,RR,5,4,93,129.17
Babar Azam,KKR,11,4,177,110.62
V Nigam,MI,2,3,36,211.76
JJ Smit,PBKS,5,3,87,174.0
Shashwat Rawat,PBKS,4,3,131,150.57
Ramandeep Singh,LSG,6,3,70,148.94
V Suryavanshi,PBKS,15,3,260,147.73
Sikandar Raza,MI,3,3,44,146.67
Waseem Muhammad,DC,5,3,92,146.03
Utkarsh Singh,PBKS,3,3,32,145.45
TM Head,GT,6,3,104,140.54
Mohammad Nabi,LSG,5,3,63,140.0
RA Bawa,SRH,4,3,42,140.0
Naseem Shah,LSG,5,3,34,136.0
Dhruv Jurel,RCB,9,3,136,121.43
HC Brook,MI,6,3,87,117.57
Yuvraj Chaudhary,GT,1,2,29,181.25
M Siddharth,CSK,5,2,21,175.0
MS Dhoni,CSK,2,2,54,174.19
R Shepherd,GT,8,2,46,153.33
Jaskaran Singh,KKR,3,2,26,152.94
RR Pant,GT,2,2,35,140.0
Azmatullah Omarzai,LSG,2,2,47,134.29
Sumit Kumar,DC,1,2,20,133.33
D Ferreira,DC,6,2,55,130.95
SR Hain,MI,3,2,58,128.89
Akshay Karnewar,PBKS,1,2,27,128.57
CH Morris,DC,3,2,23,127.78
Ishan Kishan,MI,6,2,111,127.59
MG Erasmus,RCB,9,2,101,116.09
DJ Bravo,RCB,5,2,30,115.38
YS Chahal,RCB,6,2,30,103.45
LS Livingstone,KKR,2,2,49,96.08
Washington Sundar,PBKS,10,2,53,79.1
Shaheen Shah Afridi,MI,8,2,45,65.22
T Natarajan,CSK,1,1,9,300.0
SN Thakur,GT,1,1,6,300.0
Shahbaz Ahmed,GT,1,1,7,233.33
S Lamichhane,DC,1,1,10,200.0
I Sharma,RCB,1,1,6,200.0
Yuvraj Singh,CSK,1,1,14,175.0
Faisal Khan,LSG,2,1,43,165.38
DAJ Bracewell,RCB,6,1,42,155.56
Mohammad Ghazanfar,SRH,4,1,15,150.0
Mohammed Shami,GT,2,1,6,150.0
MS Pepper,RR,6,1,97,149.23
Karan Lal,RR,4,1,34,147.83
M Prasidh Krishna,MI,5,1,27,142.11
RD Chahar,CSK,3,1,11,137.5
Ashutosh Sharma,RCB,6,1,67,136.73
Khrievitso Kense,RCB,5,1,27,135.0
Ihsanullah,DC,2,1,9,128.57
DS Airee,RCB,4,1,35,125.0
Ashwin Das,LSG,2,1,20,125.0
PP Shaw,RCB,5,1,103,122.62
Rashid Khan,RR,3,1,22,100.0
R Sai Kishore,MI,2,1,8,100.0
TU Deshpande,MI,1,1,12,92.31
AR Ramjani,PBKS,9,1,50,86.21
Khushdil Shah,DC,4,1,21,80.77
Avesh Khan,GT,3,1,17,68.0
