bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts
AS Roy,GT,7,225,156,4,17,9,46,73,7,4,3,1,8.65,39.0,6.0,29.49,0,0,0
PP Chawla,RR,6,195,131,4,17,6,38,56,10,4,3,0,8.93,32.75,5.7,29.01,0,0,0
JA Richardson,MI,2,76,48,4,10,2,19,13,2,2,1,0,9.5,12.0,4.0,39.58,1,0,0
Nithish Kumar Reddy,GT,6,115,66,4,9,4,10,37,4,2,4,0,10.45,16.5,5.08,15.15,0,0,0
GD Phillips,GT,5,123,72,3,11,6,20,28,7,0,1,0,10.25,24.0,4.24,27.78,0,0,0
KV Sharma,RCB,1,41,24,3,3,2,5,13,0,1,1,0,10.25,8.0,4.8,20.83,1,0,0
K Kartikeya,GT,1,25,24,2,3,0,11,7,3,0,0,0,6.25,12.0,8.0,45.83,0,0,0
AK Markram,SRH,4,40,36,2,4,1,19,7,4,1,0,0,6.67,18.0,7.2,52.78,0,0,0
MP Yadav,RR,3,92,66,2,8,3,26,20,7,2,2,0,8.36,33.0,6.0,39.39,0,0,0
R Parag,MI,2,67,48,2,6,1,10,27,2,2,0,0,8.38,24.0,6.86,20.83,0,0,0
DL Chahar,KKR,5,166,114,2,13,9,42,43,6,1,2,0,8.74,57.0,5.18,36.84,0,0,0
Mukesh Kumar,SRH,2,73,48,2,8,3,15,21,1,0,0,0,9.12,24.0,4.36,31.25,0,0,0
J Suchith,RCB,4,139,90,2,11,6,26,39,6,2,2,0,9.27,45.0,5.29,28.89,0,0,0
MP Stoinis,PBKS,8,150,91,2,9,7,21,41,11,2,3,0,9.89,45.5,5.69,23.08,0,0,0
RD Chahar,RCB,9,295,174,2,25,13,48,68,17,3,6,0,10.17,87.0,4.58,27.59,0,0,0
Ramandeep Singh,RCB,4,52,30,2,3,3,8,11,4,1,0,0,10.4,15.0,5.0,26.67,0,0,0
C Green,RCB,3,103,54,2,9,5,14,19,4,3,1,0,11.44,27.0,3.86,25.93,0,0,0
MJ Suthar,MI,1,47,24,2,4,3,6,10,1,0,1,0,11.75,12.0,3.43,25.0,0,0,0
HR Shokeen,RCB,2,57,25,2,7,2,4,8,3,1,0,0,13.68,12.5,2.78,16.0,0,0,0
K Rabada,DC,4,127,90,1,10,6,28,42,3,1,0,0,8.47,90.0,5.62,31.11,0,0,0
AJ Hosein,SRH,5,179,120,1,14,10,42,49,4,1,3,0,8.95,120.0,5.0,35.0,0,0,0
MADI Hemantha,CSK,2,80,48,1,7,3,9,26,1,2,0,0,10.0,48.0,4.8,18.75,0,0,0
Mohsin Khan,SRH,1,41,24,1,6,1,9,7,1,0,2,0,10.25,24.0,3.43,37.5,0,0,0
A Badoni,RCB,4,33,19,1,2,2,3,11,1,0,0,0,10.42,19.0,4.75,15.79,0,0,0
R Sai Kishore,RR,3,97,55,1,7,5,16,22,3,2,5,0,10.58,55.0,4.58,29.09,0,0,0
MM Sharma,DC,4,89,48,1,9,4,9,24,1,1,0,0,11.12,48.0,3.69,18.75,0,0,0
SN Thakur,DC,1,45,24,1,4,3,7,9,1,0,0,0,11.25,24.0,3.43,29.17,0,0,0
Gurjapneet Singh,RCB,1,48,24,1,5,2,7,7,1,2,1,0,12.0,24.0,3.43,29.17,0,0,0
N Rana,KKR,1,3,6,0,0,0,3,3,0,0,0,0,3.0,inf,inf,50.0,0,0,0
PN Mankad,RCB,1,4,6,0,0,0,2,4,0,0,0,0,4.0,inf,inf,33.33,0,0,0
SZ Mulani,MI,1,24,24,0,3,0,10,10,1,0,0,0,6.0,inf,8.0,41.67,0,0,0
DJ Hooda,GT,5,39,30,0,3,0,8,13,6,0,1,1,7.8,inf,10.0,26.67,0,0,0
D Ferreira,RCB,1,9,6,0,1,0,1,3,1,0,0,0,9.0,inf,6.0,16.67,0,0,0
Mujeeb Ur Rahman,RCB,1,36,24,0,3,1,6,12,1,1,1,0,9.0,inf,6.0,25.0,0,0,0
Shashank Singh,PBKS,1,36,24,0,2,2,4,16,0,0,0,0,9.0,inf,6.0,16.67,0,0,0
M Jansen,GT,3,86,57,0,12,1,21,16,5,2,0,0,9.05,inf,4.38,36.84,0,0,0
AD Russell,DC,3,84,54,0,7,2,8,31,6,0,1,0,9.33,inf,6.0,14.81,0,0,0
SP Narine,RR,4,153,96,0,10,9,30,41,6,0,6,0,9.56,inf,5.05,31.25,0,0,0
R Tewatia,GT,1,10,6,0,1,0,1,3,1,0,1,0,10.0,inf,6.0,16.67,0,0,0
MM Ali,RR,2,81,48,0,9,4,18,14,3,0,1,0,10.12,inf,3.69,37.5,0,0,0
LH Ferguson,SRH,2,61,36,0,7,2,10,15,2,0,2,0,10.17,inf,4.0,27.78,0,0,0
VR Iyer,SRH,3,107,60,0,13,4,15,26,2,0,1,0,10.7,inf,3.53,25.0,0,0,0
OEG Baartman,MI,2,77,39,0,6,3,7,15,5,3,0,1,11.85,inf,4.33,17.95,0,0,0
S Dube,RR,1,48,24,0,5,3,6,10,0,0,0,0,12.0,inf,3.0,25.0,0,0,0
N Sindhu,DC,1,25,12,0,2,1,1,6,1,1,0,0,12.5,inf,4.0,8.33,0,0,0
R Ravindra,GT,1,40,18,0,3,3,2,10,0,0,0,0,13.33,inf,3.0,11.11,0,0,0
Abdul Samad,LSG,1,14,6,0,1,1,1,2,1,0,0,0,14.0,inf,3.0,16.67,0,0,0
S Gopal,DC,2,33,12,0,1,4,3,3,1,0,0,0,16.5,inf,2.4,25.0,0,0,0
TH David,LSG,1,23,6,0,1,3,1,1,0,0,0,0,23.0,inf,1.5,16.67,0,0,0
