bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Prashant Veer,PBKS,3,78,60,2,6,3,21,0,0,7.8,30.0,6.67,35.0,105.84,1-19 (18),0-0-0
R Shepherd,SRH,4,89,66,2,7,5,27,1,0,8.09,33.0,5.5,40.91,100.31,1-16 (18),0-0-0
S Gopal,PBKS,5,142,96,2,8,7,24,3,0,8.88,48.0,6.4,25.0,88.18,2-56 (24),0-0-0
Akshya Deka,MI,2,75,48,2,5,3,14,2,0,9.38,24.0,6.0,29.17,101.25,1-37 (24),0-0-0
PHKD Mendis,PBKS,5,75,48,2,8,0,6,2,0,9.38,24.0,6.0,12.5,91.99,1-11 (6),0-0-0
Naman Tiwari,CSK,3,114,72,2,11,4,19,4,1,9.5,36.0,4.8,26.39,84.5,1-35 (24),0-0-0
MA Starc,KKR,3,116,72,2,8,7,24,3,0,9.67,36.0,4.8,33.33,87.73,1-35 (24),0-0-0
MR Marsh,MI,8,197,120,2,16,9,29,6,0,9.85,60.0,4.8,24.17,73.49,1-22 (18),0-0-0
Akash Pawar,RCB,4,170,96,2,19,9,32,1,0,10.62,48.0,3.43,33.33,72.73,1-32 (24),0-0-0
TA Boult,MI,2,79,42,2,13,1,12,2,0,11.29,21.0,3.0,28.57,86.06,1-26 (18),0-0-0
Shadab Khan,SRH,4,128,66,2,21,3,18,0,0,11.64,33.0,2.75,27.27,72.1,1-24 (12),0-0-0
Yash Raj Punja,GT,3,141,72,2,11,8,19,1,0,11.75,36.0,3.79,26.39,75.43,2-35 (24),0-0-0
Yudhvir Singh,RR,1,18,24,1,1,0,13,0,0,4.5,24.0,24.0,54.17,0.0,1-18 (24),0-0-0
S Lamichhane,RCB,2,69,48,1,8,2,17,1,0,8.62,48.0,4.8,35.42,76.77,1-12 (24),0-0-0
Abhilash Shetty,CSK,1,36,24,1,5,1,11,1,0,9.0,24.0,4.0,45.83,0.0,1-36 (24),0-0-0
C Connolly,GT,3,63,42,1,4,2,12,2,0,9.0,42.0,7.0,28.57,85.66,1-7 (6),0-0-0
Abhishek Prabhakar,CSK,1,31,20,1,1,1,3,0,1,9.3,20.0,10.0,15.0,0.0,1-31 (20),0-0-0
VR Iyer,SRH,6,66,42,1,4,2,5,1,0,9.43,42.0,7.0,11.9,75.15,1-5 (6),0-0-0
Vraj Patel,RR,2,76,48,1,5,4,14,2,0,9.5,48.0,5.33,29.17,74.34,1-37 (24),0-0-0
Imran Tahir,RCB,3,115,72,1,10,6,26,2,0,9.58,72.0,4.5,36.11,68.55,1-46 (24),0-0-0
Esakkimuthu A,RCB,1,40,24,1,5,1,6,1,0,10.0,24.0,4.0,25.0,0.0,1-40 (24),0-0-0
Mayank Dagar,DC,1,35,21,1,2,2,3,0,0,10.0,21.0,5.25,14.29,0.0,1-35 (21),0-0-0
Sanvir Singh,PBKS,3,80,48,1,5,4,8,0,0,10.0,48.0,5.33,16.67,66.32,1-23 (18),0-0-0
Prithviraj Shekhawat,DC,2,82,48,1,7,3,9,0,0,10.25,48.0,4.8,18.75,64.67,1-29 (24),0-0-0
MP Stoinis,SRH,6,158,90,1,19,3,20,1,0,10.53,90.0,4.09,22.22,55.08,1-31 (24),0-0-0
Cheepurapalli Stephen,RR,1,43,24,1,6,1,5,0,0,10.75,24.0,3.43,20.83,0.0,1-43 (24),0-0-0
Athisayaraj Davidson,RCB,1,45,24,1,5,2,7,1,0,11.25,24.0,3.43,29.17,0.0,1-45 (24),0-0-0
Zeeshan Ansari,RR,1,45,24,1,4,1,5,3,0,11.25,24.0,4.8,20.83,0.0,1-45 (24),0-0-0
AR Patel,GT,2,82,42,1,5,5,8,2,0,11.71,42.0,4.2,19.05,61.62,1-34 (18),0-0-0
Naveen-ul-Haq,CSK,4,192,96,1,19,7,17,6,0,12.0,96.0,3.69,17.71,46.87,1-50 (24),0-0-0
Ashwin Shelke,DC,3,123,60,1,18,2,15,1,1,12.3,60.0,3.0,25.0,53.46,1-42 (18),0-0-0
Nithish Kumar Reddy,GT,5,155,72,1,11,6,4,3,0,12.92,72.0,4.24,5.56,45.97,1-62 (24),0-0-0
J Kariko,LSG,2,116,48,1,8,10,12,0,0,14.5,48.0,2.67,25.0,51.16,1-52 (24),0-0-0
MP Yadav,PBKS,3,157,60,1,16,11,14,2,1,15.7,60.0,2.22,23.33,42.8,1-50 (24),0-0-0
Mohammad Nabi,LSG,1,65,24,1,8,3,2,3,0,16.25,24.0,2.18,8.33,0.0,1-65 (24),0-0-0
M Prasidh Krishna,KKR,1,3,6,0,0,0,5,0,0,3.0,inf,inf,83.33,0.0,0-3 (6),0-0-0
R Parag,GT,1,7,6,0,0,0,0,0,0,7.0,inf,inf,0.0,0.0,0-7 (6),0-0-0
CH Gayle,RCB,1,15,12,0,1,1,6,0,0,7.5,inf,6.0,50.0,0.0,0-15 (12),0-0-0
RA Bawa,SRH,1,15,12,0,0,1,5,0,0,7.5,inf,12.0,41.67,0.0,0-15 (12),0-0-0
Noor Ahmad,MI,3,86,66,0,6,3,20,2,0,7.82,inf,7.33,30.3,64.62,0-20 (18),0-0-0
Sairaj Patil,KKR,2,45,30,0,4,1,9,2,0,9.0,inf,6.0,30.0,57.61,0-4 (6),0-0-0
Kranthi Kumar,RCB,1,39,24,0,0,2,1,1,0,9.75,inf,12.0,4.17,0.0,0-39 (24),0-0-0
Sunny Sandhu,DC,3,105,60,0,12,6,21,0,0,10.5,inf,3.33,35.0,41.17,0-20 (12),0-0-0
JO Holder,RCB,3,128,72,0,13,5,15,0,0,10.67,inf,4.0,20.83,36.12,0-38 (24),0-0-0
HTRY Thornton,RR,1,44,24,0,5,1,3,1,0,11.0,inf,4.0,12.5,0.0,0-44 (24),0-0-0
LI Meriwala,PBKS,2,92,48,0,9,4,7,1,0,11.5,inf,3.69,14.58,31.64,0-46 (24),0-0-0
Shashwat Dangwal,MI,2,35,18,0,6,1,7,0,0,11.67,inf,2.57,38.89,0.0,0-9 (6),0-0-0
RA Jadeja,LSG,4,142,72,0,15,6,12,0,0,11.83,inf,3.43,16.67,28.86,0-16 (12),0-0-0
MS Chapman,DC,2,49,24,0,5,1,3,1,0,12.25,inf,4.0,12.5,0.0,0-23 (12),0-0-0
V Kohli,CSK,1,26,12,0,2,2,3,1,0,13.0,inf,3.0,25.0,0.0,0-26 (12),0-0-0
JE Root,SRH,2,79,36,0,5,6,6,1,0,13.17,inf,3.27,16.67,29.7,0-34 (18),0-0-0
Manvanth Kumar L,PBKS,2,79,36,0,8,4,8,2,0,13.17,inf,3.0,22.22,31.93,0-25 (12),0-0-0
DM Gondaria,DC,1,62,24,0,7,3,3,0,1,15.5,inf,2.4,12.5,0.0,0-62 (24),0-0-0
