striker,batting_team,num_innings,sixes,runs,strike_rate
SS Iyer,KKR,9,8,225,161.87
AM Rahane,CSK,5,8,145,131.82
KK Nair,CSK,10,7,159,176.67
Utkarsh Singh,PBKS,6,7,73,165.91
WL Madsen,KKR,12,7,392,154.94
MS Pepper,PBKS,2,7,114,142.5
Sakibul Gani,RR,5,6,70,233.33
D Forrester,LSG,5,6,59,218.52
Shubhang Hegde,LSG,4,6,83,218.42
RD Gaikwad,CSK,13,6,175,180.41
JM Vince,CSK,5,6,181,147.15
Virat Singh,KKR,5,6,76,140.74
SU Parakh,SRH,9,6,237,140.24
N Rana,PBKS,3,5,92,153.33
RD Rickelton,RR,6,5,109,126.74
Vishnu Vinod,RR,7,5,94,118.99
TP Ura,PBKS,4,4,32,200.0
Abhishek Tanwar,MI,7,4,104,173.33
Nithish Kumar Reddy,GT,2,4,60,171.43
J Overton,GT,4,4,60,162.16
Sunny Sandhu,DC,2,4,70,152.17
Shahbaz Ahmed,KKR,8,4,87,150.0
V Kohli,CSK,9,4,167,145.22
PD Salt,RR,7,4,142,144.9
H Klaasen,CSK,5,4,97,144.78
WG Jacks,SRH,8,4,118,129.67
R Powell,CSK,5,4,80,129.03
RE van der Merwe,CSK,7,4,54,128.57
Kunal Chandela,MI,3,4,44,115.79
T Dahiya,LSG,2,3,59,184.38
Anmolpreet Singh,KKR,5,3,98,181.48
Akhil Singh Rawat,KKR,3,3,28,175.0
J Fraser-McGurk,KKR,5,3,78,173.33
Ashutosh Sharma,GT,8,3,95,161.02
S Arora,KKR,4,3,46,153.33
LR Chethan,LSG,3,3,43,148.28
Parth Chandan,DC,2,3,62,131.91
SP Narine,PBKS,6,3,74,129.82
DS Airee,DC,1,2,12,600.0
Shivam Shukla,MI,2,2,24,240.0
Gurnoor Brar,DC,2,2,13,216.67
Parvej Musaraf,KKR,3,2,27,192.86
Akash Pawar,RCB,1,2,22,183.33
T Natarajan,RR,2,2,14,175.0
D Wiese,KKR,3,2,19,172.73
HC Brook,GT,2,2,55,148.65
Suryansh Shedge,KKR,4,2,37,148.0
Sairaj Patil,KKR,2,2,40,142.86
JE Root,SRH,2,2,55,141.03
A Mhatre,RCB,3,2,55,137.5
AR Patel,GT,1,2,33,137.5
RK Singh,GT,3,2,33,137.5
Sikandar Raza,MI,5,2,37,137.04
Naveen-ul-Haq,CSK,2,2,40,133.33
MS Dhoni,RCB,1,2,24,133.33
Anmol Malhotra,GT,2,2,33,117.86
JJ Smit,PBKS,10,2,68,117.24
Chirag Jani,RCB,4,2,26,108.33
FH Allen,LSG,5,2,79,105.33
Pulkit Narang,KKR,2,2,14,100.0
MJ Owen,DC,6,2,50,98.04
S Gopal,PBKS,5,2,14,93.33
Mohammad Ghazanfar,RR,3,2,12,66.67
H Ssenyondo,LSG,2,1,14,233.33
Yudhvir Singh,RR,1,1,7,233.33
Krishna Prasad,CSK,1,1,6,200.0
Rishabh Chouhan,GT,3,1,56,175.0
Prashant Veer,PBKS,2,1,10,166.67
N Pooran,MI,3,1,21,161.54
Karan Shinde,SRH,4,1,38,158.33
C Sakariya,RR,2,1,6,150.0
Easwaran K,DC,1,1,6,150.0
Sufiyan Muqeem,GT,1,1,13,144.44
Mohammad Nabi,LSG,1,1,30,142.86
GF Linde,GT,3,1,30,136.36
J Suresh Kumar,PBKS,4,1,46,135.29
MP Stoinis,SRH,4,1,69,132.69
Arshad Khan,MI,5,1,30,130.43
C Connolly,GT,3,1,82,128.12
Rasikh Salam,SRH,3,1,14,127.27
RG Sharma,RCB,4,1,38,126.67
HJ Manenti,RCB,4,1,15,115.38
Akshat Raghuwanshi,MI,2,1,18,112.5
YS Chahal,KKR,2,1,14,107.69
SR Dickson,PBKS,2,1,18,105.88
AR Ramjani,PBKS,6,1,27,103.85
AK Markram,DC,2,1,22,100.0
RR Rossouw,MI,4,1,38,95.0
Sanskar Rawat,PBKS,1,1,17,94.44
RA Jadeja,LSG,3,1,25,92.59
PN Mankad,RCB,1,1,16,88.89
Kuldeep Yadav,LSG,2,1,13,86.67
DS Rathi,LSG,3,1,10,83.33
JC Archer,PBKS,2,1,7,77.78
F du Plessis,CSK,3,1,13,50.0
Sayed Irfan Aftab,PBKS,4,1,7,50.0
