striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
V Suryavanshi,PBKS,12,364,194,12,47,13,61,187.63,16.17,30.33,3.23,31.44,298.77,60 (21),6-1-0,76
VR Iyer,SRH,15,359,178,7,31,20,38,201.69,25.43,51.29,3.49,21.35,312.33,75* (32),5-2-0,92
KA Pollard,RR,11,357,214,6,30,16,72,166.82,35.67,59.5,4.65,33.64,285.81,71 (46),5-4-0,108
Ajay Rohera,LSG,10,353,212,9,37,12,53,166.51,23.56,39.22,4.33,25.0,283.33,72 (39),5-4-0,113
TM Head,KKR,6,347,212,5,30,15,53,163.68,42.4,69.4,4.71,25.0,287.16,83 (62),4-4-0,115
CH Gayle,RCB,14,342,195,13,36,14,54,175.38,15.0,26.31,3.9,27.69,278.4,79 (47),5-2-0,95
D Brevis,GT,10,340,190,6,31,18,60,178.95,31.67,56.67,3.88,31.58,286.0,84* (38),6-2-0,88
V Nigam,GT,12,330,182,4,32,13,40,181.32,45.5,82.5,4.04,21.98,292.1,62* (30),5-1-0,99
T Stubbs,CSK,11,323,228,8,25,12,75,141.67,28.5,40.38,6.16,32.89,247.22,82* (52),4-2-0,122
MR Marsh,MI,12,314,189,9,27,15,56,166.14,21.0,34.89,4.5,29.63,258.15,49 (31),4-0-0,95
Shashank Singh,PBKS,13,311,195,7,23,15,51,159.49,27.86,44.43,5.13,26.15,256.48,63* (32),3-1-0,110
Sameer Rizvi,LSG,15,300,155,13,28,15,38,193.55,11.92,23.08,3.6,24.52,266.41,44 (30),5-0-0,80
Tushar Raheja,MI,11,296,145,11,44,9,48,204.14,13.18,26.91,2.74,33.1,270.55,72 (32),5-2-0,50
RM Patidar,RCB,14,294,204,11,24,9,53,144.12,18.55,26.73,6.18,25.98,231.34,48 (30),6-0-0,125
Vansh Bedi,PBKS,12,284,150,11,29,10,30,189.33,13.64,25.82,3.85,20.0,256.72,77 (35),4-2-0,83
PHKD Mendis,PBKS,12,283,176,10,25,11,52,160.8,17.6,28.3,4.89,29.55,234.94,73 (46),3-2-0,95
Jay Gohil,KKR,9,282,133,5,29,15,30,212.03,26.6,56.4,3.02,22.56,278.09,75* (36),4-2-0,64
Tanush Kotian,CSK,11,282,143,9,35,10,35,197.2,15.89,31.33,3.18,24.48,262.33,48 (24),5-0-0,65
GD Phillips,RR,13,275,147,11,26,13,39,187.07,13.36,25.0,3.77,26.53,248.06,46 (25),4-0-0,71
YBK Jaiswal,RR,14,258,114,10,27,16,27,226.32,11.4,25.8,2.65,23.68,267.27,51* (14),4-1-0,47
SU Parakh,SRH,10,252,180,10,28,6,70,140.0,18.0,25.2,5.29,38.89,201.12,52 (44),4-1-0,81
Abhishek Pathak,RCB,6,243,110,3,25,13,17,220.91,36.67,81.0,2.89,15.45,271.07,88* (38),4-2-0,59
JC Buttler,DC,10,236,115,7,19,14,35,205.22,16.43,33.71,3.48,30.43,236.68,107* (39),3-2-1,53
JM Sharma,RCB,12,229,115,9,14,18,26,199.13,12.78,25.44,3.59,22.61,233.32,45 (16),2-0-0,59
Rohan Kunnummal,MI,7,227,131,7,23,8,37,173.28,18.71,32.43,4.23,28.24,214.12,83 (41),2-2-0,66
SS Iyer,KKR,9,225,139,6,24,8,47,161.87,23.17,37.5,4.34,33.81,206.25,59 (40),3-2-0,62
DP Conway,LSG,9,208,148,9,17,10,64,140.54,16.44,23.11,5.48,43.24,174.92,73 (58),2-1-0,63
PWH de Silva,RCB,9,198,90,5,19,11,22,220.0,18.0,39.6,3.0,24.44,230.25,67 (26),3-1-0,43
Ritik Vats,DC,8,195,105,6,15,13,36,185.71,17.5,32.5,3.75,34.29,202.11,71* (39),3-1-0,41
AD Russell,DC,7,194,101,2,12,17,37,192.08,50.5,97.0,3.48,36.63,222.18,49* (19),4-0-0,38
R Smaran,PBKS,7,186,120,7,11,9,33,155.0,17.14,26.57,6.0,27.5,178.15,86 (43),2-1-0,70
JM Vince,CSK,5,181,123,5,18,6,40,147.15,24.6,36.2,5.12,32.52,174.13,74 (41),3-2-0,62
RD Gaikwad,CSK,13,175,97,11,22,6,26,180.41,8.82,15.91,3.46,26.8,188.99,38 (15),2-0-0,45
R Parag,GT,6,169,96,5,15,8,25,176.04,19.2,33.8,4.17,26.04,186.24,58* (25),3-1-0,51
BM Duckett,SRH,3,168,103,3,9,9,18,163.11,34.33,56.0,5.72,17.48,187.72,91 (50),2-2-0,68
V Kohli,CSK,9,167,115,9,22,4,48,145.22,12.78,18.56,4.42,41.74,156.27,76 (49),1-1-0,46
KK Nair,CSK,10,159,90,10,13,7,24,176.67,9.0,15.9,4.5,26.67,174.19,56 (28),2-1-0,50
Kumar Kushagra,RR,7,154,107,7,8,10,38,143.93,15.29,22.0,5.94,35.51,150.72,72 (44),3-1-0,52
AM Rahane,CSK,5,145,110,5,13,8,53,131.82,22.0,29.0,5.24,48.18,137.29,57 (44),2-1-0,38
Sonu Yadav,CSK,6,144,94,5,8,11,38,153.19,18.8,28.8,4.95,40.43,151.34,45 (24),3-0-0,40
PD Salt,RR,7,142,98,7,15,4,39,144.9,14.0,20.29,5.16,39.8,142.01,67 (34),2-1-0,45
Siddhesh Veer,MI,7,121,63,3,6,8,17,192.06,21.0,40.33,4.5,26.98,167.45,36* (24),3-0-0,33
WG Jacks,SRH,9,119,93,8,10,4,34,127.96,11.62,14.88,6.64,36.56,119.38,26 (19),0-0-0,47
Anmolpreet Singh,KKR,6,115,65,5,10,3,15,176.92,13.0,23.0,5.0,23.08,152.61,48 (34),2-0-0,39
MS Pepper,PBKS,2,114,80,2,7,7,33,142.5,40.0,57.0,5.71,41.25,137.51,64 (40),2-2-0,39
RD Rickelton,RR,6,109,86,6,8,5,36,126.74,14.33,18.17,6.62,41.86,111.97,51 (30),1-1-0,38
Abhishek Tanwar,MI,7,104,60,5,11,4,19,173.33,12.0,20.8,4.0,31.67,142.91,52 (28),1-1-0,28
Adarsh Singh,DC,4,99,60,4,3,8,17,165.0,15.0,24.75,5.45,28.33,136.43,38 (24),2-0-0,33
H Klaasen,CSK,5,97,67,5,6,4,18,144.78,13.4,19.4,6.7,26.87,122.43,43 (27),2-0-0,40
Ashutosh Sharma,GT,8,95,59,7,14,3,26,161.02,8.43,13.57,3.47,44.07,125.19,46 (22),1-0-0,16
Vishnu Vinod,RR,7,94,79,5,5,5,29,118.99,15.8,18.8,7.9,36.71,102.45,35 (28),2-0-0,41
N Rana,PBKS,3,92,60,2,7,5,20,153.33,30.0,46.0,5.0,33.33,131.92,75* (36),1-1-0,30
Shahbaz Ahmed,KKR,9,87,62,7,11,4,33,140.32,8.86,12.43,4.13,53.23,103.01,37 (20),1-0-0,16
Shubhang Hegde,LSG,4,83,38,2,8,6,16,218.42,19.0,41.5,2.71,42.11,158.39,31 (9),1-0-0,12
C Connolly,GT,3,82,64,3,12,1,25,128.12,21.33,27.33,4.92,39.06,105.95,47 (39),1-0-0,27
R Powell,CSK,5,80,62,4,7,4,32,129.03,15.5,20.0,5.64,51.61,93.91,30 (29),1-0-0,21
FH Allen,LSG,5,79,75,5,9,2,44,105.33,15.0,15.8,6.82,58.67,75.04,30 (24),1-0-0,23
J Fraser-McGurk,KKR,5,78,45,5,11,3,19,173.33,9.0,15.6,3.21,42.22,124.66,57 (23),1-1-0,12
Virat Singh,KKR,5,76,54,5,6,6,31,140.74,10.8,15.2,4.5,57.41,94.94,40 (25),1-0-0,12
SP Narine,PBKS,6,74,57,5,5,3,23,129.82,11.4,14.8,7.12,40.35,93.17,24 (13),0-0-0,27
Utkarsh Singh,PBKS,6,73,44,4,5,7,23,165.91,11.0,18.25,3.67,52.27,111.97,28 (13),0-0-0,9
Sakibul Gani,RR,5,70,30,4,1,6,9,233.33,7.5,17.5,4.29,30.0,152.32,27 (6),0-0-0,15
Sunny Sandhu,DC,2,70,46,1,6,4,22,152.17,46.0,70.0,4.6,47.83,119.76,42 (35),1-0-0,17
MP Stoinis,SRH,4,69,52,3,9,1,21,132.69,17.33,23.0,5.2,40.38,97.65,45 (33),1-0-0,22
JJ Smit,PBKS,10,68,58,10,6,2,27,117.24,5.8,6.8,7.25,46.55,76.99,25 (17),0-0-0,25
Parth Chandan,DC,2,62,47,2,5,3,17,131.91,23.5,31.0,5.88,36.17,98.26,56 (45),1-1-0,22
Nithish Kumar Reddy,GT,2,60,35,2,5,4,12,171.43,17.5,30.0,3.89,34.29,119.99,57 (30),1-1-0,15
J Overton,GT,4,60,37,1,5,4,16,162.16,37.0,60.0,4.11,43.24,119.05,19* (16),0-0-0,12
D Forrester,LSG,5,59,27,4,1,6,8,218.52,6.75,14.75,3.86,29.63,140.56,26* (8),0-0-0,13
T Dahiya,LSG,2,59,32,2,6,3,14,184.38,16.0,29.5,3.56,43.75,120.48,34 (14),1-0-0,13
Rishabh Chouhan,GT,3,56,32,2,8,1,7,175.0,16.0,28.0,3.56,21.88,126.92,44* (23),1-0-0,17
HC Brook,GT,2,55,37,2,6,2,15,148.65,18.5,27.5,4.62,40.54,100.07,42 (29),1-0-0,16
S Arora,KKR,5,55,37,4,2,4,14,148.65,9.25,13.75,6.17,37.84,94.35,23 (16),0-0-0,18
JE Root,SRH,2,55,39,2,4,2,16,141.03,19.5,27.5,6.5,41.03,92.84,47 (31),1-0-0,17
A Mhatre,RCB,3,55,40,3,5,2,18,137.5,13.33,18.33,5.71,45.0,86.92,45 (36),1-0-0,17
RE van der Merwe,CSK,7,54,42,5,3,4,21,128.57,8.4,10.8,6.0,50.0,76.57,28 (16),0-0-0,16
MJ Owen,DC,6,50,51,5,4,2,27,98.04,10.2,10.0,8.5,52.94,55.24,20 (21),0-0-0,20
J Suresh Kumar,PBKS,4,46,34,4,5,1,17,135.29,8.5,11.5,5.67,50.0,75.46,19 (15),0-0-0,12
Kunal Chandela,MI,3,44,38,3,1,4,21,115.79,12.67,14.67,7.6,55.26,61.9,41 (26),1-0-0,13
LR Chethan,LSG,3,43,29,2,2,3,12,148.28,14.5,21.5,5.8,41.38,88.68,23* (14),0-0-0,13
Sairaj Patil,KKR,2,40,28,2,4,2,12,142.86,14.0,20.0,4.67,42.86,85.42,26 (21),0-0-0,10
Naveen-ul-Haq,CSK,2,40,30,1,5,2,19,133.33,30.0,40.0,4.29,63.33,77.57,21 (16),0-0-0,5
Karan Shinde,SRH,4,38,24,2,5,1,8,158.33,12.0,19.0,4.0,33.33,0.0,23* (12),0-0-0,10
RG Sharma,RCB,4,38,30,4,4,1,13,126.67,7.5,9.5,6.0,43.33,69.92,25 (15),0-0-0,14
RR Rossouw,MI,4,38,40,4,2,1,19,95.0,10.0,9.5,13.33,47.5,47.75,33 (30),1-0-0,20
Suryansh Shedge,KKR,4,37,25,2,2,2,7,148.0,12.5,18.5,6.25,28.0,91.45,20* (8),0-0-0,14
Sikandar Raza,MI,5,37,27,3,3,2,10,137.04,9.0,12.33,5.4,37.04,80.31,14* (6),0-0-0,13
AR Patel,GT,1,33,24,0,3,2,14,137.5,inf,inf,4.8,58.33,0.0,33* (24),1-0-0,7
RK Singh,GT,3,33,24,2,1,2,9,137.5,12.0,16.5,8.0,37.5,0.0,12 (9),0-0-0,12
Anmol Malhotra,GT,2,33,28,2,1,2,13,117.86,14.0,16.5,9.33,46.43,61.18,28 (25),0-0-0,14
TP Ura,PBKS,4,32,16,4,0,4,6,200.0,4.0,8.0,4.0,37.5,0.0,16 (5),0-0-0,6
Mohammad Nabi,LSG,1,30,21,0,2,1,7,142.86,inf,inf,7.0,33.33,0.0,30* (21),1-0-0,11
GF Linde,GT,3,30,22,2,4,1,10,136.36,11.0,15.0,4.4,45.45,0.0,19* (7),0-0-0,7
Arshad Khan,MI,5,30,23,4,3,1,7,130.43,5.75,7.5,5.75,30.43,0.0,17 (8),0-0-0,12
Akhil Singh Rawat,KKR,3,28,16,2,0,3,6,175.0,8.0,14.0,5.33,37.5,0.0,19* (10),0-0-0,7
Parvej Musaraf,KKR,3,27,14,2,2,2,5,192.86,7.0,13.5,3.5,35.71,0.0,13 (5),0-0-0,5
Dhruv Jurel,LSG,3,27,20,3,4,0,10,135.0,6.67,9.0,5.0,50.0,0.0,17 (14),0-0-0,7
AR Ramjani,PBKS,6,27,26,4,3,1,16,103.85,6.5,6.75,6.5,61.54,40.69,12 (8),0-0-0,7
Chirag Jani,RCB,4,26,24,2,0,2,8,108.33,12.0,13.0,12.0,33.33,0.0,16 (10),0-0-0,14
RA Jadeja,LSG,3,25,27,2,1,1,12,92.59,13.5,12.5,13.5,44.44,43.33,12* (13),0-0-0,13
Shivam Shukla,MI,2,24,10,1,3,2,5,240.0,10.0,24.0,2.0,50.0,0.0,16* (6),0-0-0,0
MS Dhoni,RCB,1,24,18,1,2,2,10,133.33,18.0,24.0,4.5,55.56,0.0,24 (18),0-0-0,4
Akash Pawar,RCB,1,22,12,1,0,2,5,183.33,12.0,22.0,6.0,41.67,0.0,22 (12),0-0-0,5
AK Markram,DC,2,22,22,2,1,1,11,100.0,11.0,11.0,11.0,50.0,0.0,20 (18),0-0-0,11
N Pooran,MI,3,21,13,3,2,1,6,161.54,4.33,7.0,4.33,46.15,0.0,16 (9),0-0-0,6
D Wiese,KKR,3,19,11,3,1,2,6,172.73,3.67,6.33,3.67,54.55,0.0,11 (4),0-0-0,3
Rasikh Salam,SRH,4,18,15,3,3,1,11,120.0,5.0,6.0,3.75,73.33,0.0,10 (5),0-0-0,0
Akshat Raghuwanshi,MI,2,18,16,2,0,1,5,112.5,8.0,9.0,16.0,31.25,0.0,18 (15),0-0-0,10
SR Dickson,PBKS,2,18,17,2,1,1,8,105.88,8.5,9.0,8.5,47.06,0.0,17 (15),0-0-0,8
Sanskar Rawat,PBKS,1,17,18,1,2,1,13,94.44,18.0,17.0,6.0,72.22,0.0,17 (18),0-0-0,2
Satyajeet Bachhav,MI,3,16,13,3,3,0,7,123.08,4.33,5.33,4.33,53.85,0.0,9 (6),0-0-0,3
TH David,GT,2,16,16,2,1,0,5,100.0,8.0,8.0,16.0,31.25,0.0,8 (6),0-0-0,10
PN Mankad,RCB,1,16,18,1,2,1,13,88.89,18.0,16.0,6.0,72.22,0.0,16 (18),0-0-0,2
HJ Manenti,RCB,4,15,13,2,1,1,9,115.38,6.5,7.5,6.5,69.23,0.0,6 (6),0-0-0,3
H Ssenyondo,LSG,2,14,6,0,2,1,3,233.33,inf,inf,2.0,50.0,0.0,10* (5),0-0-0,0
T Natarajan,RR,2,14,8,1,0,2,5,175.0,8.0,14.0,4.0,62.5,0.0,13* (5),0-0-0,2
YS Chahal,KKR,2,14,13,2,1,1,9,107.69,6.5,7.0,6.5,69.23,0.0,10 (10),0-0-0,2
S Gopal,PBKS,5,14,15,4,0,2,12,93.33,3.75,3.5,7.5,80.0,0.0,7 (5),0-0-0,2
Pulkit Narang,KKR,3,14,17,2,0,2,13,82.35,8.5,7.0,8.5,76.47,0.0,14* (13),0-0-0,2
Gurnoor Brar,DC,2,13,6,1,0,2,3,216.67,6.0,13.0,3.0,50.0,0.0,13* (5),0-0-0,1
Sufiyan Muqeem,GT,1,13,9,1,1,1,5,144.44,9.0,13.0,4.5,55.56,0.0,13 (9),0-0-0,2
Kuldeep Yadav,LSG,2,13,15,1,1,1,12,86.67,15.0,13.0,7.5,80.0,0.0,13* (14),0-0-0,1
F du Plessis,CSK,3,13,26,3,0,1,20,50.0,8.67,4.33,26.0,76.92,-7.89,7 (7),0-0-0,5
DS Airee,DC,1,12,2,0,0,2,0,600.0,inf,inf,1.0,0.0,0.0,12* (2),0-0-0,0
Mohammad Ghazanfar,RR,3,12,18,2,0,2,16,66.67,9.0,6.0,9.0,88.89,0.0,6* (9),0-0-0,0
Karan Lal,RR,3,12,24,2,0,0,15,50.0,12.0,6.0,inf,62.5,0.0,11 (21),0-0-0,9
R Shepherd,SRH,2,11,9,2,2,0,4,122.22,4.5,5.5,4.5,44.44,0.0,11 (7),0-0-0,3
Gourav Choudhury,MI,2,11,14,2,0,0,4,78.57,7.0,5.5,inf,28.57,0.0,10 (12),0-0-0,10
Prashant Veer,PBKS,2,10,6,2,0,1,3,166.67,3.0,5.0,6.0,50.0,0.0,10 (5),0-0-0,2
DS Rathi,LSG,3,10,12,3,1,1,10,83.33,4.0,3.33,6.0,83.33,0.0,10 (5),0-0-0,0
KS Carlson,PBKS,1,9,8,1,1,0,2,112.5,8.0,9.0,8.0,25.0,0.0,9 (8),0-0-0,5
KA Maharaj,RCB,4,9,19,3,1,0,15,47.37,6.33,3.0,19.0,78.95,0.0,6 (10),0-0-0,4
Kranthi Kumar,RCB,1,8,5,0,2,0,3,160.0,inf,inf,2.5,60.0,0.0,8* (5),0-0-0,0
J Kariko,LSG,1,8,6,0,2,0,4,133.33,inf,inf,3.0,66.67,0.0,8* (6),0-0-0,0
CV Varun,PBKS,4,8,17,3,1,0,13,47.06,5.67,2.67,17.0,76.47,0.0,5* (8),0-0-0,3
Yudhvir Singh,RR,1,7,3,1,0,1,1,233.33,3.0,7.0,3.0,33.33,0.0,7 (3),0-0-0,1
JC Archer,PBKS,2,7,9,1,0,1,7,77.78,9.0,7.0,9.0,77.78,0.0,6 (8),0-0-0,1
Sayed Irfan Aftab,PBKS,4,7,14,3,0,1,12,50.0,4.67,2.33,14.0,85.71,0.0,6* (2),0-0-0,1
JR Hazlewood,MI,5,7,21,2,0,0,15,33.33,10.5,3.5,inf,71.43,0.0,3 (5),0-0-0,6
Krishna Prasad,CSK,1,6,3,0,0,1,2,200.0,inf,inf,3.0,66.67,0.0,6* (3),0-0-0,0
C Sakariya,RR,2,6,4,1,0,1,3,150.0,4.0,6.0,4.0,75.0,0.0,6* (3),0-0-0,0
Easwaran K,DC,1,6,4,0,0,1,3,150.0,inf,inf,4.0,75.0,0.0,6* (4),0-0-0,0
Naman Tiwari,CSK,2,6,5,0,1,0,3,120.0,inf,inf,5.0,60.0,0.0,6* (4),0-0-0,1
JM Cox,SRH,1,6,7,1,1,0,4,85.71,7.0,6.0,7.0,57.14,0.0,6 (7),0-0-0,2
SR Hain,RCB,1,5,4,1,1,0,4,125.0,4.0,5.0,4.0,100.0,0.0,5 (4),0-0-0,1
Sachin Baby,RR,1,5,6,1,0,0,2,83.33,6.0,5.0,inf,33.33,0.0,5 (6),0-0-0,4
LI Meriwala,PBKS,1,4,2,0,1,0,1,200.0,inf,inf,2.0,50.0,0.0,4* (2),0-0-0,0
Naseem Shah,MI,1,4,5,1,1,0,4,80.0,5.0,4.0,5.0,80.0,0.0,4 (5),0-0-0,0
Noor Ahmad,MI,2,4,6,1,1,0,6,66.67,6.0,4.0,6.0,100.0,0.0,4* (5),0-0-0,0
DR Mousley,LSG,1,4,8,1,0,0,6,50.0,8.0,4.0,inf,75.0,0.0,4 (8),0-0-0,2
Tanay Thyagarajan,CSK,3,4,8,1,0,0,6,50.0,8.0,4.0,inf,75.0,0.0,3* (4),0-0-0,2
Vraj Patel,RR,1,4,9,0,0,0,6,44.44,inf,inf,inf,66.67,0.0,4* (9),0-0-0,3
Geet Puri,CSK,2,4,11,2,0,0,8,36.36,5.5,2.0,inf,72.73,0.0,2 (9),0-0-0,3
Prashant Solanki,CSK,2,4,12,0,1,0,11,33.33,inf,inf,12.0,91.67,0.0,4* (5),0-0-0,0
KH Pandya,SRH,1,3,2,1,0,0,1,150.0,2.0,3.0,inf,50.0,0.0,3 (2),0-0-0,1
SE Rutherford,DC,1,3,2,1,0,0,1,150.0,2.0,3.0,inf,50.0,0.0,3 (2),0-0-0,1
M Poiyamozhi,CSK,1,3,3,1,0,0,1,100.0,3.0,3.0,inf,33.33,0.0,3 (3),0-0-0,2
Shashwat Dangwal,MI,2,3,4,2,0,0,2,75.0,2.0,1.5,inf,50.0,0.0,2 (2),0-0-0,2
Atharva Ankolekar,RR,2,3,13,2,0,0,10,23.08,6.5,1.5,inf,76.92,0.0,2 (5),0-0-0,3
Sanvir Singh,PBKS,3,3,13,3,0,0,10,23.08,4.33,1.0,inf,76.92,0.0,2 (8),0-0-0,3
MS Chapman,DC,1,2,3,1,0,0,1,66.67,3.0,2.0,inf,33.33,0.0,2 (3),0-0-0,2
Manvanth Kumar L,PBKS,2,2,3,2,0,0,2,66.67,1.5,1.0,inf,66.67,0.0,2 (2),0-0-0,1
L Ngidi,RR,2,2,4,0,0,0,3,50.0,inf,inf,inf,75.0,0.0,1* (2),0-0-0,2
Prithviraj Shekhawat,DC,1,2,5,0,0,0,3,40.0,inf,inf,inf,60.0,0.0,2* (5),0-0-0,2
M Prasidh Krishna,KKR,1,2,7,1,0,0,5,28.57,7.0,2.0,inf,71.43,0.0,2 (7),0-0-0,2
Zeeshan Ansari,RR,1,2,9,1,0,0,7,22.22,9.0,2.0,inf,77.78,0.0,2 (9),0-0-0,2
JA Duffy,LSG,2,1,3,2,0,0,2,33.33,1.5,0.5,inf,66.67,0.0,1 (2),0-0-0,1
JO Holder,RCB,2,1,3,2,0,0,2,33.33,1.5,0.5,inf,66.67,0.0,1 (2),0-0-0,1
NT Ellis,SRH,2,1,3,1,0,0,2,33.33,3.0,1.0,inf,66.67,0.0,1* (2),0-0-0,1
Prince Yadav,GT,1,1,3,0,0,0,2,33.33,inf,inf,inf,66.67,0.0,1* (3),0-0-0,1
SS Ghosh,RCB,4,1,13,3,0,0,13,7.69,4.33,0.33,inf,100.0,0.0,1* (4),0-0-0,1
A Badoni,RR,2,0,4,2,0,0,4,0.0,2.0,0.0,inf,100.0,0.0,0 (3),0-0-0,0
A Johnson,LSG,1,0,2,1,0,0,2,0.0,2.0,0.0,inf,100.0,0.0,0 (2),0-0-0,0
A Nagwaswalla,RR,1,0,3,0,0,0,3,0.0,inf,,inf,100.0,0.0,0* (3),0-0-0,0
A Zampa,SRH,3,0,3,1,0,0,3,0.0,3.0,0.0,inf,100.0,0.0,0* (1),0-0-0,0
Akshya Deka,MI,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
B Kumar,KKR,4,0,13,1,0,0,13,0.0,13.0,0.0,inf,100.0,0.0,0* (1),0-0-0,0
B Muzarabani,GT,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Cheepurapalli Stephen,RR,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
D Padikkal,GT,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Ehsan Khan,MI,1,0,2,0,0,0,2,0.0,inf,,inf,100.0,0.0,0* (2),0-0-0,0
Fazalhaq Farooqi,CSK,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
HTRY Thornton,RR,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Harsh Dubey,DC,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Harshit Rana,GT,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
JJ Bumrah,DC,2,0,2,2,0,0,2,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Junaid Siddique,RR,3,0,3,3,0,0,3,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
M Markande,SRH,2,0,3,2,0,0,3,0.0,1.5,0.0,inf,100.0,0.0,0 (2),0-0-0,0
M Pathirana,RCB,3,0,3,3,0,0,3,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
M Siddharth,CSK,1,0,2,0,0,0,2,0.0,inf,,inf,100.0,0.0,0* (2),0-0-0,0
MP Yadav,PBKS,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Mohammed Shami,MI,1,0,5,1,0,0,5,0.0,5.0,0.0,inf,100.0,0.0,0 (5),0-0-0,0
Ravi Bishnoi,SRH,1,0,6,1,0,0,6,0.0,6.0,0.0,inf,100.0,0.0,0 (6),0-0-0,0
Ravi Teja,SRH,2,0,2,2,0,0,2,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
S Lamichhane,RCB,1,0,5,1,0,0,5,0.0,5.0,0.0,inf,100.0,0.0,0 (5),0-0-0,0
SO Ngoche,KKR,1,0,4,1,0,0,4,0.0,4.0,0.0,inf,100.0,0.0,0 (4),0-0-0,0
Shadab Khan,SRH,2,0,2,2,0,0,2,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
