bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts
Sandeep Sharma,RR,13,469,282,8,35,23,72,124,25,3,8,0,9.98,35.25,4.86,25.53,0,0,0
KH Pandya,SRH,9,375,216,8,35,14,58,86,14,9,8,2,10.42,27.0,4.41,26.85,0,0,0
MR Marsh,DC,6,270,131,8,18,16,28,47,16,6,4,1,12.37,16.38,3.85,21.37,2,0,0
SH Johnson,SRH,5,126,90,7,13,3,30,38,5,1,5,0,8.4,12.86,5.62,33.33,2,0,0
R Ashwin,KKR,11,369,257,7,24,15,68,124,22,4,3,0,8.61,36.71,6.59,26.46,0,0,0
Mohsin Khan,RCB,4,134,88,7,14,5,34,29,2,4,3,0,9.14,12.57,4.63,38.64,1,1,0
CV Varun,PBKS,7,218,142,7,15,10,49,47,15,6,3,0,9.21,20.29,5.68,34.51,0,0,0
A Kamboj,RR,7,280,162,7,30,10,49,57,13,3,8,0,10.37,23.14,4.05,30.25,1,0,0
Mohammed Shami,PBKS,6,195,132,6,18,8,47,46,10,3,0,0,8.86,22.0,5.08,35.61,0,0,0
HV Patel,PBKS,6,214,137,6,18,9,34,67,7,2,1,0,9.37,22.83,5.07,24.82,0,0,0
Jagjit Singh,CSK,7,264,162,6,23,12,44,70,11,2,2,0,9.78,27.0,4.63,27.16,0,0,0
M Theekshana,MI,6,196,120,6,18,7,27,56,10,2,0,0,9.8,20.0,4.8,22.5,1,0,0
Tanush Kotian,SRH,5,176,102,6,16,8,28,41,6,3,2,0,10.35,17.0,4.25,27.45,0,0,0
M Siddharth,CSK,5,162,120,5,10,6,41,53,3,8,4,0,8.1,24.0,7.5,34.17,0,0,0
GF Linde,RR,7,218,156,5,22,4,51,63,10,6,5,0,8.38,31.2,6.0,32.69,0,0,0
Akash Deep,SRH,6,203,143,5,15,8,46,60,10,4,3,0,8.52,28.6,6.22,32.17,0,0,0
M Jansen,GT,8,228,150,5,17,11,48,61,9,4,3,0,9.12,30.0,5.36,32.0,0,0,0
YS Chahal,RCB,11,401,260,5,25,21,65,130,17,2,4,1,9.25,52.0,5.65,25.0,0,0,0
K Rabada,MI,5,198,120,5,21,6,32,49,9,3,2,0,9.9,24.0,4.44,26.67,1,0,0
AD Russell,DC,11,267,151,5,20,12,29,75,11,4,6,0,10.61,30.2,4.72,19.21,0,0,0
Ravi Bishnoi,PBKS,8,237,192,4,7,10,55,98,19,3,4,0,7.41,48.0,11.29,28.65,0,0,0
BA Stokes,LSG,8,249,174,4,22,6,47,80,15,4,3,0,8.59,43.5,6.21,27.01,0,0,0
SS Ghosh,MI,3,110,72,4,10,4,21,31,4,2,1,0,9.17,18.0,5.14,29.17,1,1,0
Naveen-ul-Haq,SRH,3,89,58,4,5,5,18,23,5,2,0,0,9.21,14.5,5.8,31.03,0,0,0
PWH de Silva,DC,6,195,126,4,17,9,37,55,8,0,2,0,9.29,31.5,4.85,29.37,0,0,0
NT Ellis,LSG,3,104,66,4,13,2,21,24,6,0,4,0,9.45,16.5,4.4,31.82,0,0,0
Naman Dhir,GT,3,86,54,4,6,4,16,20,7,1,1,0,9.56,13.5,5.4,29.63,1,0,0
Cheepurapalli Stephen,DC,7,256,156,4,24,8,32,78,11,3,2,1,9.85,39.0,4.88,20.51,0,0,0
Ashutosh Sharma,RCB,7,130,78,4,8,7,19,37,6,1,4,0,10.0,19.5,5.2,24.36,0,0,0
Yash Dayal,LSG,5,210,119,4,23,9,35,46,1,5,1,0,10.59,29.75,3.72,29.41,0,0,0
V Nigam,GT,4,171,94,4,17,9,29,34,4,1,4,0,10.91,23.5,3.62,30.85,1,0,0
WG Jacks,LSG,4,62,54,3,4,2,22,20,5,1,1,0,6.89,18.0,9.0,40.74,0,0,0
C Sakariya,SRH,5,145,114,3,5,9,39,56,4,1,4,0,7.63,38.0,8.14,34.21,0,0,0
Sikandar Raza,DC,8,253,186,3,18,5,45,95,19,4,5,1,8.16,62.0,8.09,24.19,0,0,0
Suyash Sharma,MI,13,433,294,3,31,18,80,141,20,4,8,0,8.84,98.0,6.0,27.21,0,0,0
Mohammed Siraj,RCB,8,237,156,3,13,15,51,64,11,2,3,0,9.12,52.0,5.57,32.69,0,0,0
SZ Mulani,MI,3,113,72,3,8,6,19,33,6,0,0,0,9.42,24.0,5.14,26.39,0,0,0
Mukesh Kumar,GT,4,96,60,3,14,1,21,20,1,3,3,0,9.6,20.0,4.0,35.0,0,0,0
Abhishek Sharma,MI,5,136,84,3,11,6,22,38,5,2,2,0,9.71,28.0,4.94,26.19,0,0,0
JD Unadkat,RR,3,122,72,3,10,6,16,35,5,0,1,0,10.17,24.0,4.5,22.22,0,0,0
Shashank Singh,PBKS,3,31,18,3,0,3,3,11,1,0,0,0,10.33,6.0,6.0,16.67,0,0,0
R Tewatia,SRH,3,94,54,3,5,7,16,20,6,0,0,0,10.44,18.0,4.5,29.63,0,0,0
PP Chawla,RR,3,108,60,3,9,4,14,21,11,1,2,0,10.8,20.0,4.62,23.33,0,0,0
T Natarajan,CSK,9,347,192,3,29,17,41,83,21,1,1,0,10.84,64.0,4.17,21.35,0,0,0
KK Ahmed,GT,6,229,125,3,20,13,30,56,5,1,2,0,10.99,41.67,3.79,24.0,0,0,0
GD Phillips,RR,2,66,36,3,6,3,6,19,2,0,1,0,11.0,12.0,4.0,16.67,0,0,0
Azmatullah Omarzai,RR,6,214,114,3,17,11,27,44,11,4,2,0,11.26,38.0,4.07,23.68,0,0,0
AS Roy,LSG,5,131,90,2,11,6,26,46,0,1,2,0,8.73,45.0,5.29,28.89,0,0,0
Sanvir Singh,SRH,2,44,30,2,3,2,12,9,2,2,1,0,8.8,15.0,6.0,40.0,0,0,0
VG Arora,KKR,5,183,120,2,13,9,34,57,4,3,2,1,9.15,60.0,5.45,28.33,0,0,0
C Green,RCB,5,171,102,2,13,9,29,40,9,2,1,0,10.06,51.0,4.64,28.43,0,0,0
SN Thakur,DC,2,71,42,2,5,4,10,21,2,0,2,0,10.14,21.0,4.67,23.81,0,0,0
R Parag,GT,4,112,66,2,11,2,11,31,10,1,2,0,10.18,33.0,5.08,16.67,0,0,0
Imran Tahir,MI,3,121,66,2,8,10,22,26,0,0,3,0,11.0,33.0,3.67,33.33,0,0,0
LH Ferguson,GT,3,133,69,2,11,8,19,26,3,2,2,1,11.57,34.5,3.63,27.54,0,0,0
PJ Cummins,PBKS,5,201,102,2,24,8,29,32,9,0,7,0,11.82,51.0,3.19,28.43,0,0,0
S Gopal,DC,3,104,72,1,9,5,28,25,4,1,2,0,8.67,72.0,5.14,38.89,0,0,0
KA Pollard,CSK,2,18,12,1,1,1,4,5,1,0,1,0,9.0,12.0,6.0,33.33,0,0,0
Yash Thakur,PBKS,2,72,48,1,5,2,11,22,6,2,0,0,9.0,48.0,6.86,22.92,0,0,0
N Burger,PBKS,1,37,24,1,4,2,10,8,0,0,1,0,9.25,24.0,4.0,41.67,0,0,0
RD Chahar,RCB,3,113,72,1,10,4,24,25,7,2,4,0,9.42,72.0,5.14,33.33,0,0,0
RS Hangargekar,MI,1,38,24,1,3,1,5,11,3,1,0,0,9.5,24.0,6.0,20.83,0,0,0
VR Iyer,SRH,2,38,24,1,1,3,7,11,2,0,1,0,9.5,24.0,6.0,29.17,0,0,0
Mohammad Ghazanfar,CSK,3,98,60,1,11,3,13,30,3,0,0,0,9.8,60.0,4.29,21.67,0,0,0
MP Stoinis,PBKS,8,212,129,1,16,9,27,65,10,2,1,2,9.86,129.0,5.16,20.93,0,0,0
A Badoni,SRH,2,40,24,1,2,2,3,15,2,0,1,0,10.0,24.0,6.0,12.5,0,0,0
Ramandeep Singh,LSG,1,20,12,1,2,1,3,6,0,0,0,0,10.0,12.0,4.0,25.0,0,0,0
V Kaverappa,SRH,1,31,18,1,5,1,8,3,1,0,0,0,10.33,18.0,3.0,44.44,0,0,0
TU Deshpande,RR,2,84,48,1,7,5,19,12,4,1,3,0,10.5,48.0,4.0,39.58,0,0,0
Umran Malik,RCB,1,42,24,1,5,1,6,10,2,0,2,0,10.5,24.0,4.0,25.0,0,0,0
Avesh Khan,PBKS,2,74,42,1,8,2,5,25,2,0,1,0,10.57,42.0,4.2,11.9,0,0,0
Noor Ahmad,KKR,2,85,48,1,6,5,13,20,3,1,2,0,10.62,48.0,4.36,27.08,0,0,0
J Overton,KKR,2,77,42,1,6,3,3,25,5,0,0,0,11.0,42.0,4.67,7.14,0,0,0
MJ Santner,PBKS,1,45,24,1,5,2,5,11,1,0,0,0,11.25,24.0,3.43,20.83,0,0,0
DL Chahar,DC,3,147,72,1,10,8,8,36,9,1,2,0,12.25,72.0,4.0,11.11,0,0,0
JG Bethell,SRH,3,98,48,1,4,7,5,25,6,1,0,0,12.25,48.0,4.36,10.42,0,0,0
S Dube,RR,1,26,12,1,3,1,2,4,2,0,0,0,13.0,12.0,3.0,16.67,0,0,0
DG Nalkande,RCB,1,36,24,0,2,2,8,9,2,1,0,0,9.0,inf,6.0,33.33,0,0,0
D Ferreira,SRH,1,19,12,0,1,1,3,6,0,1,0,0,9.5,inf,6.0,25.0,0,0,0
MJ Suthar,LSG,2,77,48,0,6,2,7,27,6,0,1,1,9.62,inf,6.0,14.58,0,0,0
MM Ali,RCB,2,78,48,0,9,2,10,25,1,1,0,0,9.75,inf,4.36,20.83,0,0,0
IC Porel,SRH,2,59,36,0,4,1,6,18,5,2,3,0,9.83,inf,7.2,16.67,0,0,0
Tilak Varma,CSK,4,72,42,0,3,5,8,23,2,1,0,0,10.29,inf,5.25,19.05,0,0,0
K Kartikeya,GT,1,31,17,0,2,2,5,6,1,1,0,0,10.94,inf,4.25,29.41,0,0,0
Harshit Rana,SRH,3,130,66,0,9,10,19,24,4,0,2,0,11.82,inf,3.47,28.79,0,0,0
BJ McMullen,DC,2,25,12,0,4,0,2,3,3,0,0,0,12.5,inf,3.0,16.67,0,0,0
KV Sharma,MI,1,51,24,0,2,4,1,16,1,0,1,0,12.75,inf,4.0,4.17,0,0,0
N Sindhu,DC,1,33,12,0,2,3,1,5,1,0,0,0,16.5,inf,2.4,8.33,0,0,0
