bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Ashutosh Sharma,RCB,4,111,72,4,7,6,24,2,0,9.25,18.0,5.54,33.33,131.54,2-15 (12),0-0-0
D Wiese,GT,5,171,108,4,18,6,33,3,0,9.5,27.0,4.5,30.56,112.38,3-25 (24),1-0-0
DS Rathi,KKR,3,116,72,4,12,5,28,2,1,9.67,18.0,4.24,38.89,127.15,2-38 (24),0-0-0
Harsh Tyagi,SRH,2,71,42,4,4,5,11,0,0,10.14,10.5,4.67,26.19,143.04,2-25 (18),0-0-0
AS Roy,GT,4,153,90,4,19,4,22,2,0,10.2,22.5,3.91,24.44,109.49,2-49 (24),0-0-0
Mohammed Shami,LSG,4,164,96,4,21,3,20,2,0,10.25,24.0,4.0,20.83,106.34,2-36 (24),0-0-0
VR Iyer,SRH,8,223,120,4,20,10,20,1,1,11.15,30.0,4.0,16.67,95.64,1-13 (12),0-0-0
R Parag,GT,7,79,42,4,15,0,11,1,0,11.29,10.5,2.8,26.19,132.44,1-10 (6),0-0-0
Yudhvir Singh,RCB,7,245,126,4,33,8,39,3,0,11.67,31.5,3.07,30.95,96.11,2-44 (24),0-0-0
VG Arora,KKR,2,51,39,3,5,2,17,2,0,7.85,13.0,5.57,43.59,140.45,2-17 (15),0-0-0
K Kartikeya,LSG,2,60,42,3,7,1,12,0,0,8.57,14.0,5.25,28.57,126.02,2-37 (24),0-0-0
DW Lawrence,DC,4,80,54,3,6,4,17,2,0,8.89,18.0,5.4,31.48,118.91,2-30 (18),0-0-0
Mohammad Ghazanfar,SRH,2,73,48,3,5,5,16,1,0,9.12,16.0,4.8,33.33,119.96,3-32 (24),1-0-0
PHKD Mendis,DC,9,179,108,3,19,4,25,3,0,9.94,36.0,4.7,23.15,92.09,2-9 (12),0-0-0
CH Gayle,CSK,2,31,18,3,6,0,6,1,0,10.33,6.0,3.0,33.33,0.0,3-22 (12),1-0-0
Naveen-ul-Haq,SRH,4,167,96,3,12,10,29,3,0,10.44,32.0,4.36,30.21,94.63,2-36 (24),0-0-0
RA Jadeja,SRH,10,237,126,3,15,14,26,3,1,11.29,42.0,4.34,20.63,81.59,2-54 (24),0-0-0
Cheepurapalli Stephen,CSK,4,137,63,3,9,10,16,4,0,13.05,21.0,3.32,25.4,93.56,2-39 (18),0-0-0
Rasikh Salam,MI,1,21,24,2,2,0,11,0,0,5.25,12.0,12.0,45.83,0.0,2-21 (24),0-0-0
AR Patel,CSK,3,49,48,2,5,0,19,0,0,6.12,24.0,9.6,39.58,132.67,1-14 (24),0-0-0
Mohammad Amir,LSG,2,52,48,2,4,2,24,0,0,6.5,24.0,8.0,50.0,129.22,2-31 (24),0-0-0
Shakib Al Hasan,PBKS,3,47,42,2,4,1,18,1,0,6.71,21.0,8.4,42.86,129.93,1-18 (18),0-0-0
DA Payne,PBKS,4,117,84,2,12,4,37,1,0,8.36,42.0,5.25,44.05,96.55,1-26 (24),0-0-0
Abdul Samad,LSG,4,43,30,2,1,2,5,0,0,8.6,15.0,10.0,16.67,128.71,1-5 (6),0-0-0
BA Stokes,RR,5,168,108,2,20,6,38,3,0,9.33,54.0,4.15,35.19,78.84,2-39 (24),0-0-0
HH Pandya,MI,8,290,180,2,28,7,34,5,0,9.67,90.0,5.14,18.89,67.43,1-21 (24),0-0-0
Prashant Veer,DC,3,58,36,2,5,3,11,2,0,9.67,18.0,4.5,30.56,101.21,1-19 (12),0-0-0
SH Johnson,GT,2,72,42,2,7,3,12,2,0,10.29,21.0,4.2,28.57,93.42,1-35 (18),0-0-0
Fazalhaq Farooqi,CSK,3,114,66,2,14,3,18,2,0,10.36,33.0,3.88,27.27,80.57,2-25 (18),0-0-0
Mohammad Nabi,LSG,2,85,48,2,9,4,12,1,0,10.62,24.0,3.69,25.0,84.45,2-45 (24),0-0-0
Sonu Yadav,PBKS,2,64,36,2,7,2,8,1,0,10.67,18.0,4.0,22.22,92.73,2-33 (18),0-0-0
Nithish Kumar Reddy,SRH,8,180,101,2,15,10,20,0,0,10.69,50.5,4.04,19.8,67.59,1-7 (6),0-0-0
KH Pandya,RR,3,108,60,2,11,4,14,2,0,10.8,30.0,4.0,23.33,80.17,1-29 (24),0-0-0
Avesh Khan,GT,2,88,48,2,10,3,15,0,0,11.0,24.0,3.69,31.25,88.12,1-43 (24),0-0-0
SS Ghosh,MI,2,92,48,2,10,4,13,2,0,11.5,24.0,3.43,27.08,83.43,1-45 (24),0-0-0
AD Russell,DC,8,159,78,2,25,5,28,3,0,12.23,39.0,2.6,35.9,71.79,1-16 (12),0-0-0
Naseem Shah,LSG,2,99,48,2,10,3,8,0,0,12.38,24.0,3.69,16.67,78.36,2-53 (24),0-0-0
RE van der Merwe,GT,1,51,24,2,4,4,6,0,0,12.75,12.0,3.0,25.0,0.0,2-51 (24),0-0-0
R Sanjay Yadav,PBKS,1,40,18,2,3,3,3,1,0,13.33,9.0,3.0,16.67,0.0,2-40 (18),0-0-0
Yash Thakur,MI,1,17,18,1,3,0,11,0,1,5.67,18.0,6.0,61.11,0.0,1-17 (18),0-0-0
BJ McMullen,RR,4,35,30,1,3,1,13,2,0,7.0,30.0,7.5,43.33,105.7,1-1 (6),0-0-0
EA Brookes,RCB,3,45,36,1,3,0,9,3,0,7.5,36.0,12.0,25.0,113.97,1-27 (18),0-0-0
C Connolly,PBKS,2,52,36,1,7,0,14,5,0,8.67,36.0,5.14,38.89,85.21,1-26 (18),0-0-0
D Ferreira,GT,3,53,36,1,4,2,10,4,0,8.83,36.0,6.0,27.78,82.38,1-18 (12),0-0-0
Khrievitso Kense,RCB,2,62,42,1,8,0,10,1,0,8.86,42.0,5.25,23.81,74.23,1-37 (24),0-0-0
Kuldeep Yadav,SRH,4,119,78,1,10,3,16,2,0,9.15,78.0,6.0,20.51,68.15,1-29 (18),0-0-0
CV Milind,SRH,4,148,90,1,15,6,26,1,1,9.87,90.0,4.29,28.89,60.22,1-39 (18),0-0-0
C Sakariya,SRH,1,40,24,1,3,2,4,0,0,10.0,24.0,4.8,16.67,0.0,1-40 (24),0-0-0
V Suryavanshi,PBKS,2,20,12,1,3,0,4,1,0,10.0,12.0,4.0,33.33,0.0,1-11 (6),0-0-0
DS Airee,CSK,2,22,13,1,3,0,4,0,0,10.15,13.0,4.33,30.77,0.0,1-0 (1),0-0-0
Jagjit Singh,SRH,1,43,24,1,5,2,8,1,0,10.75,24.0,3.43,33.33,0.0,1-43 (24),0-0-0
Ashwani Kumar,RR,1,44,24,1,4,2,3,0,0,11.0,24.0,4.0,12.5,0.0,1-44 (24),0-0-0
Washington Sundar,PBKS,2,55,30,1,5,2,4,0,0,11.0,30.0,4.29,13.33,65.46,1-22 (12),0-0-0
AM Hardie,CSK,4,171,90,1,9,12,19,1,0,11.4,90.0,4.29,21.11,52.69,1-53 (24),0-0-0
Zeeshan Ansari,SRH,1,49,24,1,4,3,4,0,0,12.25,24.0,3.43,16.67,0.0,1-49 (24),0-0-0
GJ Maxwell,DC,8,216,96,1,25,10,15,3,0,13.5,96.0,2.74,15.62,36.94,1-32 (12),0-0-0
Sakibul Gani,RCB,3,109,48,1,15,3,10,2,0,13.62,48.0,2.67,20.83,50.86,1-51 (24),0-0-0
Rashid Khan,MI,2,97,42,1,10,5,8,0,1,13.86,42.0,2.8,19.05,52.05,1-60 (24),0-0-0
Shadab Khan,SRH,4,102,72,0,6,3,14,5,0,8.5,inf,8.0,19.44,60.43,0-21 (12),0-0-0
RA Bawa,SRH,2,26,18,0,1,2,5,0,0,8.67,inf,6.0,27.78,0.0,0-4 (6),0-0-0
KK Ahmed,RR,1,27,18,0,4,0,3,0,0,9.0,inf,4.5,16.67,0.0,0-27 (18),0-0-0
MR Marsh,SRH,1,9,6,0,1,0,1,0,0,9.0,inf,6.0,16.67,0.0,0-9 (6),0-0-0
AA Kulkarni,GT,1,19,12,0,2,0,2,0,0,9.5,inf,6.0,16.67,0.0,0-19 (12),0-0-0
Rishad Hossain,RR,1,29,18,0,1,1,4,1,0,9.67,inf,9.0,22.22,0.0,0-29 (18),0-0-0
R Powell,LSG,7,118,72,0,5,6,9,2,0,9.83,inf,6.55,12.5,46.17,0-6 (6),0-0-0
D Brevis,LSG,1,10,6,0,1,0,1,0,0,10.0,inf,6.0,16.67,0.0,0-10 (6),0-0-0
Kaleem Sana,RCB,2,88,48,0,9,5,19,0,0,11.0,inf,3.43,39.58,45.24,0-41 (24),0-0-0
Sanvir Singh,GT,1,22,12,0,1,1,1,2,0,11.0,inf,6.0,8.33,0.0,0-22 (12),0-0-0
TM Head,RR,1,22,12,0,5,0,5,0,0,11.0,inf,2.4,41.67,0.0,0-22 (12),0-0-0
Khushdil Shah,DC,1,35,18,0,2,2,2,0,0,11.67,inf,4.5,11.11,0.0,0-35 (18),0-0-0
Abhishek Sharma,MI,4,47,24,0,8,0,5,2,0,11.75,inf,3.0,20.83,0.0,0-9 (6),0-0-0
Yuvraj Singh,CSK,3,95,48,0,7,7,16,0,0,11.88,inf,3.43,33.33,40.32,0-17 (12),0-0-0
Faisal Khan,RCB,1,12,6,0,1,0,1,1,0,12.0,inf,6.0,16.67,0.0,0-12 (6),0-0-0
Suryansh Shedge,CSK,1,36,18,0,1,1,2,1,0,12.0,inf,9.0,11.11,0.0,0-36 (18),0-0-0
Harpreet Brar,GT,2,98,48,0,12,4,9,0,0,12.25,inf,3.0,18.75,29.41,0-45 (24),0-0-0
GD Phillips,GT,4,91,42,0,10,4,4,1,0,13.0,inf,3.0,9.52,23.9,0-14 (12),0-0-0
Ramandeep Singh,LSG,1,27,12,0,5,0,1,1,0,13.5,inf,2.4,8.33,0.0,0-27 (12),0-0-0
Naman Dhir,GT,3,44,18,0,4,2,1,1,0,14.67,inf,3.0,5.56,0.0,0-12 (6),0-0-0
Hassan Nawaz,RCB,1,15,6,0,3,0,0,0,0,15.0,inf,2.0,0.0,0.0,0-15 (6),0-0-0
