match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total
S06M033,2,1,2,50.0,1-0(0.1),6-1(1.0),1.0,1 off 2,,,Shubman Gill,LSG,9-155 (109)
S06M036,2,35,16,218.75,4-0(0.1),47-1(4.0),0.0,35 off 16,,,Shubman Gill,LSG,8-186 (120)
S06M004,1,88,48,183.33,1-0(0.1),169-3(17.0),1.0,20 off 16,48 off 24,20 off 8,CH Gayle,CSK,4-195 (120)
S06M007,2,13,13,100.0,0-0(0.1),30-2(4.0),0.0,13 off 13,,,CH Gayle,CSK,8-190 (120)
S06M015,1,27,13,207.69,4-0(0.1),53-1(4.3),0.0,27 off 13,,,CH Gayle,CSK,5-217 (120)
S06M019,2,45,28,160.71,1-0(0.1),92-2(11.2),0.0,13 off 11,32 off 17,,CH Gayle,CSK,6-189 (120)
S06M022,2,1,4,25.0,1-0(0.0),3-1(1.0),1.0,1 off 4,,,CH Gayle,CSK,5-92 (71)
S06M028,1,15,11,136.36,4-0(0.1),18-1(2.2),1.0,15 off 11,,,CH Gayle,CSK,6-201 (120)
S06M031,2,91,61,149.18,1-0(0.1),,0.0,32 off 23,23 off 22,36 off 16,CH Gayle,CSK,9-183 (120)
S06M038,1,28,17,164.71,4-0(0.1),35-1(3.4),0.0,28 off 17,,,CH Gayle,CSK,7-167 (120)
S06M004,2,9,6,150.0,31-1(3.2),38-2(4.2),0.0,9 off 6,,,Naman Dhir,GT,9-178 (120)
S06M010,1,51,30,170.0,13-1(1.5),111-5(11.4),0.0,20 off 12,31 off 18,,Naman Dhir,GT,8-188 (120)
S06M012,2,39,23,169.57,29-1(1.5),107-3(11.1),1.0,20 off 9,19 off 14,,Naman Dhir,GT,7-205 (119)
S06M017,2,2,1,200.0,2-2(0.2),2-2(0.2),0.0,2 off 1,,,Naman Dhir,GT,7-172 (120)
S06M024,2,58,43,134.88,4-1(0.3),173-3(16.2),1.0,18 off 10,35 off 30,5 off 3,Naman Dhir,GT,4-214 (115)
S06M028,2,6,7,85.71,133-4(11.3),157-5(13.5),0.0,,6 off 7,,Naman Dhir,GT,10-196 (109)
S06M035,2,69,41,168.29,77-1(5.2),,1.0,0 off 1,33 off 27,36 off 13,Naman Dhir,GT,3-239 (117)
S06M037,2,66,38,173.68,64-1(5.3),,0.0,8 off 4,30 off 22,28 off 12,Naman Dhir,GT,1-221 (120)
S06M003,2,55,41,134.15,14-0(1.1),123-2(14.2),0.0,27 off 18,28 off 23,,BM Duckett,SRH,10-158 (119)
S06M006,2,69,41,168.29,15-0(1.1),162-2(14.4),1.0,18 off 12,51 off 29,,BM Duckett,SRH,3-210 (114)
S06M011,1,36,17,211.76,1-0(0.2),51-2(4.3),1.0,36 off 17,,,BM Duckett,SRH,8-201 (120)
S06M019,1,0,1,0.0,1-1(0.2),1-1(0.2),1.0,0 off 1,,,BM Duckett,SRH,10-190 (120)
S06M023,1,2,4,50.0,1-0(0.2),23-2(2.0),0.0,2 off 4,,,BM Duckett,SRH,6-184 (120)
S06M030,1,82,43,190.7,5-0(0.2),136-5(12.4),1.0,57 off 27,25 off 16,,BM Duckett,SRH,9-202 (120)
S06M032,1,33,14,235.71,16-0(0.5),56-1(4.4),1.0,33 off 14,,,BM Duckett,SRH,4-222 (120)
S06M040,2,5,3,166.67,7-0(0.3),10-2(1.1),0.0,5 off 3,,,BM Duckett,SRH,10-107 (78)
S06M002,2,92,49,187.76,1-0(0.1),187-6(18.3),0.0,8 off 8,49 off 26,35 off 15,GJ Maxwell,DC,6-205 (120)
S06M008,1,0,1,0.0,0-1(0.1),0-1(0.1),0.0,0 off 1,,,GJ Maxwell,DC,8-173 (120)
S06M011,2,84,48,175.0,2-0(0.2),,0.0,16 off 13,48 off 25,20 off 10,GJ Maxwell,DC,4-199 (120)
S06M016,1,26,17,152.94,10-0(0.5),64-3(6.1),0.0,26 off 16,0 off 1,,GJ Maxwell,DC,8-205 (120)
S06M023,2,59,30,196.67,6-0(0.1),112-2(11.3),1.0,37 off 16,22 off 14,,GJ Maxwell,DC,4-185 (110)
S06M027,2,11,5,220.0,1-0(0.1),33-1(2.2),1.0,11 off 5,,,GJ Maxwell,DC,8-206 (120)
S06M035,1,0,1,0.0,0-1(0.1),0-1(0.1),0.0,0 off 1,,,GJ Maxwell,DC,7-238 (120)
S06M039,2,8,5,160.0,1-0(0.1),12-1(1.2),1.0,8 off 5,,,GJ Maxwell,DC,7-167 (91)
S06M004,2,14,8,175.0,1-0(0.4),27-1(3.1),0.0,14 off 8,,,SV Samson,GT,9-178 (120)
S06M010,1,23,14,164.29,3-0(0.2),48-2(4.5),0.0,23 off 14,,,SV Samson,GT,8-188 (120)
S06M012,2,58,36,161.11,5-0(0.2),98-2(9.3),1.0,47 off 24,11 off 12,,SV Samson,GT,7-205 (119)
S06M017,2,0,1,0.0,0-1(0.1),0-1(0.1),0.0,0 off 1,,,SV Samson,GT,7-172 (120)
S06M024,2,37,13,284.62,10-1(1.0),59-2(4.1),1.0,37 off 13,,,SV Samson,GT,4-214 (115)
S06M028,2,40,24,166.67,33-0(2.0),126-4(11.0),0.0,16 off 8,24 off 16,,SV Samson,GT,10-196 (109)
S06M035,2,85,46,184.78,2-0(0.3),167-2(15.1),1.0,41 off 18,44 off 27,0 off 1,SV Samson,GT,3-239 (117)
S06M037,2,21,16,131.25,2-0(0.2),64-1(5.2),0.0,21 off 16,,,SV Samson,GT,1-221 (120)
S06M002,2,4,6,66.67,53-1(5.2),58-2(6.2),0.0,4 off 5,0 off 1,,SA Yadav,DC,6-205 (120)
S06M008,1,24,17,141.18,1-1(0.2),38-3(5.3),0.0,24 off 17,,,SA Yadav,DC,8-173 (120)
S06M011,2,24,14,171.43,146-2(15.5),189-3(19.3),0.0,,,24 off 14,SA Yadav,DC,4-199 (120)
S06M016,1,69,38,181.58,55-2(4.2),,0.0,3 off 4,31 off 20,35 off 14,SA Yadav,DC,8-205 (120)
S06M023,2,14,11,127.27,113-2(11.4),166-4(16.2),1.0,,14 off 10,0 off 1,SA Yadav,DC,4-185 (110)
S06M027,2,12,12,100.0,90-2(7.5),140-3(13.0),1.0,,12 off 12,,SA Yadav,DC,8-206 (120)
S06M035,1,62,33,187.88,43-3(4.2),178-5(15.4),0.0,2 off 6,54 off 25,6 off 2,SA Yadav,DC,7-238 (120)
S06M039,2,60,33,181.82,23-3(2.5),136-5(12.2),1.0,25 off 13,35 off 20,,SA Yadav,DC,7-167 (91)
S06M001,2,22,20,110.0,43-3(5.3),84-4(11.1),0.0,0 off 4,22 off 16,,YBK Jaiswal,RR,10-186 (120)
S06M007,1,14,8,175.0,86-3(7.3),103-5(9.2),1.0,,14 off 8,,YBK Jaiswal,RR,7-211 (120)
S06M012,1,48,21,228.57,105-3(12.2),,0.0,,17 off 8,31 off 13,YBK Jaiswal,RR,5-200 (120)
S06M020,2,11,15,73.33,103-4(12.1),144-8(18.4),0.0,,5 off 8,6 off 7,YBK Jaiswal,RR,9-145 (120)
S06M025,2,23,17,135.29,89-3(9.2),136-5(15.0),0.0,,23 off 17,,YBK Jaiswal,RR,9-181 (120)
S06M027,1,61,24,254.17,97-4(10.0),173-6(16.2),0.0,,43 off 18,18 off 6,YBK Jaiswal,RR,7-205 (120)
S06M033,1,15,14,107.14,58-3(6.3),89-4(10.3),0.0,,15 off 14,,YBK Jaiswal,RR,9-154 (120)
S06M038,2,70,38,184.21,26-3(4.0),,1.0,11 off 6,42 off 26,17 off 6,YBK Jaiswal,RR,8-169 (109)
S06M003,1,2,3,66.67,96-2(10.0),100-3(10.4),1.0,,2 off 3,,C Green,KKR,7-175 (120)
S06M009,1,3,4,75.0,69-1(6.5),80-2(8.1),0.0,,3 off 4,,C Green,KKR,8-177 (120)
S06M013,2,34,23,147.83,48-2(5.5),113-5(13.3),0.5,1 off 1,33 off 22,,C Green,KKR,10-133 (107)
S06M018,2,17,10,170.0,74-1(7.4),111-3(11.0),0.0,,17 off 10,,C Green,KKR,9-179 (120)
S06M025,1,68,35,194.29,53-1(6.4),,1.0,,50 off 26,18 off 9,C Green,KKR,4-187 (120)
S06M029,1,27,11,245.45,8-1(1.3),47-3(4.5),1.0,27 off 11,,,C Green,KKR,9-139 (120)
S06M032,2,71,47,151.06,8-1(1.3),135-4(15.3),0.0,30 off 19,41 off 27,0 off 1,C Green,KKR,6-196 (120)
S06M037,1,37,20,185.0,103-1(8.5),180-4(16.0),1.0,,22 off 15,15 off 5,C Green,KKR,8-224 (120)
S06M002,1,113,50,226.0,6-0(0.3),198-3(17.1),1.0,44 off 17,46 off 25,23 off 8,FH Allen,PBKS,4-224 (120)
S06M009,2,18,13,138.46,6-0(0.2),26-1(3.1),1.0,18 off 13,,,FH Allen,PBKS,8-178 (115)
S06M013,1,33,19,173.68,5-0(0.2),53-1(5.0),0.5,33 off 19,,,FH Allen,PBKS,10-133 (105)
S06M020,1,28,13,215.38,2-0(0.2),44-2(4.3),1.0,28 off 13,,,FH Allen,PBKS,6-170 (120)
S06M022,1,9,4,225.0,9-0(0.4),14-1(1.2),0.0,9 off 4,,,FH Allen,PBKS,10-90 (100)
S06M026,1,6,7,85.71,15-0(1.2),24-1(3.0),0.0,6 off 7,,,FH Allen,PBKS,5-187 (120)
S06M031,1,39,20,195.0,4-0(0.2),59-1(5.0),1.0,39 off 20,,,FH Allen,PBKS,4-218 (120)
S06M039,1,10,8,125.0,6-0(0.4),29-1(2.4),0.0,10 off 8,,,FH Allen,PBKS,8-166 (120)
S06M002,2,22,10,220.0,125-4(13.3),167-5(17.1),0.0,,14 off 6,8 off 4,Tarang Gohel,DC,6-205 (120)
S06M008,1,44,26,169.23,50-4(7.0),137-8(16.1),0.0,,40 off 23,4 off 3,Tarang Gohel,DC,8-173 (120)
S06M011,2,4,1,400.0,199-4(20.0),,0.0,,,4 off 1,Tarang Gohel,DC,4-199 (120)
S06M016,1,20,11,181.82,65-3(6.2),91-4(9.2),0.0,,20 off 11,,Tarang Gohel,DC,8-205 (120)
S06M023,2,66,46,143.48,21-1(2.2),147-3(15.3),1.0,20 off 13,42 off 30,4 off 3,Tarang Gohel,DC,4-185 (110)
S06M027,2,71,46,154.35,34-1(2.3),157-4(15.2),1.0,21 off 14,48 off 30,2 off 2,Tarang Gohel,DC,8-206 (120)
S06M035,1,26,12,216.67,0-1(0.2),43-3(4.1),0.0,26 off 12,,,Tarang Gohel,DC,7-238 (120)
S06M039,2,0,1,0.0,12-2(1.3),12-2(1.3),1.0,0 off 1,,,Tarang Gohel,DC,7-167 (91)
S06M004,1,0,4,0.0,1-0(0.2),1-1(0.5),1.0,0 off 4,,,Tilak Varma,CSK,4-195 (120)
S06M007,2,88,46,191.3,21-1(2.4),185-6(18.4),0.0,21 off 10,52 off 29,15 off 7,Tilak Varma,CSK,8-190 (120)
S06M015,1,30,19,157.89,15-0(1.0),59-3(5.4),0.0,30 off 19,,,Tilak Varma,CSK,5-217 (120)
S06M019,2,62,30,206.67,50-1(7.5),,0.0,,33 off 19,29 off 11,Tilak Varma,CSK,6-189 (120)
S06M022,2,23,23,100.0,2-0(0.2),78-4(9.4),1.0,12 off 13,11 off 10,,Tilak Varma,CSK,5-92 (71)
S06M028,1,28,13,215.38,22-1(2.3),67-2(7.2),1.0,22 off 9,6 off 4,,Tilak Varma,CSK,6-201 (120)
S06M031,2,1,2,50.0,51-1(5.5),51-2(6.1),0.0,1 off 1,0 off 1,,Tilak Varma,CSK,9-183 (120)
S06M038,1,13,11,118.18,35-1(3.5),59-2(6.3),0.0,13 off 10,0 off 1,,Tilak Varma,CSK,7-167 (120)
S06M004,2,24,18,133.33,101-3(11.2),162-7(18.1),0.0,,4 off 7,20 off 11,R Parag,GT,9-178 (120)
S06M010,1,14,10,140.0,52-3(5.2),80-4(8.0),0.0,9 off 4,5 off 6,,R Parag,GT,8-188 (120)
S06M012,2,30,17,176.47,99-2(9.4),167-4(16.0),1.0,,18 off 13,12 off 4,R Parag,GT,7-205 (119)
S06M017,2,43,26,165.38,8-2(0.3),90-4(10.0),0.0,35 off 20,8 off 6,,R Parag,GT,7-172 (120)
S06M024,2,81,47,172.34,59-2(4.2),183-4(17.4),1.0,20 off 11,36 off 24,25 off 12,R Parag,GT,4-214 (115)
S06M028,2,32,18,177.78,120-3(10.4),174-6(16.0),0.0,,27 off 14,5 off 4,R Parag,GT,10-196 (109)
S06M035,2,16,7,228.57,171-2(15.2),211-3(17.4),1.0,,,16 off 7,R Parag,GT,3-239 (117)
S06M005,1,45,23,195.65,122-3(11.3),,0.0,,13 off 11,32 off 12,N Pooran,MI,3-223 (120)
S06M018,1,73,41,178.05,77-4(8.4),,1.0,,42 off 24,31 off 17,N Pooran,MI,6-193 (120)
S06M021,2,59,30,196.67,45-3(5.2),154-4(15.4),0.0,4 off 2,51 off 26,4 off 2,N Pooran,MI,6-225 (120)
S06M029,2,22,22,100.0,29-3(2.5),,0.0,2 off 6,20 off 16,,N Pooran,MI,10-76 (70)
S06M034,1,8,3,266.67,179-4(15.2),181-5(15.4),1.0,,,8 off 3,N Pooran,MI,5-238 (120)
S06M036,1,32,12,266.67,183-3(15.4),213-4(17.5),1.0,,,32 off 12,N Pooran,MI,5-234 (120)
S06M001,1,47,38,123.68,1-1(0.5),118-5(14.2),1.0,13 off 16,34 off 22,,WG Jacks,LSG,6-189 (120)
S06M006,1,21,14,150.0,131-1(13.4),160-2(17.0),0.0,,10 off 7,11 off 7,WG Jacks,LSG,4-204 (120)
S06M014,1,30,23,130.43,4-1(0.3),62-2(6.5),1.0,26 off 20,4 off 3,,WG Jacks,LSG,5-210 (120)
S06M017,1,24,21,114.29,41-1(4.1),120-2(10.5),1.0,8 off 7,16 off 14,,WG Jacks,LSG,5-194 (120)
S06M021,1,71,31,229.03,133-1(12.4),,1.0,,17 off 11,54 off 20,WG Jacks,LSG,1-228 (120)
S06M030,2,31,22,140.91,8-1(1.2),77-2(8.2),0.0,27 off 17,4 off 5,,WG Jacks,LSG,5-184 (120)
S06M033,2,4,2,200.0,30-1(2.1),30-2(2.2),1.0,4 off 2,,,WG Jacks,LSG,9-155 (109)
S06M036,2,10,13,76.92,48-1(4.3),84-2(8.5),0.0,5 off 6,5 off 7,,WG Jacks,LSG,8-186 (120)
S06M002,2,43,23,186.96,2-0(0.2),53-1(5.1),0.0,43 off 23,,,MJ Owen,DC,6-205 (120)
S06M008,1,11,13,84.62,1-1(0.3),28-2(4.2),0.0,11 off 13,,,MJ Owen,DC,8-173 (120)
S06M011,2,79,54,146.3,1-0(0.1),145-1(15.3),0.0,29 off 23,48 off 29,2 off 2,MJ Owen,DC,4-199 (120)
S06M016,1,31,14,221.43,2-0(0.1),44-1(3.3),0.0,31 off 14,,,MJ Owen,DC,8-205 (120)
S06M023,2,5,7,71.43,16-0(1.1),21-1(2.1),1.0,5 off 7,,,MJ Owen,DC,4-185 (110)
S06M027,2,52,23,226.09,3-0(0.2),89-2(7.4),1.0,43 off 17,9 off 6,,MJ Owen,DC,8-206 (120)
S06M035,1,9,4,225.0,8-1(0.5),18-2(1.3),0.0,9 off 4,,,MJ Owen,DC,7-238 (120)
S06M039,2,7,7,100.0,2-0(0.2),23-3(2.4),1.0,7 off 7,,,MJ Owen,DC,7-167 (91)
S06M009,1,54,35,154.29,2-0(0.1),146-5(14.2),0.0,36 off 20,18 off 15,,J Fraser-McGurk,KKR,8-177 (120)
S06M013,2,39,29,134.48,8-0(1.1),95-3(10.4),0.5,21 off 16,18 off 13,,J Fraser-McGurk,KKR,10-133 (107)
S06M018,2,34,21,161.9,1-0(0.1),73-1(7.3),0.0,26 off 15,8 off 6,,J Fraser-McGurk,KKR,9-179 (120)
S06M029,1,18,13,138.46,0-0(0.1),46-2(4.2),1.0,18 off 13,,,J Fraser-McGurk,KKR,9-139 (120)
S06M032,2,36,22,163.64,0-0(0.1),81-2(8.1),0.0,29 off 14,7 off 8,,J Fraser-McGurk,KKR,6-196 (120)
S06M037,1,49,29,168.97,2-0(0.1),99-1(8.4),1.0,37 off 21,12 off 8,,J Fraser-McGurk,KKR,8-224 (120)
S06M014,2,12,4,300.0,9-1(0.4),18-2(1.3),0.0,12 off 4,,,Priyansh Arya,RCB,10-131 (91)
S06M016,2,49,27,181.48,23-0(1.0),100-1(8.4),1.0,37 off 18,12 off 9,,Priyansh Arya,RCB,5-208 (120)
S06M024,1,27,16,168.75,6-0(0.4),67-2(5.1),0.0,27 off 16,,,Priyansh Arya,RCB,7-213 (120)
S06M034,2,106,52,203.85,17-1(1.0),,0.0,40 off 16,50 off 27,16 off 9,Priyansh Arya,RCB,6-229 (120)
S06M040,1,21,18,116.67,2-0(0.3),88-3(7.4),1.0,18 off 12,3 off 6,,Priyansh Arya,RCB,6-197 (120)
S06M003,2,19,8,237.5,0-0(0.1),36-1(2.4),0.0,19 off 8,,,P Simran Singh,SRH,10-158 (119)
S06M006,2,53,24,220.83,4-0(0.1),77-1(6.2),1.0,53 off 24,,,P Simran Singh,SRH,3-210 (114)
S06M011,1,14,8,175.0,1-0(0.1),42-1(3.0),1.0,14 off 8,,,P Simran Singh,SRH,8-201 (120)
S06M019,1,50,32,156.25,1-0(0.1),136-4(13.1),1.0,11 off 10,39 off 22,,P Simran Singh,SRH,10-190 (120)
S06M023,1,1,2,50.0,1-0(0.1),2-1(0.4),0.0,1 off 2,,,P Simran Singh,SRH,6-184 (120)
S06M030,1,11,7,157.14,1-0(0.1),48-1(4.1),1.0,11 off 7,,,P Simran Singh,SRH,9-202 (120)
S06M032,1,57,34,167.65,4-0(0.1),126-2(11.1),1.0,30 off 17,27 off 17,,P Simran Singh,SRH,4-222 (120)
S06M040,2,3,3,100.0,2-0(0.1),8-1(0.5),0.0,3 off 3,,,P Simran Singh,SRH,10-107 (78)
S06M005,1,89,48,185.42,30-1(2.5),,0.0,9 off 6,39 off 24,41 off 18,AM Rahane,MI,3-223 (120)
S06M008,2,6,7,85.71,36-1(3.4),75-2(6.4),1.0,5 off 5,1 off 2,,AM Rahane,MI,3-176 (104)
S06M015,2,40,31,129.03,109-1(8.4),,1.0,,25 off 19,15 off 12,AM Rahane,MI,2-218 (113)
S06M018,1,18,18,100.0,41-1(3.3),77-4(8.3),1.0,6 off 9,12 off 9,,AM Rahane,MI,6-193 (120)
S06M021,2,4,2,200.0,22-1(1.3),22-2(1.4),0.0,4 off 2,,,AM Rahane,MI,6-225 (120)
S06M034,1,22,8,275.0,90-1(7.0),130-2(9.2),1.0,,22 off 8,,AM Rahane,MI,5-238 (120)
S06M036,1,27,18,150.0,139-2(12.2),219-5(18.5),1.0,,18 off 10,9 off 8,AM Rahane,MI,5-234 (120)
S06M001,2,69,43,160.47,24-2(2.3),151-6(16.5),0.0,8 off 10,53 off 29,8 off 4,Aniket Verma,RR,10-186 (120)
S06M007,1,21,11,190.91,40-2(4.0),87-4(7.5),1.0,12 off 6,9 off 5,,Aniket Verma,RR,7-211 (120)
S06M012,1,55,26,211.54,73-2(8.5),167-4(17.0),0.0,,33 off 19,22 off 7,Aniket Verma,RR,5-200 (120)
S06M020,2,39,18,216.67,57-3(8.1),118-5(14.2),0.0,,39 off 18,,Aniket Verma,RR,9-145 (120)
S06M033,1,20,10,200.0,26-2(3.4),57-3(6.2),0.0,20 off 9,0 off 1,,Aniket Verma,RR,9-154 (120)
S06M038,2,1,2,50.0,25-2(3.2),35-4(4.4),1.0,1 off 2,,,Aniket Verma,RR,8-169 (109)
S06M003,1,26,14,185.71,55-1(6.4),107-4(11.2),1.0,,26 off 14,,SP Narine,KKR,7-175 (120)
S06M009,1,31,20,155.0,7-0(0.4),68-1(6.4),0.0,21 off 16,10 off 4,,SP Narine,KKR,8-177 (120)
