striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Tanush Kotian,CSK,9,109,213.73,18.17,4.15
HH Pandya,MI,11,136,219.35,22.67,4.05
Jay Gohil,LSG,6,107,169.84,35.67,3.63
Utkarsh Singh,PBKS,6,86,159.26,21.5,3.49
PHKD Mendis,DC,8,95,161.02,15.83,3.45
Kumar Kushagra,GT,7,94,128.77,15.67,3.39
H Klaasen,CSK,3,89,139.06,29.67,3.39
LS Livingstone,KKR,7,88,141.94,44.0,3.28
DW Lawrence,DC,5,90,142.86,30.0,3.27
JJ Smit,PBKS,4,80,129.03,20.0,3.25
TB Robinson,RR,3,82,149.09,27.33,3.2
AM Hardie,CSK,5,83,109.21,27.67,3.16
Anmolpreet Singh,CSK,6,82,126.15,20.5,3.12
Usman Khan (2),CSK,2,81,158.82,40.5,3.08
MP Stoinis,KKR,3,82,128.12,27.33,3.06
Karan Shinde,RCB,8,96,188.24,19.2,3.0
SR Dickson,RCB,3,94,149.21,31.33,2.94
B Sai Sudharsan,PBKS,4,71,118.33,17.75,2.88
AD Russell,DC,5,77,179.07,25.67,2.8
Hassan Nawaz,RCB,6,87,117.57,17.4,2.72
MS Dhoni,CSK,3,71,169.05,inf,2.7
AA Kulkarni,GT,2,73,187.18,36.5,2.64
MW Short,MI,4,88,172.55,22.0,2.62
TM Head,RR,3,65,118.18,21.67,2.54
AK Markram,DC,4,68,170.0,34.0,2.47
BA Stokes,RR,5,62,172.22,15.5,2.42
Suryansh Shedge,CSK,3,63,161.54,63.0,2.4
C Connolly,PBKS,3,59,151.28,19.67,2.39
Abdul Samad,LSG,6,64,139.13,21.33,2.17
Karan Lal,RR,8,49,106.52,49.0,1.91
RK Singh,MI,4,63,210.0,31.5,1.88
Ishan Kishan,MI,3,62,155.0,62.0,1.85
Samant Jakhar,DC,8,50,113.64,12.5,1.82
Shaheen Shah Afridi,MI,5,58,138.1,19.33,1.73
JM Coles,MI,10,58,86.57,6.44,1.73
D Padikkal,KKR,3,36,189.47,36.0,1.34
AGS Gous,KKR,1,34,178.95,34.0,1.27
AR Ramjani,PBKS,6,31,88.57,7.75,1.26
DS Airee,CSK,3,31,124.0,10.33,1.18
JN Loftie-Eaton,RR,3,29,120.83,29.0,1.13
N Wadhera,KKR,4,30,96.77,10.0,1.12
R Sai Kishore,MI,5,36,138.46,36.0,1.07
D Brevis,LSG,3,31,114.81,10.33,1.05
Ishaan Gadekar,SRH,3,26,100.0,8.67,1.03
KH Pandya,RR,3,26,108.33,26.0,1.01
GF Linde,GT,3,28,147.37,14.0,1.01
Jaskaran Singh,KKR,4,27,90.0,9.0,1.01
Akash Vasisht,SRH,6,25,113.64,6.25,0.99
K Kartikeya,LSG,3,29,152.63,9.67,0.98
RK Bhui,KKR,2,26,100.0,13.0,0.97
Jagjit Singh,SRH,2,23,104.55,23.0,0.91
SN Khan,RCB,2,28,127.27,14.0,0.88
Ashutosh Sharma,RCB,4,27,128.57,27.0,0.84
EA Brookes,RCB,3,25,96.15,8.33,0.78
RR Patel,RCB,5,25,83.33,8.33,0.78
JJ Bumrah,DC,2,20,285.71,20.0,0.73
Sanvir Singh,GT,1,20,181.82,20.0,0.72
R Ashwin,KKR,3,19,105.56,6.33,0.71
SS Prabhudessai,MI,2,24,120.0,12.0,0.71
Harshit Rana,KKR,5,16,55.17,8.0,0.6
AS Roy,GT,3,16,160.0,16.0,0.58
Dhruv Jurel,KKR,4,15,150.0,5.0,0.56
Yashvardhan Dalal,DC,1,15,107.14,15.0,0.55
SPD Smith,CSK,1,14,127.27,14.0,0.53
A Mhatre,KKR,1,13,100.0,13.0,0.49
Shakib Al Hasan,PBKS,1,12,80.0,inf,0.49
Tejasvi Dahiya,LSG,1,14,200.0,14.0,0.48
Naveen-ul-Haq,SRH,4,12,109.09,4.0,0.47
B Indrajith,RCB,1,15,166.67,15.0,0.47
R Shepherd,GT,2,13,76.47,6.5,0.47
HJ Manenti,CSK,3,12,63.16,6.0,0.46
Ashwin Das,LSG,3,13,118.18,13.0,0.44
A Nagwaswalla,RR,5,11,52.38,2.75,0.43
Mohammad Nabi,LSG,2,12,150.0,6.0,0.41
MP Yadav,PBKS,4,10,30.3,5.0,0.41
Rasikh Salam,MI,1,13,100.0,13.0,0.39
B Kumar,KKR,5,10,52.63,10.0,0.37
Shahbaz Ahmed,LSG,3,11,110.0,5.5,0.37
D Ferreira,GT,3,10,90.91,3.33,0.36
Harpreet Brar,GT,2,9,150.0,9.0,0.33
R Sanjay Yadav,PBKS,1,8,160.0,8.0,0.32
JC Archer,LSG,3,9,64.29,4.5,0.31
Yudhvir Singh,RCB,4,10,111.11,10.0,0.31
Mukul Choudhary,DC,1,8,160.0,8.0,0.29
M Pathirana,RCB,2,9,112.5,inf,0.28
Ashwani Kumar,RR,1,7,350.0,inf,0.27
JR Hazlewood,RR,4,7,38.89,1.75,0.27
Faisal Khan,RCB,1,8,88.89,8.0,0.25
S Lamichhane,DC,2,7,233.33,inf,0.25
Ravi Bishnoi,GT,3,7,87.5,7.0,0.25
M Hemanth Reddy,PBKS,1,6,120.0,inf,0.24
Avesh Khan,GT,1,6,120.0,6.0,0.22
SH Johnson,GT,1,6,200.0,inf,0.22
Washington Sundar,PBKS,1,5,71.43,inf,0.2
Harsh Tyagi,SRH,2,5,50.0,5.0,0.2
Shadab Khan,SRH,4,5,35.71,2.5,0.2
Prashant Veer,DC,1,5,166.67,inf,0.18
H Ssenyondo,LSG,4,5,31.25,1.67,0.17
Kuldeep Yadav,SRH,2,4,33.33,2.0,0.16
A Zampa,SRH,4,4,57.14,1.0,0.16
CV Varun,PBKS,3,4,50.0,2.0,0.16
RE van der Merwe,GT,1,4,200.0,4.0,0.14
Mohammed Shami,LSG,1,4,133.33,inf,0.14
Kaleem Sana,RCB,1,4,33.33,4.0,0.13
Khrievitso Kense,RCB,2,4,40.0,4.0,0.13
Tanay Thyagarajan,RCB,1,4,80.0,4.0,0.13
RA Bawa,SRH,1,3,42.86,3.0,0.12
JA Duffy,GT,1,3,150.0,3.0,0.11
T Natarajan,CSK,2,3,50.0,inf,0.11
Aman Rao,DC,1,3,150.0,3.0,0.11
Tripuresh Singh,RCB,2,3,37.5,3.0,0.09
AR Patel,CSK,1,2,100.0,inf,0.08
Ramandeep Singh,LSG,1,2,100.0,inf,0.07
DS Rathi,KKR,2,2,50.0,1.0,0.07
D Wiese,GT,2,2,40.0,1.0,0.07
VG Arora,KKR,1,1,33.33,inf,0.04
SL Malinga,PBKS,3,1,11.11,1.0,0.04
Sonu Yadav,PBKS,1,1,25.0,1.0,0.04
KA Maharaj,SRH,2,1,25.0,0.5,0.04
NT Ellis,SRH,5,1,3.45,0.25,0.04
Swapnil Singh,CSK,1,1,50.0,1.0,0.04
Shashwat Rawat,PBKS,1,1,50.0,1.0,0.04
MR Adair,RR,1,1,100.0,inf,0.04
T Banton,MI,1,1,50.0,1.0,0.03
Arshdeep Singh,LSG,2,1,25.0,inf,0.03
Harsh Dubey,RCB,2,1,16.67,0.5,0.03
Ravi Teja,RCB,2,1,16.67,1.0,0.03
Noor Ahmad,MI,2,1,50.0,1.0,0.03
