bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,wides,noballs,economy,strike_rate,bpb,dot_%,points,best_performance,3w-4w-5w hauls
Shakib Al Hasan,PBKS,10,345,222,11,30,18,77,4,0,9.32,20.18,4.62,34.68,200.41,4-29 (24),1-1-0
Ravi Bishnoi,LSG,12,451,288,11,55,10,103,12,0,9.4,26.18,4.43,35.76,192.09,2-22 (24),0-0-0
Suyash Sharma,KKR,9,343,210,11,35,15,66,2,0,9.8,19.09,4.2,31.43,197.5,3-31 (18),1-0-0
GJ Maxwell,RR,17,497,300,11,41,21,69,3,0,9.94,27.27,4.84,23.0,183.15,2-32 (24),0-0-0
Yash Thakur,CSK,12,405,243,11,43,16,70,5,0,10.0,22.09,4.12,28.81,189.27,3-11 (15),1-0-0
LS Livingstone,RCB,11,311,186,11,33,12,56,1,0,10.03,16.91,4.13,30.11,201.5,3-13 (12),1-0-0
Z Khan,KKR,7,211,152,10,23,7,55,3,0,8.33,15.2,5.07,36.18,207.71,2-18 (14),0-0-0
DS Rathi,KKR,10,351,216,10,32,15,59,3,0,9.75,21.6,4.6,27.31,182.29,2-41 (18),0-0-0
LI Meriwala,DC,6,235,144,10,28,4,39,6,0,9.79,14.4,4.5,27.08,199.68,3-33 (24),1-0-0
R Sai Kishore,MI,8,320,192,10,31,9,50,4,1,10.0,19.2,4.8,26.04,188.42,2-36 (24),0-0-0
MJ Owen,DC,14,297,151,10,23,18,31,3,0,11.8,15.1,3.68,20.53,182.56,2-13 (6),0-0-0
Akash Vasisht,DC,9,281,204,9,18,8,51,7,1,8.26,22.67,7.85,25.0,192.41,4-26 (24),1-1-0
SZ Mulani,LSG,10,270,186,9,14,11,41,7,1,8.71,20.67,7.44,22.04,189.59,3-13 (12),1-0-0
TA Boult,MI,11,403,264,9,53,10,99,5,0,9.16,29.33,4.19,37.5,165.66,2-34 (24),0-0-0
C Sakariya,SRH,6,225,144,9,15,11,35,2,0,9.38,16.0,5.54,24.31,187.45,3-43 (24),1-0-0
DS Airee,RCB,8,275,162,9,22,12,40,8,1,10.19,18.0,4.76,24.69,177.21,2-30 (18),0-0-0
Arshad Khan,RR,15,439,246,9,45,15,65,11,0,10.71,27.33,4.1,26.42,157.73,2-19 (18),0-0-0
Washington Sundar,PBKS,13,330,234,8,23,10,61,7,0,8.46,29.25,7.09,26.07,169.26,1-10 (12),0-0-0
Imran Tahir,CSK,4,150,96,8,8,11,35,1,0,9.38,12.0,5.05,36.46,191.95,4-47 (24),1-1-0
HH Pandya,MI,12,433,252,8,40,19,66,8,0,10.31,31.5,4.27,26.19,143.14,2-10 (18),0-0-0
Swapnil Singh,GT,6,256,144,8,20,13,34,6,0,10.67,18.0,4.36,23.61,161.62,2-38 (24),0-0-0
Rasikh Salam,GT,10,410,227,8,32,18,48,5,0,10.84,28.38,4.54,21.15,145.23,3-46 (24),1-0-0
Sikandar Raza,MI,7,260,132,8,23,13,24,2,0,11.82,16.5,3.67,18.18,155.77,4-51 (24),2-1-0
CV Varun,PBKS,11,346,240,7,25,12,56,4,0,8.65,34.29,6.49,23.33,147.84,4-19 (18),1-1-0
Shahbaz Ahmed,GT,6,212,126,7,14,11,30,2,0,10.1,18.0,5.04,23.81,155.66,3-29 (24),1-0-0
DAJ Bracewell,RCB,6,260,144,7,26,12,37,4,0,10.83,20.57,3.79,25.69,142.9,3-41 (24),1-0-0
AD Russell,DC,10,259,117,7,20,17,22,3,0,13.28,16.71,3.16,18.8,138.53,2-16 (12),0-0-0
PJ Cummins,RR,6,188,144,6,17,6,46,0,1,7.83,24.0,6.26,31.94,151.82,2-24 (24),0-0-0
Abdul Samad,LSG,12,134,102,6,9,4,28,1,0,7.88,17.0,7.85,27.45,168.57,1-1 (6),0-0-0
Nithish Kumar Reddy,SRH,10,228,162,6,17,4,30,4,0,8.44,27.0,7.71,18.52,148.78,2-33 (24),0-0-0
Mohammed Shami,GT,7,246,168,6,24,7,50,3,0,8.79,28.0,5.42,29.76,139.69,2-26 (24),0-0-0
A Sheth,DC,7,254,168,6,19,11,46,7,0,9.07,28.0,5.6,27.38,138.06,3-21 (24),1-0-0
M Siddharth,CSK,9,332,216,6,21,16,58,2,1,9.22,36.0,5.84,26.85,131.79,3-28 (24),1-0-0
DJ Bravo,RCB,5,189,114,6,14,7,20,4,0,9.95,19.0,5.43,17.54,142.04,3-42 (24),1-0-0
M Prasidh Krishna,DC,10,397,234,6,36,13,50,4,1,10.18,39.0,4.78,21.37,118.87,1-30 (18),0-0-0
RA Jadeja,RCB,16,377,222,6,30,14,38,6,0,10.19,37.0,5.05,17.12,119.35,1-7 (12),0-0-0
Mayank Dagar,RR,5,213,107,6,15,14,24,2,0,11.94,17.83,3.69,22.43,132.58,3-28 (14),1-0-0
Baltej Singh,PBKS,4,111,78,5,14,3,29,0,0,8.54,15.6,4.59,37.18,146.52,2-28 (12),0-0-0
R Tewatia,KKR,6,145,96,5,14,5,23,1,0,9.06,19.2,5.05,23.96,133.21,1-8 (6),0-0-0
D Wiese,GT,8,288,184,5,25,11,51,1,0,9.39,36.8,5.11,27.72,117.17,2-26 (24),0-0-0
MA Wood,PBKS,6,198,126,5,7,10,28,4,0,9.43,25.2,7.41,22.22,136.58,2-33 (18),0-0-0
Jagjit Singh,SRH,5,164,104,5,21,6,40,3,0,9.46,20.8,3.85,38.46,131.19,2-47 (18),0-0-0
Bilal Zalmai,MI,9,341,215,5,29,9,46,3,0,9.52,43.0,5.66,21.4,114.02,2-36 (24),0-0-0
CH Morris,DC,9,358,210,5,36,12,51,4,0,10.23,42.0,4.38,24.29,105.65,2-39 (24),0-0-0
Utkarsh Singh,PBKS,6,98,84,4,5,3,23,3,0,7.0,21.0,10.5,27.38,154.27,2-11 (12),0-0-0
M Markande,SRH,4,116,90,4,12,2,30,1,0,7.73,22.5,6.43,33.33,133.31,2-21 (18),0-0-0
KC Cariappa,MI,2,70,48,4,8,2,15,0,0,8.75,12.0,4.8,31.25,142.85,3-30 (24),1-0-0
Shivank Vashisth,RCB,3,98,66,4,8,4,21,2,0,8.91,16.5,5.5,31.82,134.12,2-19 (18),0-0-0
KH Pandya,SRH,4,141,90,4,15,3,23,3,0,9.4,22.5,5.0,25.56,117.95,2-43 (24),0-0-0
HV Patel,RR,7,270,168,4,19,12,43,2,0,9.64,42.0,5.42,25.6,103.99,2-42 (24),0-0-0
RA Bawa,SRH,6,129,78,4,10,6,17,3,1,9.92,19.5,4.88,21.79,117.7,2-16 (12),0-0-0
V Nigam,MI,6,150,90,4,12,6,17,2,0,10.0,22.5,5.0,18.89,112.56,2-16 (12),0-0-0
JR Hazlewood,RR,4,165,96,4,17,9,37,1,0,10.31,24.0,3.69,38.54,113.36,2-41 (24),0-0-0
SA Abbott,DC,5,209,120,4,26,4,26,4,0,10.45,30.0,4.0,21.67,100.74,2-38 (24),0-0-0
Abid Mushtaq,DC,6,251,144,4,28,11,51,1,0,10.46,36.0,3.69,35.42,100.65,2-48 (24),0-0-0
Rashid Khan,GT,9,392,216,4,36,19,51,4,0,10.89,54.0,3.93,23.61,83.76,1-35 (24),0-0-0
Chirag Jani,PBKS,5,56,55,3,6,0,24,0,0,6.11,18.33,9.17,43.64,151.68,2-2 (7),0-0-0
Ramandeep Singh,LSG,6,131,102,3,5,3,24,4,0,7.71,34.0,12.75,23.53,140.29,2-6 (6),0-0-0
Yudhvir Singh,RCB,5,133,96,3,15,3,32,3,0,8.31,32.0,5.33,33.33,106.56,1-20 (18),0-0-0
Abhishek Sharma,MI,6,126,90,3,10,4,24,2,0,8.4,30.0,6.43,26.67,109.72,1-1 (6),0-0-0
Atharva Ankolekar,MI,3,101,69,3,9,4,19,1,0,8.78,23.0,5.31,27.54,109.45,2-32 (24),0-0-0
HR Shokeen,RR,4,106,72,3,10,2,16,4,0,8.83,24.0,6.0,22.22,109.49,2-18 (18),0-0-0
Harshit Rana,KKR,2,64,42,3,7,3,17,2,0,9.14,14.0,4.2,40.48,126.19,2-37 (24),0-0-0
Ashutosh Sharma,RCB,5,133,84,3,10,7,27,1,0,9.5,28.0,4.94,32.14,103.87,2-31 (18),0-0-0
MR Marsh,SRH,4,87,54,3,7,5,16,2,0,9.67,18.0,4.5,29.63,111.65,1-9 (12),0-0-0
S Dube,RR,7,147,84,3,15,6,22,0,0,10.5,28.0,4.0,26.19,93.84,1-25 (12),0-0-0
MJ Santner,KKR,3,89,50,3,7,4,13,1,0,10.68,16.67,4.55,26.0,111.46,2-37 (20),0-0-0
Sami Sohail,MI,5,211,117,3,17,10,26,5,0,10.82,39.0,4.33,22.22,85.29,1-37 (21),0-0-0
Mukesh Kumar,MI,4,185,90,3,11,12,14,3,0,12.33,30.0,3.91,15.56,82.41,1-45 (18),0-0-0
PWH de Silva,PBKS,3,67,48,2,6,1,11,1,0,8.38,24.0,6.86,22.92,103.82,1-23 (18),0-0-0
KR Sen,LSG,5,160,102,2,20,4,31,1,0,9.41,51.0,4.25,30.39,77.91,1-33 (24),0-0-0
SS Ghosh,MI,3,96,56,2,7,7,20,2,0,10.29,28.0,4.0,35.71,88.75,2-16 (12),0-0-0
Yuvraj Singh,RCB,5,196,114,2,19,9,33,0,0,10.32,57.0,4.07,28.95,71.93,1-17 (24),0-0-0
CH Gayle,CSK,1,21,12,2,1,1,3,0,0,10.5,6.0,6.0,25.0,0.0,2-21 (12),0-0-0
I Sharma,MI,1,43,24,2,4,2,5,0,0,10.75,12.0,4.0,20.83,0.0,2-43 (24),0-0-0
V Kaverappa,LSG,1,45,24,2,2,4,9,0,0,11.25,12.0,4.0,37.5,0.0,2-45 (24),0-0-0
LA Dawson,GT,2,97,48,2,3,7,4,0,0,12.12,24.0,4.8,8.33,78.83,1-39 (24),0-0-0
MW Short,DC,2,27,12,2,3,1,2,1,0,13.5,6.0,3.0,16.67,0.0,2-9 (6),0-0-0
AA Kulkarni,GT,1,9,12,1,0,0,3,0,0,4.5,12.0,inf,25.0,0.0,1-9 (12),0-0-0
Yuvraj Chaudhary,RCB,2,26,18,1,2,1,5,0,0,8.67,18.0,6.0,27.78,0.0,1-20 (12),0-0-0
RS Hangargekar,MI,2,71,48,1,3,4,12,2,0,8.88,48.0,6.86,25.0,80.73,1-27 (24),0-0-0
Bal Krishna,PBKS,3,98,66,1,8,4,13,0,0,8.91,66.0,5.5,19.7,66.62,1-22 (24),0-0-0
VG Arora,KKR,3,100,66,1,4,5,13,1,0,9.09,66.0,7.33,19.7,76.05,1-36 (24),0-0-0
R Parag,GT,7,112,72,1,6,6,13,0,0,9.33,72.0,6.0,18.06,66.5,1-25 (18),0-0-0
JG Bethell,SRH,1,16,10,1,2,0,2,0,0,9.6,10.0,5.0,20.0,0.0,1-16 (10),0-0-0
Ashutosh Aman,RCB,3,121,72,1,13,5,25,2,0,10.08,72.0,4.0,34.72,64.45,1-34 (24),0-0-0
BJ McMullen,RR,5,81,48,1,9,1,6,3,0,10.12,48.0,4.8,12.5,61.55,1-26 (18),0-0-0
Azmatullah Omarzai,SRH,4,61,36,1,8,1,7,1,0,10.17,36.0,4.0,19.44,65.39,1-12 (12),0-0-0
K Kartikeya,GT,1,31,18,1,4,1,6,1,0,10.33,18.0,3.6,33.33,0.0,1-31 (18),0-0-0
D Visser,RCB,3,63,36,1,5,3,6,0,0,10.5,36.0,4.5,16.67,65.66,1-26 (18),0-0-0
Harpreet Brar,PBKS,2,42,24,1,4,1,2,0,0,10.5,24.0,4.8,8.33,0.0,1-32 (18),0-0-0
DJ Hooda,LSG,1,11,6,1,0,1,2,0,0,11.0,6.0,6.0,33.33,0.0,1-11 (6),0-0-0
MP Stoinis,GT,2,66,36,1,6,1,5,0,0,11.0,36.0,5.14,13.89,67.51,1-40 (18),0-0-0
Akash Madhwal,CSK,2,74,40,1,6,5,14,1,0,11.1,40.0,3.64,35.0,69.21,1-34 (24),0-0-0
Mohammed Siraj,LSG,2,97,48,1,11,3,6,2,0,12.12,48.0,3.43,12.5,51.57,1-55 (24),0-0-0
KA Pollard,CSK,1,51,24,1,3,4,4,0,0,12.75,24.0,3.43,16.67,0.0,1-51 (24),0-0-0
AJ Tye,LSG,1,54,24,1,3,5,6,1,0,13.5,24.0,3.0,25.0,0.0,1-54 (24),0-0-0
Sandeep Sharma,RR,2,105,46,1,3,10,8,1,0,13.7,46.0,3.54,17.39,53.05,1-39 (22),0-0-0
T Stubbs,CSK,2,83,36,1,4,8,9,0,0,13.83,36.0,3.0,25.0,58.62,1-62 (24),0-0-0
Atharva Taide,MI,1,6,6,0,0,0,2,0,0,6.0,inf,inf,33.33,0.0,0-6 (6),0-0-0
SS Agarwal,DC,2,47,42,0,6,1,20,0,0,6.71,inf,6.0,47.62,71.48,0-14 (18),0-0-0
BA Stokes,LSG,2,60,42,0,4,2,11,2,0,8.57,inf,7.0,26.19,60.38,0-23 (18),0-0-0
Simarjeet Singh,KKR,1,37,24,0,2,1,3,2,0,9.25,inf,8.0,12.5,0.0,0-37 (24),0-0-0
KK Ahmed,MI,2,81,48,0,9,2,9,2,0,10.12,inf,4.36,18.75,39.68,0-34 (24),0-0-0
D Potgieter,DC,3,131,72,0,15,4,18,1,0,10.92,inf,3.79,25.0,37.36,0-26 (24),0-0-0
GD Phillips,GT,6,159,84,0,18,7,19,1,0,11.36,inf,3.36,22.62,31.17,0-14 (6),0-0-0
BJ Dwarshuis,RCB,1,35,18,0,3,1,0,0,0,11.67,inf,4.5,0.0,0.0,0-35 (18),0-0-0
A Kamboj,GT,1,24,12,0,4,0,1,1,0,12.0,inf,3.0,8.33,0.0,0-24 (12),0-0-0
Pankaj Jaswal,RCB,1,36,18,0,3,2,6,1,0,12.0,inf,3.6,33.33,0.0,0-36 (18),0-0-0
Mustafizur Rahman,MI,1,49,24,0,7,1,5,0,0,12.25,inf,3.0,20.83,0.0,0-49 (24),0-0-0
Jay Gohil,LSG,2,39,18,0,3,2,1,0,0,13.0,inf,3.6,5.56,0.0,0-14 (6),0-0-0
TU Deshpande,DC,1,52,24,0,7,2,6,2,0,13.0,inf,2.67,25.0,0.0,0-52 (24),0-0-0
AM Rahane,MI,1,14,6,0,1,1,1,0,0,14.0,inf,3.0,16.67,0.0,0-14 (6),0-0-0
WL Madsen,MI,1,14,6,0,1,1,2,1,0,14.0,inf,3.0,33.33,0.0,0-14 (6),0-0-0
AU Rashid,LSG,1,59,24,0,8,3,4,0,0,14.75,inf,2.18,16.67,0.0,0-59 (24),0-0-0
JD Unadkat,GT,1,59,24,0,8,2,0,0,0,14.75,inf,2.4,0.0,0.0,0-59 (24),0-0-0
N Rana,PBKS,1,15,6,0,0,2,2,1,0,15.0,inf,3.0,33.33,0.0,0-15 (6),0-0-0
RG Sharma,KKR,2,50,18,0,5,2,2,2,1,16.67,inf,2.57,11.11,0.0,0-17 (6),0-0-0
Tilak Varma,CSK,1,34,12,0,3,3,3,0,0,17.0,inf,2.0,25.0,0.0,0-34 (12),0-0-0
Naman Dhir,GT,1,18,6,0,0,2,0,0,0,18.0,inf,3.0,0.0,0.0,0-18 (6),0-0-0
