Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report,Match_Rating
2025-09-01,24,RR,PBKS,RR,BJ McMullen (RR) -> 81 off 51,BJ McMullen (RR) -> 81 off 51,Harsh Dubey (RR) -> 2-29 (3.0),RR 196-3 (20.0) beat PBKS 170-7 (20.0) by 26 runs!,2.3/10
2025-09-02,25,MI,KKR,MI,Sikandar Raza (MI) -> 3-28 (4.0),C Green (KKR) -> 43* off 26,Sikandar Raza (MI) -> 3-28 (4.0),MI 165-5 (17.2) beat KKR 163-7 (20.0) by 5 wickets!,5.5/10
2025-09-02,26,RCB,SRH,SRH,Nithish Kumar Reddy (SRH) -> 64* off 33 ; 2-36 (4.0),P Simran Singh (SRH) -> 72* off 46,Naveen-ul-Haq (SRH) -> 3-38 (4.0),SRH 193-4 (20.0) beat RCB 148-10 (18.2) by 45 runs!,3.5/10
2025-09-03,27,CSK,DC,DC,V Kohli (DC) -> 75 off 45,V Kohli (DC) -> 75 off 45,A Sheth (DC) -> 3-21 (4.0),DC 153-4 (16.4) beat CSK 151-9 (20.0) by 6 wickets!,5.5/10
2025-09-03,28,PBKS,LSG,LSG,Arshdeep Singh (LSG) -> 12* off 6 ; 4-33 (3.0),Sameer Rizvi (LSG) -> 64 off 38,Shakib Al Hasan (PBKS) -> 4-29 (4.0),LSG 144-10 (19.4) beat PBKS 95-10 (12.4) by 49 runs!,3.4/10
2025-09-04,29,GT,RCB,RCB,YS Chahal (RCB) -> 12 off 9 ; 5-33 (4.0),JP Inglis (GT) -> 68 off 42,YS Chahal (RCB) -> 5-33 (4.0),RCB 204-9 (19.4) beat GT 200-8 (20.0) by 1 wicket!,8.1/10
2025-09-04,30,RR,KKR,RR,Aniket Verma (RR) -> 109* off 57,Aniket Verma (RR) -> 109* off 57,Harsh Dubey (RR) -> 2-33 (4.0),RR 211-4 (20.0) beat KKR 180-6 (20.0) by 31 runs!,3.4/10
2025-09-05,31,DC,MI,DC,AK Markram (DC) -> 27 off 14 ; 3-26 (4.0),Abhishek Sharma (MI) -> 69 off 37,AK Markram (DC) -> 3-26 (4.0),DC 194-6 (18.5) beat MI 192-6 (20.0) by 4 wickets!,7.1/10
2025-09-05,32,CSK,PBKS,PBKS,CH Gayle (CSK) -> 75 off 44,CH Gayle (CSK) -> 75 off 44,M Siddharth (CSK) -> 3-28 (4.0),PBKS 187-8 (20.0) beat CSK 182-7 (20.0) by 5 runs!,9.9/10
2025-09-06,33,GT,LSG,GT,Shubman Gill (LSG) -> 130* off 69,Shubman Gill (LSG) -> 130* off 69,JC Archer (LSG) -> 3-52 (4.0),GT 215-5 (20.0) beat LSG 214-0 (20.0) by 1 run!,8.4/10
2025-09-06,34,RR,RCB,RR,PD Salt (RCB) -> 72 off 44,PD Salt (RCB) -> 72 off 44,M Pathirana (RCB) -> 2-40 (3.4),RR 222-6 (19.4) beat RCB 218-4 (20.0) by 4 wickets!,8.2/10
2025-09-07,35,KKR,CSK,CSK,CH Gayle (CSK) -> 77 off 51,CH Gayle (CSK) -> 77 off 51,T Natarajan (CSK) -> 2-23 (4.0),CSK 189-4 (20.0) beat KKR 183-6 (20.0) by 6 runs!,8.0/10
2025-09-07,36,SRH,MI,MI,VR Iyer (SRH) -> 77* off 58,VR Iyer (SRH) -> 77* off 58,Naveen-ul-Haq (SRH) -> 3-37 (4.0),MI 197-8 (20.0) beat SRH 191-3 (20.0) by 6 runs!,7.5/10
2025-09-07,37,RCB,GT,TIE,M Pathirana (RCB) -> 5-23 (4.0),SV Samson (GT) -> 69* off 40,M Pathirana (RCB) -> 5-23 (4.0),RCB 183-5 (20.0) tied with GT 183-9 (20.0)!,8.8/10
2025-09-07,38,PBKS,RR,PBKS,Shashank Singh (PBKS) -> 55* off 18 ; 2-16 (3.0),HS Desai (PBKS) -> 68 off 49,CV Varun (PBKS) -> 4-19 (3.0),PBKS 235-4 (20.0) beat RR 82-10 (12.0) by 153 runs!,3.6/10
2025-09-07,39,DC,LSG,LSG,WG Jacks (LSG) -> 86* off 43 ; 2-55 (4.0),WG Jacks (LSG) -> 86* off 43,Arshdeep Singh (LSG) -> 3-43 (4.0),LSG 233-4 (19.0) beat DC 229-6 (20.0) by 6 wickets!,8.2/10
2025-09-08,40,SRH,CSK,SRH,P Simran Singh (SRH) -> 80 off 45,P Simran Singh (SRH) -> 80 off 45,KA Maharaj (SRH) -> 4-53 (4.0),SRH 225-4 (20.0) beat CSK 186-5 (20.0) by 39 runs!,4.2/10
2025-09-08,41,KKR,PBKS,PBKS,RG Sharma (KKR) -> 70* off 35,RG Sharma (KKR) -> 70* off 35,Z Khan (KKR) -> 2-18 (2.2),PBKS 162-4 (17.2) beat KKR 159-8 (20.0) by 6 wickets!,5.9/10
2025-09-09,42,MI,DC,MI,V Kohli (DC) -> 94 off 55,V Kohli (DC) -> 94 off 55,AD Russell (DC) -> 2-35 (3.3),MI 215-4 (19.3) beat DC 210-4 (20.0) by 6 wickets!,7.7/10
2025-09-09,43,LSG,RR,LSG,Mohammad Nabi (LSG) -> 8* off 3 ; 4-31 (4.0),GJ Maxwell (RR) -> 65 off 42,Mohammad Nabi (LSG) -> 4-31 (4.0),LSG 178-6 (18.3) beat RR 177-7 (20.0) by 4 wickets!,6.3/10
2025-09-10,44,SRH,GT,SRH,RD Gaikwad (GT) -> 97* off 55,RD Gaikwad (GT) -> 97* off 55,KA Maharaj (SRH) -> 2-41 (4.0),SRH 234-4 (20.0) beat GT 208-6 (20.0) by 26 runs!,3.7/10
2025-09-10,45,PBKS,RCB,RCB,M Pathirana (RCB) -> 4-56 (3.4),PP Shaw (RCB) -> 71 off 54,M Pathirana (RCB) -> 4-56 (3.4),RCB 173-4 (20.0) beat PBKS 171-10 (18.4) by 2 runs!,9.4/10
2025-09-11,46,CSK,LSG,,,,,,
2025-09-11,47,DC,RR,,,,,,
2025-09-12,48,GT,PBKS,,,,,,
2025-09-12,49,RCB,MI,,,,,,
2025-09-13,50,KKR,SRH,,,,,,
2025-09-13,51,DC,CSK,,,,,,
2025-09-14,52,CSK,GT,,,,,,
2025-09-14,53,KKR,RCB,,,,,,
2025-09-14,54,RR,DC,,,,,,
2025-09-14,55,MI,LSG,,,,,,
2025-09-14,56,PBKS,SRH,,,,,,
2025-09-15,57,PBKS,MI,,,,,,
2025-09-15,58,RR,GT,,,,,,
2025-09-16,59,LSG,KKR,,,,,,
2025-09-16,60,CSK,RCB,,,,,,
2025-09-17,61,MI,RR,,,,,,
2025-09-17,62,SRH,DC,,,,,,
2025-09-18,63,KKR,LSG,,,,,,
2025-09-18,64,RCB,PBKS,,,,,,
2025-09-19,65,CSK,MI,,,,,,
2025-09-19,66,GT,RR,,,,,,
2025-09-20,67,RCB,KKR,,,,,,
2025-09-20,68,SRH,LSG,,,,,,
2025-09-21,69,GT,DC,,,,,,
2025-09-21,70,LSG,PBKS,,,,,,
2025-09-21,71,CSK,KKR,,,,,,
2025-09-21,72,SRH,RR,,,,,,
2025-09-21,73,MI,RCB,,,,,,
2025-09-22,74,RCB,CSK,,,,,,
2025-09-22,75,DC,PBKS,,,,,,
2025-09-23,76,RR,SRH,,,,,,
2025-09-23,77,MI,GT,,,,,,
2025-09-24,78,KKR,DC,,,,,,
2025-09-24,79,LSG,CSK,,,,,,
2025-09-25,80,MI,SRH,,,,,,
2025-09-25,81,KKR,GT,,,,,,
2025-09-26,82,RR,MI,,,,,,
2025-09-26,83,PBKS,DC,,,,,,
2025-09-27,84,SRH,KKR,,,,,,
2025-09-27,85,LSG,GT,,,,,,
2025-09-28,86,GT,SRH,,,,,,
2025-09-28,87,DC,KKR,,,,,,
2025-09-28,88,PBKS,CSK,,,,,,
2025-09-28,89,LSG,MI,,,,,,
2025-09-28,90,RCB,RR,,,,,,
2025-09-30,91,,,,,,,,
2025-10-01,92,,,,,,,,
2025-10-02,93,,,,,,,,
2025-10-03,94,,,,,,,,
