striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
Atharva Taide,MI,4,155,99,3,19,2,23,156.57,33.0,51.67,4.71,23.23,174.71,66 (43),3-1-0,57
Abdul Samad,LSG,12,153,120,9,10,7,46,127.5,13.33,17.0,7.06,38.33,137.0,45* (37),2-0-0,58
WL Madsen,MI,7,149,101,5,13,5,29,147.52,20.2,29.8,5.61,28.71,155.8,64 (39),1-1-0,55
AD Russell,DC,9,147,87,7,10,10,29,168.97,12.43,21.0,4.35,33.33,163.2,43* (15),2-0-0,39
HH Pandya,MI,13,138,87,8,11,5,18,158.62,10.88,17.25,5.44,20.69,155.78,30* (14),1-0-0,53
Urvil Patel,DC,5,138,88,3,14,4,23,156.82,29.33,46.0,4.89,26.14,162.12,66 (47),2-1-0,48
LS Livingstone,RCB,11,138,106,9,10,6,44,130.19,11.78,15.33,6.62,41.51,128.13,54 (39),1-1-0,47
GD Phillips,GT,10,135,75,5,9,8,19,180.0,15.0,27.0,4.41,25.33,167.39,34* (11),1-0-0,40
J Fraser-McGurk,KKR,6,135,79,6,14,7,29,170.89,13.17,22.5,3.76,36.71,157.8,40 (21),2-0-0,31
Arshad Khan,RR,10,133,73,4,8,9,15,182.19,18.25,33.25,4.29,20.55,172.55,24* (9),0-0-0,42
Anmolpreet Singh,CSK,7,129,74,4,9,7,15,174.32,18.5,32.25,4.62,20.27,165.32,54* (32),2-1-0,44
RR Rossouw,SRH,6,128,63,3,8,9,12,203.17,21.0,42.67,3.71,19.05,184.63,63* (33),1-1-0,36
RA Tripathi,KKR,9,128,98,7,15,2,40,130.61,14.0,18.29,5.76,40.82,125.24,42 (25),1-0-0,45
DP Conway,PBKS,7,127,90,6,7,5,23,141.11,15.0,21.17,7.5,25.56,137.14,42 (31),1-0-0,56
AK Markram,DC,7,126,79,6,10,8,34,159.49,13.17,21.0,4.39,43.04,141.4,30* (16),2-0-0,30
Washington Sundar,PBKS,9,119,85,7,4,8,29,140.0,12.14,17.0,7.08,34.12,127.16,30 (18),1-0-0,44
CH Morris,DC,6,114,69,4,10,5,18,165.22,17.25,28.5,4.6,26.09,148.45,25 (20),0-0-0,37
HC Brook,MI,3,110,71,2,8,5,17,154.93,35.5,55.0,5.46,23.94,149.51,80* (49),1-1-0,45
MA Agarwal,RR,6,104,54,5,8,7,19,192.59,10.8,20.8,3.6,35.19,151.97,50 (31),1-1-0,21
AR Patel,CSK,9,101,67,7,12,3,25,150.75,9.57,14.43,4.47,37.31,123.96,28* (10),0-0-0,28
JL Smith,KKR,4,89,63,4,4,6,20,141.27,15.75,22.25,6.3,31.75,115.9,45 (28),1-0-0,33
DS Airee,RCB,6,86,63,6,11,1,27,136.51,10.5,14.33,5.25,42.86,103.56,44 (26),2-0-0,28
HS Desai,PBKS,3,85,63,3,7,3,23,134.92,21.0,28.33,6.3,36.51,109.74,68 (49),1-1-0,32
Utkarsh Singh,PBKS,5,82,66,4,4,5,27,124.24,16.5,20.5,7.33,40.91,97.15,39* (17),1-0-0,31
MW Short,DC,4,80,65,4,7,1,17,123.08,16.25,20.0,8.12,26.15,102.38,35 (24),1-0-0,40
Mohammad Nabi,LSG,9,72,58,6,5,4,25,124.14,9.67,12.0,6.44,43.1,88.06,19 (13),0-0-0,24
SPD Smith,CSK,4,72,67,4,6,2,30,107.46,16.75,18.0,8.38,44.78,79.7,46 (40),1-0-0,31
JM Vince,RCB,3,68,54,3,4,3,20,125.93,18.0,22.67,7.71,37.04,92.73,61 (37),1-1-0,28
D Padikkal,KKR,4,65,47,3,6,1,12,138.3,15.67,21.67,6.71,25.53,103.62,23 (12),0-0-0,28
Yuvraj Chaudhary,RCB,4,65,53,4,8,0,21,122.64,13.25,16.25,6.62,39.62,86.23,37 (30),1-0-0,27
RR Pant,GT,4,63,34,2,6,3,9,185.29,17.0,31.5,3.78,26.47,132.99,21* (11),0-0-0,16
Tanush Kotian,CSK,10,63,36,8,5,6,19,175.0,4.5,7.88,3.27,52.78,109.12,21 (9),0-0-0,6
R Powell,KKR,3,61,34,3,3,5,12,179.41,11.33,20.33,4.25,35.29,119.71,49 (25),1-0-0,14
Akash Vasisht,DC,7,55,32,3,5,3,11,171.88,10.67,18.33,4.0,34.38,113.4,24* (13),0-0-0,13
MA Starc,KKR,6,55,50,5,7,2,29,110.0,10.0,11.0,5.56,58.0,64.44,16 (11),0-0-0,14
Gaurav Puri,CSK,4,53,28,4,4,2,5,189.29,7.0,13.25,4.67,17.86,126.64,34 (16),1-0-0,17
TA Boult,MI,5,52,21,1,3,5,6,247.62,21.0,52.0,2.62,28.57,0.0,19* (6),0-0-0,7
Ramandeep Singh,LSG,4,51,34,2,4,2,11,150.0,17.0,25.5,5.67,32.35,100.41,21* (13),0-0-0,18
DAJ Bracewell,RCB,3,50,19,2,5,4,7,263.16,9.5,25.0,2.11,36.84,0.0,43* (14),1-0-0,4
V Nigam,MI,3,50,29,2,7,2,11,172.41,14.5,25.0,3.22,37.93,113.97,20 (15),0-0-0,10
Shakib Al Hasan,PBKS,5,50,44,2,4,2,23,113.64,22.0,25.0,7.33,52.27,70.28,21* (23),0-0-0,16
LUVNITH SISODIA,LSG,2,48,31,2,2,3,12,154.84,15.5,24.0,6.2,38.71,96.01,47 (28),1-0-0,14
RA Bawa,SRH,4,46,22,3,2,3,4,209.09,7.33,15.33,4.4,18.18,0.0,39 (16),1-0-0,13
Rashid Khan,GT,5,41,32,2,4,0,13,128.12,16.0,20.5,8.0,40.62,75.44,12 (11),0-0-0,17
D Wiese,GT,5,39,18,1,3,2,2,216.67,18.0,39.0,3.6,11.11,0.0,19* (8),0-0-0,11
DJ Bravo,RCB,3,39,22,1,2,3,8,177.27,22.0,39.0,4.4,36.36,0.0,21* (13),0-0-0,10
D Potgieter,DC,2,39,25,2,1,2,7,156.0,12.5,19.5,8.33,28.0,94.2,33 (20),1-0-0,15
BA Stokes,LSG,2,38,25,2,2,3,10,152.0,12.5,19.0,5.0,40.0,89.25,35 (22),1-0-0,10
D Brevis,RR,2,37,29,1,1,1,6,127.59,29.0,37.0,14.5,20.69,88.58,28 (21),0-0-0,21
R Tewatia,KKR,7,34,27,3,3,1,9,125.93,9.0,11.33,6.75,33.33,73.12,17 (10),0-0-0,14
Ashutosh Sharma,RCB,5,34,42,5,2,0,18,80.95,8.4,6.8,21.0,42.86,38.84,16 (16),0-0-0,24
Karan Lal,RR,6,33,25,5,0,3,11,132.0,5.0,6.6,8.33,44.0,66.1,16 (9),0-0-0,12
Suryansh Shedge,CSK,6,33,39,6,3,0,20,84.62,6.5,5.5,13.0,51.28,35.89,8 (10),0-0-0,16
R Shepherd,GT,2,28,13,2,2,3,6,215.38,6.5,14.0,2.6,46.15,0.0,17 (9),0-0-0,2
Arshdeep Singh,LSG,5,28,23,0,2,1,9,121.74,inf,inf,7.67,39.13,0.0,12* (6),0-0-0,12
MS Dhoni,KKR,2,26,17,1,2,1,6,152.94,17.0,26.0,5.67,35.29,0.0,25* (14),0-0-0,9
Sikandar Raza,MI,4,25,11,1,2,2,2,227.27,11.0,25.0,2.75,18.18,0.0,14* (4),0-0-0,5
Azmatullah Omarzai,SRH,4,24,26,4,3,0,12,92.31,6.5,6.0,8.67,46.15,40.23,14 (13),0-0-0,11
Ashutosh Aman,RCB,2,23,12,2,1,2,5,191.67,6.0,11.5,4.0,41.67,0.0,13 (7),0-0-0,4
R Sai Kishore,MI,2,22,10,1,3,1,3,220.0,10.0,22.0,2.5,30.0,0.0,17* (7),0-0-0,3
T Natarajan,CSK,4,22,14,3,3,1,9,157.14,4.67,7.33,3.5,64.29,0.0,16 (7),0-0-0,2
Z Khan,KKR,3,22,21,1,0,2,11,104.76,21.0,22.0,10.5,52.38,0.0,13 (12),0-0-0,8
Mohammad Ghazanfar,SRH,3,22,22,1,2,0,9,100.0,22.0,22.0,11.0,40.91,0.0,16* (12),0-0-0,11
Yash Thakur,CSK,4,22,26,0,3,0,15,84.62,inf,inf,8.67,57.69,38.21,13* (13),0-0-0,8
A Raghuvanshi,KKR,5,22,29,5,0,0,11,75.86,5.8,4.4,inf,37.93,29.07,15 (17),0-0-0,18
Jay Gohil,LSG,2,21,13,1,1,1,2,161.54,13.0,21.0,6.5,15.38,0.0,15* (7),0-0-0,9
MS Pepper,GT,2,20,11,2,1,2,4,181.82,5.5,10.0,3.67,36.36,0.0,20 (8),0-0-0,4
JJ Smit,PBKS,4,20,12,2,3,1,7,166.67,6.0,10.0,3.0,58.33,0.0,10* (5),0-0-0,1
RS Hangargekar,MI,2,19,7,1,2,1,1,271.43,7.0,19.0,2.33,14.29,0.0,14 (5),0-0-0,3
Harsh Dubey,RR,4,19,18,1,3,0,8,105.56,18.0,19.0,6.0,44.44,0.0,8* (3),0-0-0,7
Abid Mushtaq,DC,2,18,15,0,0,1,4,120.0,inf,inf,15.0,26.67,0.0,14* (11),0-0-0,10
D Visser,RCB,4,18,20,4,0,1,12,90.0,5.0,4.5,20.0,60.0,0.0,9 (13),0-0-0,10
PWH de Silva,PBKS,2,17,9,0,0,2,2,188.89,inf,inf,4.5,22.22,0.0,10* (7),0-0-0,5
MA Wood,PBKS,2,17,11,2,2,0,2,154.55,5.5,8.5,5.5,18.18,0.0,15 (9),0-0-0,7
Yuvraj Singh,RCB,2,17,14,2,0,1,6,121.43,7.0,8.5,14.0,42.86,0.0,10 (9),0-0-0,8
JG Bethell,SRH,1,17,19,1,2,0,10,89.47,19.0,17.0,9.5,52.63,0.0,17 (19),0-0-0,8
Bal Krishna,PBKS,2,16,14,1,1,0,4,114.29,14.0,16.0,14.0,28.57,0.0,9 (8),0-0-0,9
JR Hazlewood,RR,3,15,9,2,3,0,3,166.67,4.5,7.5,3.0,33.33,0.0,13 (6),0-0-0,3
Khrievitso Kense,RCB,4,15,15,1,1,0,5,100.0,15.0,15.0,15.0,33.33,0.0,10* (7),0-0-0,10
CV Varun,PBKS,3,15,19,1,0,1,12,78.95,19.0,15.0,19.0,63.16,0.0,8 (9),0-0-0,6
SL Malinga,PBKS,1,14,9,0,1,1,5,155.56,inf,inf,4.5,55.56,0.0,14* (9),0-0-0,2
M Siddharth,CSK,4,14,12,2,2,0,6,116.67,6.0,7.0,6.0,50.0,0.0,5* (4),0-0-0,5
Bhanu Pania,KKR,2,14,13,1,2,0,5,107.69,13.0,14.0,6.5,38.46,0.0,13* (8),0-0-0,6
A Zampa,RR,3,14,18,2,0,1,12,77.78,9.0,7.0,18.0,66.67,0.0,6 (4),0-0-0,6
Naveen-ul-Haq,SRH,2,13,9,0,2,0,3,144.44,inf,inf,4.5,33.33,0.0,12* (6),0-0-0,4
Sami Sohail,MI,3,13,10,2,1,0,2,130.0,5.0,6.5,10.0,20.0,0.0,5 (5),0-0-0,7
LG Pretorius,RR,2,13,11,2,2,0,5,118.18,5.5,6.5,5.5,45.45,0.0,8 (7),0-0-0,5
YS Chahal,RCB,3,13,12,2,1,0,6,108.33,6.0,6.5,12.0,50.0,0.0,12 (9),0-0-0,5
Yudhvir Singh,RCB,1,13,12,1,0,1,5,108.33,12.0,13.0,12.0,41.67,0.0,13 (12),0-0-0,6
TH David,RR,1,13,15,1,0,1,9,86.67,15.0,13.0,15.0,60.0,0.0,13 (15),0-0-0,6
HV Patel,RR,5,13,25,5,1,0,16,52.0,5.0,2.6,25.0,64.0,-1.15,7 (8),0-0-0,9
KD Karthik,RCB,3,12,7,2,1,1,3,171.43,3.5,6.0,3.5,42.86,0.0,12* (4),0-0-0,2
AA Kulkarni,GT,1,12,8,1,1,0,2,150.0,8.0,12.0,8.0,25.0,0.0,12 (8),0-0-0,5
Swapnil Singh,GT,3,12,8,2,1,1,4,150.0,4.0,6.0,4.0,50.0,0.0,7 (4),0-0-0,2
A Sheth,DC,3,12,11,1,1,0,5,109.09,11.0,12.0,11.0,45.45,0.0,5* (3),0-0-0,6
AV Wankhade,CSK,3,12,12,2,0,1,6,100.0,6.0,6.0,12.0,50.0,0.0,7* (3),0-0-0,5
SZ Mulani,LSG,4,12,19,2,1,0,12,63.16,9.5,6.0,19.0,63.16,0.0,8* (7),0-0-0,7
Punit Bisht,MI,1,11,4,1,1,1,1,275.0,4.0,11.0,2.0,25.0,0.0,11 (4),0-0-0,1
SB Dubey,PBKS,2,11,6,1,2,0,2,183.33,6.0,11.0,3.0,33.33,0.0,11* (4),0-0-0,2
Sanvir Singh,PBKS,1,11,6,1,2,0,2,183.33,6.0,11.0,3.0,33.33,0.0,11 (6),0-0-0,2
PJ Cummins,RR,2,10,8,2,1,1,6,125.0,4.0,5.0,4.0,75.0,0.0,10 (6),0-0-0,0
V Puthur,DC,2,10,9,1,0,1,4,111.11,9.0,10.0,9.0,44.44,0.0,9* (7),0-0-0,4
Ravi Bishnoi,LSG,6,10,16,2,0,1,11,62.5,8.0,5.0,16.0,68.75,0.0,6* (1),0-0-0,4
Shahbaz Ahmed,GT,2,9,9,2,1,0,5,100.0,4.5,4.5,9.0,55.56,0.0,5 (5),0-0-0,3
Avesh Khan,GT,4,9,13,3,0,1,9,69.23,4.33,3.0,13.0,69.23,0.0,6 (2),0-0-0,3
MP Stoinis,GT,2,8,6,2,1,0,2,133.33,3.0,4.0,6.0,33.33,0.0,6 (3),0-0-0,3
Fazalhaq Farooqi,CSK,3,8,7,1,0,0,1,114.29,7.0,8.0,inf,14.29,0.0,5* (4),0-0-0,6
Noor Ahmad,GT,3,7,6,0,0,0,1,116.67,inf,inf,inf,16.67,0.0,4* (4),0-0-0,5
M Prasidh Krishna,DC,1,7,7,1,1,0,3,100.0,7.0,7.0,7.0,42.86,0.0,7 (7),0-0-0,3
Kuldeep Yadav,SRH,2,7,14,2,0,0,7,50.0,7.0,3.5,inf,50.0,0.0,5 (9),0-0-0,7
M Pathirana,RCB,3,7,16,1,0,1,14,43.75,16.0,7.0,16.0,87.5,0.0,6* (3),0-0-0,1
AJ Tye,LSG,1,6,4,1,1,0,1,150.0,4.0,6.0,4.0,25.0,0.0,6 (4),0-0-0,2
MJ Santner,KKR,3,6,7,1,0,0,2,85.71,7.0,6.0,inf,28.57,0.0,4* (3),0-0-0,5
Harpreet Brar,PBKS,1,6,9,1,0,0,7,66.67,9.0,6.0,inf,77.78,0.0,6 (9),0-0-0,2
B Kumar,KKR,4,6,15,1,1,0,12,40.0,15.0,6.0,15.0,80.0,0.0,5* (8),0-0-0,2
M Markande,SRH,1,5,3,1,1,0,1,166.67,3.0,5.0,3.0,33.33,0.0,5 (3),0-0-0,1
A Mhatre,RR,2,5,7,2,1,0,5,71.43,3.5,2.5,7.0,71.43,0.0,5 (6),0-0-0,1
VG Arora,KKR,2,5,7,1,1,0,5,71.43,7.0,5.0,7.0,71.43,0.0,5* (6),0-0-0,1
DS Rathi,KKR,2,5,8,1,0,0,3,62.5,8.0,5.0,inf,37.5,0.0,4* (5),0-0-0,5
Rasikh Salam,GT,1,4,1,0,1,0,1,400.0,inf,inf,1.0,100.0,0.0,4* (1),0-0-0,0
N Jagadeesan,MI,1,4,2,1,1,0,1,200.0,2.0,4.0,2.0,50.0,0.0,4 (2),0-0-0,0
KA Maharaj,SRH,1,4,3,0,1,0,2,133.33,inf,inf,3.0,66.67,0.0,4* (3),0-0-0,0
KK Ahmed,MI,1,4,5,0,0,0,2,80.0,inf,inf,inf,40.0,0.0,4* (5),0-0-0,3
Mukesh Kumar,MI,1,3,1,0,0,0,0,300.0,inf,inf,inf,0.0,0.0,3* (1),0-0-0,1
JC Archer,LSG,2,3,3,2,0,0,2,100.0,1.5,1.5,inf,66.67,0.0,3 (2),0-0-0,1
Suyash Sharma,KKR,1,3,6,0,0,0,3,50.0,inf,inf,inf,50.0,0.0,3* (6),0-0-0,3
Jagjit Singh,SRH,1,3,7,1,0,0,5,42.86,7.0,3.0,inf,71.43,0.0,3 (7),0-0-0,2
KH Pandya,SRH,1,2,3,1,0,0,1,66.67,3.0,2.0,inf,33.33,0.0,2 (3),0-0-0,2
LI Meriwala,DC,2,2,3,0,0,0,1,66.67,inf,inf,inf,33.33,0.0,1* (1),0-0-0,2
NT Ellis,SRH,3,2,16,3,0,0,14,12.5,5.33,0.67,inf,87.5,0.0,1 (3),0-0-0,2
Ashwani Kumar,RR,2,1,2,1,0,0,1,50.0,2.0,1.0,inf,50.0,0.0,1* (1),0-0-0,1
MP Yadav,PBKS,1,1,2,0,0,0,1,50.0,inf,inf,inf,50.0,0.0,1* (2),0-0-0,1
Kartik Sharma,SRH,1,1,3,1,0,0,2,33.33,3.0,1.0,inf,66.67,0.0,1 (3),0-0-0,1
Mohammed Siraj,LSG,1,1,5,1,0,0,4,20.0,5.0,1.0,inf,80.0,0.0,1 (5),0-0-0,1
C Sakariya,SRH,2,1,8,2,0,0,7,12.5,4.0,0.5,inf,87.5,0.0,1 (7),0-0-0,1
AU Rashid,LSG,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Imran Tahir,CSK,1,0,2,1,0,0,2,0.0,2.0,0.0,inf,100.0,0.0,0 (2),0-0-0,0
JJ Bumrah,MI,2,0,2,2,0,0,2,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
KR Sen,LSG,1,0,3,1,0,0,3,0.0,3.0,0.0,inf,100.0,0.0,0 (3),0-0-0,0
M Shahrukh Khan,GT,1,0,3,1,0,0,3,0.0,3.0,0.0,inf,100.0,0.0,0 (3),0-0-0,0
Mayank Dagar,RR,1,0,2,0,0,0,2,0.0,inf,,inf,100.0,0.0,0* (2),0-0-0,0
S Lamichhane,DC,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
Vishnu Vinod,PBKS,1,0,1,1,0,0,1,0.0,1.0,0.0,inf,100.0,0.0,0 (1),0-0-0,0
