partners,batting_team,runs,balls,outs,fours,sixes,SR,Bat_avg,bpb
KL Rahul  - PHKD Mendis,SRH,167,104,5,17,7,160.58,33.4,4.33
N Wadhera  - RG Sharma,KKR,164,116,4,15,7,141.38,41.0,5.27
Aniket Verma  - S Dube,RR,158,95,4,11,9,166.32,39.5,4.75
DS Airee  - JM Sharma,RCB,157,90,5,16,8,174.44,31.4,3.75
JC Buttler  - SS Iyer,LSG,156,93,9,9,10,167.74,17.33,4.89
B Sai Sudharsan  - H Klaasen,CSK,156,87,4,19,4,179.31,39.0,3.78
JC Buttler  - Shubman Gill,LSG,155,92,4,13,4,168.48,38.75,5.41
Mohammad Nabi  - Sameer Rizvi,LSG,155,82,4,13,10,189.02,38.75,3.57
Abishek Porel  - V Kohli,DC,154,91,3,12,8,169.23,51.33,4.55
SS Iyer  - Shubman Gill,LSG,145,79,4,13,8,183.54,36.25,3.76
MJ Owen  - SA Yadav,DC,142,86,6,11,4,165.12,23.67,5.73
N Rana  - V Suryavanshi,PBKS,141,90,4,12,8,156.67,35.25,4.5
GD Phillips  - Naman Dhir,GT,140,82,5,6,8,170.73,28.0,5.86
C Green  - Q de Kock,KKR,131,94,3,12,2,139.36,43.67,6.71
HS Desai  - V Suryavanshi,PBKS,130,78,2,12,5,166.67,65.0,4.59
BM Duckett  - Smaran Ravichandran,PBKS,129,83,3,12,3,155.42,43.0,5.53
RA Tripathi  - SP Narine,KKR,128,109,4,14,1,117.43,32.0,7.27
HC Brook  - TM Head,MI,128,79,1,12,4,162.03,128.0,4.94
GD Phillips  - R Parag,GT,128,81,3,9,5,158.02,42.67,5.79
C Green  - RM Patidar,KKR,126,68,5,9,7,185.29,25.2,4.25
Abhishek Sharma  - Atharva Taide,MI,125,64,1,11,5,195.31,125.0,4.0
CH Gayle  - KA Pollard,CSK,122,68,3,8,7,179.41,40.67,4.53
AB de Villiers  - GJ Maxwell,RR,120,83,7,9,7,144.58,17.14,5.19
BM Duckett  - V Suryavanshi,PBKS,119,85,4,12,5,140.0,29.75,5.0
JM Sharma  - PP Shaw,RCB,118,68,3,7,5,173.53,39.33,5.67
S Dube  - YBK Jaiswal,RR,117,76,5,6,5,153.95,23.4,6.91
MR Marsh  - P Simran Singh,SRH,116,58,4,15,4,200.0,29.0,3.05
Urvil Patel  - V Kohli,DC,116,76,1,8,4,152.63,116.0,6.33
D Wiese  - GD Phillips,GT,115,48,2,8,9,239.58,57.5,2.82
Bilal Zalmai  - RK Singh,MI,114,68,1,8,5,167.65,114.0,5.23
MJ Owen  - V Kohli,DC,113,59,4,9,5,191.53,28.25,4.21
Ishan Kishan  - N Pooran,MI,112,69,4,7,5,162.32,28.0,5.75
Ishaan Gadekar  - LS Livingstone,RCB,111,71,1,6,6,156.34,111.0,5.92
CH Morris  - N Sindhu,DC,111,53,3,7,8,209.43,37.0,3.53
Abishek Porel  - SA Yadav,DC,111,65,4,11,3,170.77,27.75,4.64
Bilal Zalmai  - Ishan Kishan,MI,110,61,3,9,6,180.33,36.67,4.07
Dhruv Jurel  - RA Jadeja,RCB,107,49,3,7,8,218.37,35.67,3.27
JL Smith  - RM Patidar,KKR,106,82,2,6,4,129.27,53.0,8.2
AB de Villiers  - Aniket Verma,RR,105,46,2,5,7,228.26,52.5,3.83
B Sai Sudharsan  - SPD Smith,CSK,104,81,4,9,2,128.4,26.0,7.36
MW Short  - SA Yadav,DC,102,67,3,11,3,152.24,34.0,4.79
Arshad Khan  - YBK Jaiswal,RR,102,32,1,8,9,318.75,102.0,1.88
N Wadhera  - RM Patidar,KKR,100,56,3,8,4,178.57,33.33,4.67
Sameer Rizvi  - WG Jacks,LSG,99,64,2,4,6,154.69,49.5,6.4
DP Conway  - FH Allen,PBKS,99,62,1,3,5,159.68,99.0,7.75
AD Russell  - MJ Owen,DC,99,58,1,5,6,170.69,99.0,5.27
PD Salt  - Yuvraj Chaudhary,RCB,99,66,3,10,3,150.0,33.0,5.08
KL Rahul  - Priyansh Arya,SRH,98,58,4,9,6,168.97,24.5,3.87
Nithish Kumar Reddy  - RR Rossouw,SRH,98,63,3,5,5,155.56,32.67,6.3
MJ Owen  - MW Short,DC,98,64,2,9,3,153.12,49.0,5.33
PD Salt  - PP Shaw,RCB,97,81,5,10,2,119.75,19.4,6.75
KA Pollard  - T Stubbs,CSK,96,40,1,8,7,240.0,96.0,2.67
C Green  - N Wadhera,KKR,96,69,6,6,4,139.13,16.0,6.9
MJ Owen  - N Sindhu,DC,94,52,6,10,5,180.77,15.67,3.47
JM Sharma  - JM Vince,RCB,94,54,1,6,4,174.07,94.0,5.4
C Green  - SP Narine,KKR,93,60,4,9,3,155.0,23.25,5.0
FH Allen  - N Rana,PBKS,93,52,3,7,4,178.85,31.0,4.73
N Wadhera  - R Powell,KKR,93,55,2,8,5,169.09,46.5,4.23
DP Conway  - V Suryavanshi,PBKS,91,54,4,11,3,168.52,22.75,3.86
SA Yadav  - V Kohli,DC,90,53,4,6,5,169.81,22.5,4.82
Shashank Singh  - Utkarsh Singh,PBKS,88,31,0,3,9,283.87,inf,2.58
H Klaasen  - T Stubbs,CSK,86,56,2,5,3,153.57,43.0,7.0
Nithish Kumar Reddy  - VR Iyer,SRH,86,54,2,6,3,159.26,43.0,6.0
JC Buttler  - WG Jacks,LSG,86,39,3,10,3,220.51,28.67,3.0
Ramandeep Singh  - Sameer Rizvi,LSG,86,52,2,6,5,165.38,43.0,4.73
J Fraser-McGurk  - SP Narine,KKR,85,54,3,6,5,157.41,28.33,4.91
MA Agarwal  - S Dube,RR,85,53,1,6,4,160.38,85.0,5.3
N Pooran  - RK Singh,MI,82,35,2,4,8,234.29,41.0,2.92
R Parag  - RD Gaikwad,GT,77,48,2,8,1,160.42,38.5,5.33
Shakib Al Hasan  - Washington Sundar,PBKS,77,63,4,4,4,122.22,19.25,7.88
N Pooran  - WL Madsen,MI,76,28,2,6,6,271.43,38.0,2.33
AK Markram  - N Sindhu,DC,76,38,2,10,4,200.0,38.0,2.71
RG Sharma  - RM Patidar,KKR,76,37,2,8,3,205.41,38.0,3.36
Abhishek Sharma  - N Pooran,MI,76,50,4,7,1,152.0,19.0,6.25
DP Conway  - Smaran Ravichandran,PBKS,76,59,1,2,2,128.81,76.0,14.75
HH Pandya  - RK Singh,MI,75,36,2,6,5,208.33,37.5,3.27
MA Starc  - RG Sharma,KKR,75,39,2,12,2,192.31,37.5,2.79
Aniket Verma  - BJ McMullen,RR,75,43,4,8,3,174.42,18.75,3.91
AD Russell  - N Sindhu,DC,74,53,4,6,3,139.62,18.5,5.89
JM Sharma  - Rahul Singh,RCB,73,33,3,7,5,221.21,24.33,2.75
DAJ Bracewell  - JM Sharma,RCB,71,29,1,8,4,244.83,71.0,2.42
SA Yadav  - Urvil Patel,DC,70,47,4,8,2,148.94,17.5,4.7
Atharva Taide  - TM Head,MI,69,40,3,10,2,172.5,23.0,3.33
P Simran Singh  - VR Iyer,SRH,69,41,4,6,1,168.29,17.25,5.86
Abdul Samad  - SS Iyer,LSG,69,48,2,6,2,143.75,34.5,6.0
N Sindhu  - Tarang Gohel,DC,68,37,2,9,2,183.78,34.0,3.36
Anmolpreet Singh  - CH Gayle,CSK,68,41,2,3,4,165.85,34.0,5.86
Aniket Verma  - Arshad Khan,RR,67,30,1,3,6,223.33,67.0,3.33
Atharva Taide  - N Pooran,MI,67,52,2,3,0,128.85,33.5,17.33
GJ Maxwell  - YBK Jaiswal,RR,66,49,3,7,1,134.69,22.0,6.12
Chirag Jani  - Smaran Ravichandran,PBKS,66,38,2,9,1,173.68,33.0,3.8
CH Gayle  - SPD Smith,CSK,65,40,1,2,5,162.5,65.0,5.71
Chirag Jani  - N Rana,PBKS,65,38,2,5,2,171.05,32.5,5.43
Aniket Verma  - MA Agarwal,RR,63,34,3,7,3,185.29,21.0,3.4
JM Sharma  - LS Livingstone,RCB,62,40,5,5,3,155.0,12.4,5.0
AK Markram  - Tarang Gohel,DC,62,35,2,7,3,177.14,31.0,3.5
CH Morris  - SA Yadav,DC,61,34,1,7,2,179.41,61.0,3.78
Arshdeep Singh  - Sameer Rizvi,LSG,60,28,3,4,5,214.29,20.0,3.11
Anmolpreet Singh  - T Stubbs,CSK,60,34,1,3,3,176.47,60.0,5.67
AM Rahane  - Ishan Kishan,MI,60,32,1,5,1,187.5,60.0,5.33
D Padikkal  - J Fraser-McGurk,KKR,60,36,1,8,2,166.67,60.0,3.6
Anmolpreet Singh  - KA Pollard,CSK,60,24,0,6,4,250.0,inf,2.4
HC Brook  - RK Singh,MI,60,45,1,2,3,133.33,60.0,9.0
H Klaasen  - KA Pollard,CSK,60,33,1,5,5,181.82,60.0,3.3
Abhishek Sharma  - WL Madsen,MI,59,42,1,7,1,140.48,59.0,5.25
LUVNITH SISODIA  - Shubman Gill,LSG,58,44,2,4,2,131.82,29.0,7.33
KL Rahul  - MR Marsh,SRH,58,41,2,4,1,141.46,29.0,8.2
AD Russell  - SA Yadav,DC,57,27,2,5,4,211.11,28.5,3.0
AK Markram  - SA Yadav,DC,57,36,2,3,3,158.33,28.5,6.0
LS Livingstone  - Rahul Singh,RCB,57,35,1,6,4,162.86,57.0,3.5
AM Rahane  - WL Madsen,MI,57,45,3,5,1,126.67,19.0,7.5
Bilal Zalmai  - HH Pandya,MI,56,25,2,6,2,224.0,28.0,3.12
Ishaan Gadekar  - JM Sharma,RCB,56,32,2,4,2,175.0,28.0,5.33
DS Airee  - RA Jadeja,RCB,55,34,2,5,1,161.76,27.5,5.67
D Brevis  - GJ Maxwell,RR,55,34,1,1,3,161.76,55.0,8.5
B Sai Sudharsan  - KA Pollard,CSK,55,39,3,5,2,141.03,18.33,5.57
JM Sharma  - Yuvraj Chaudhary,RCB,54,37,3,3,2,145.95,18.0,7.4
Q de Kock  - RG Sharma,KKR,54,38,1,0,4,142.11,54.0,9.5
A Raghuvanshi  - C Green,KKR,51,32,1,3,2,159.38,51.0,6.4
Abdul Samad  - Mohammad Nabi,LSG,51,35,1,4,2,145.71,51.0,5.83
Akash Vasisht  - SA Yadav,DC,51,21,1,7,1,242.86,51.0,2.62
RR Rossouw  - VR Iyer,SRH,51,21,1,3,4,242.86,51.0,3.0
C Green  - RA Tripathi,KKR,49,37,3,3,3,132.43,16.33,6.17
N Wadhera  - RA Tripathi,KKR,49,29,2,3,4,168.97,24.5,4.14
MA Agarwal  - YBK Jaiswal,RR,48,21,3,4,3,228.57,16.0,3.0
J Fraser-McGurk  - Q de Kock,KKR,48,33,2,6,1,145.45,24.0,4.71
JM Sharma  - PD Salt,RCB,48,31,1,2,2,154.84,48.0,7.75
RA Tripathi  - RG Sharma,KKR,48,20,0,4,3,240.0,inf,2.86
Chirag Jani  - V Suryavanshi,PBKS,47,27,2,4,2,174.07,23.5,4.5
Ashutosh Sharma  - PP Shaw,RCB,47,31,2,6,1,151.61,23.5,4.43
C Green  - R Tewatia,KKR,43,25,1,4,2,172.0,43.0,4.17
C Green  - JL Smith,KKR,43,26,1,2,2,165.38,43.0,6.5
CH Morris  - Urvil Patel,DC,43,25,0,5,1,172.0,inf,4.17
PP Shaw  - Rahul Singh,RCB,42,25,2,5,2,168.0,21.0,3.57
JG Bethell  - KL Rahul,SRH,42,34,1,4,1,123.53,42.0,6.8
RA Jadeja  - Rahul Singh,RCB,41,21,1,2,2,195.24,41.0,5.25
CH Gayle  - T Stubbs,CSK,41,34,4,1,2,120.59,10.25,11.33
FH Allen  - Utkarsh Singh,PBKS,41,21,2,2,4,195.24,20.5,3.5
BM Duckett  - FH Allen,PBKS,41,26,2,5,0,157.69,20.5,5.2
HH Pandya  - WL Madsen,MI,40,23,1,1,3,173.91,40.0,5.75
Nithish Kumar Reddy  - PHKD Mendis,SRH,40,21,1,4,2,190.48,40.0,3.5
LS Livingstone  - PP Shaw,RCB,40,38,2,4,1,105.26,20.0,7.6
BA Stokes  - Sameer Rizvi,LSG,40,27,1,1,3,148.15,40.0,6.75
Smaran Ravichandran  - Utkarsh Singh,PBKS,39,39,2,2,1,100.0,19.5,13.0
Priyansh Arya  - VR Iyer,SRH,39,25,1,3,2,156.0,39.0,5.0
Atharva Taide  - Ishan Kishan,MI,39,26,1,4,2,150.0,39.0,4.33
R Parag  - SV Samson,GT,38,24,2,1,2,158.33,19.0,8.0
SS Iyer  - Sameer Rizvi,LSG,38,31,5,4,1,122.58,7.6,6.2
Dhruv Jurel  - Rahul Singh,RCB,37,24,2,2,2,154.17,18.5,6.0
Azmatullah Omarzai  - VR Iyer,SRH,36,34,3,4,0,105.88,12.0,8.5
AB de Villiers  - Arshad Khan,RR,36,26,1,1,1,138.46,36.0,13.0
J Fraser-McGurk  - N Wadhera,KKR,36,21,1,3,3,171.43,36.0,3.5
Abid Mushtaq  - Akash Vasisht,DC,35,25,1,2,2,140.0,35.0,6.25
DS Airee  - Rahul Singh,RCB,35,22,1,4,1,159.09,35.0,4.4
V Nigam  - WL Madsen,MI,35,23,1,3,2,152.17,35.0,4.6
Shashank Singh  - V Suryavanshi,PBKS,35,26,2,4,0,134.62,17.5,6.5
Gaurav Puri  - H Klaasen,CSK,34,24,3,2,1,141.67,11.33,8.0
AM Rahane  - TM Head,MI,34,36,5,2,1,94.44,6.8,12.0
Utkarsh Singh  - V Suryavanshi,PBKS,33,26,1,4,0,126.92,33.0,6.5
Jay Gohil  - Sameer Rizvi,LSG,33,20,2,2,1,165.0,16.5,6.67
Bilal Zalmai  - WL Madsen,MI,32,29,2,2,0,110.34,16.0,14.5
BJ McMullen  - S Dube,RR,31,23,1,4,2,134.78,31.0,3.83
KA Pollard  - Suryansh Shedge,CSK,31,27,2,2,1,114.81,15.5,9.0
Nithish Kumar Reddy  - Priyansh Arya,SRH,30,27,1,3,1,111.11,30.0,6.75
RR Pant  - SV Samson,GT,30,23,1,2,1,130.43,30.0,7.67
Ashutosh Sharma  - JM Sharma,RCB,30,24,2,2,1,125.0,15.0,8.0
AR Patel  - Suryansh Shedge,CSK,29,28,2,2,1,103.57,14.5,9.33
AR Patel  - CH Gayle,CSK,28,24,2,2,2,116.67,14.0,6.0
Smaran Ravichandran  - Washington Sundar,PBKS,28,21,1,0,2,133.33,28.0,10.5
Ashutosh Sharma  - Rahul Singh,RCB,28,22,1,3,0,127.27,28.0,7.33
MS Dhoni  - N Wadhera,KKR,28,26,2,1,1,107.69,14.0,13.0
HH Pandya  - N Pooran,MI,27,20,4,3,0,135.0,6.75,6.67
MA Wood  - Washington Sundar,PBKS,26,20,2,2,0,130.0,13.0,10.0
Chirag Jani  - Washington Sundar,PBKS,25,21,1,3,1,119.05,25.0,5.25
Arshad Khan  - Karan Lal,RR,24,22,2,0,1,109.09,12.0,22.0
D Visser  - PP Shaw,RCB,24,23,2,0,0,104.35,12.0,inf
RG Sharma  - VG Arora,KKR,24,20,1,2,1,120.0,24.0,6.67
AR Patel  - Yash Thakur,CSK,22,21,1,2,0,104.76,22.0,10.5
Ravi Bishnoi  - Sameer Rizvi,LSG,20,20,2,2,1,100.0,10.0,6.67
MA Starc  - N Wadhera,KKR,19,21,1,2,1,90.48,19.0,7.0
P Simran Singh  - PHKD Mendis,SRH,19,20,3,0,0,95.0,6.33,inf
JM Vince  - LS Livingstone,RCB,15,20,1,2,0,75.0,15.0,10.0
