striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Arshdeep Singh,LSG,4,24,75.0,12.0,0.96
SH Johnson,SRH,3,27,128.57,27.0,0.89
RR Pant,RR,5,28,107.69,9.33,0.88
PWH de Silva,DC,3,28,121.74,inf,0.88
M Jansen,GT,3,22,95.65,11.0,0.86
Rashid Khan,GT,3,22,104.76,7.33,0.86
RK Bhui,RCB,2,22,122.22,11.0,0.85
GF Linde,RR,5,27,150.0,9.0,0.85
Azmatullah Omarzai,RR,2,27,207.69,27.0,0.85
Aryan Juyal,LSG,4,21,75.0,7.0,0.84
JE Root,GT,1,19,135.71,19.0,0.74
MR Marsh,DC,5,23,76.67,7.67,0.73
J Overton,KKR,2,17,121.43,17.0,0.69
Mohammad Nabi,GT,3,17,113.33,17.0,0.66
Jagjit Singh,CSK,2,16,160.0,16.0,0.65
RA Jadeja,DC,2,17,212.5,inf,0.54
JR Hazlewood,RR,1,17,141.67,inf,0.53
T Natarajan,CSK,3,13,185.71,13.0,0.52
Noor Ahmad,KKR,1,12,171.43,12.0,0.49
HV Patel,PBKS,3,12,109.09,6.0,0.49
SK Rasheed,PBKS,1,12,171.43,12.0,0.49
M Theekshana,MI,3,13,52.0,4.33,0.47
VG Arora,KKR,2,11,137.5,11.0,0.45
JC Archer,LSG,2,11,91.67,11.0,0.44
D Ferreira,SRH,3,13,86.67,6.5,0.43
Salman Nizar,MI,2,12,66.67,12.0,0.43
JD Unadkat,RR,2,13,118.18,inf,0.41
M Siddharth,CSK,2,10,250.0,10.0,0.4
JG Bethell,SRH,1,12,200.0,inf,0.39
YS Chahal,RCB,3,10,100.0,3.33,0.39
N Wadhera,RR,2,12,133.33,6.0,0.38
Mohammed Shami,PBKS,1,9,128.57,inf,0.37
MP Yadav,CSK,1,9,112.5,inf,0.36
JJ Bumrah,MI,3,10,166.67,5.0,0.36
LH Ferguson,GT,2,9,52.94,4.5,0.35
TU Deshpande,RR,1,11,100.0,11.0,0.34
TA Boult,MI,1,9,150.0,inf,0.33
R Ahir,MI,1,9,100.0,inf,0.33
Harshit Rana,SRH,2,10,142.86,10.0,0.33
Sandeep Sharma,RR,2,10,90.91,inf,0.31
B Kumar,KKR,5,7,36.84,1.75,0.29
Rasikh Salam,GT,3,7,140.0,7.0,0.27
Mayank Dagar,RR,3,8,72.73,inf,0.25
K Rabada,MI,1,7,50.0,inf,0.25
Vaibhav Suryavanshi,PBKS,2,6,100.0,3.0,0.25
M Markande,PBKS,2,6,46.15,3.0,0.25
RD Chahar,RCB,2,6,75.0,6.0,0.23
Ravi Bishnoi,PBKS,3,5,50.0,1.67,0.21
DS Rathi,KKR,3,5,125.0,5.0,0.2
KK Ahmed,GT,3,5,62.5,1.67,0.2
Mohammed Siraj,RCB,1,5,250.0,inf,0.19
D Padikkal,KKR,1,4,200.0,4.0,0.16
V Puthur,LSG,1,4,200.0,inf,0.16
CV Varun,PBKS,3,4,36.36,4.0,0.16
A Nortje,RCB,2,4,133.33,4.0,0.15
GD Phillips,RR,2,3,27.27,1.5,0.09
Mohammad Ghazanfar,CSK,2,2,28.57,2.0,0.08
Suyash Sharma,MI,1,2,50.0,inf,0.07
Imran Tahir,MI,2,2,25.0,1.0,0.07
R Tewatia,SRH,1,2,100.0,2.0,0.07
Cheepurapalli Stephen,DC,1,2,50.0,2.0,0.06
Avesh Khan,PBKS,1,1,100.0,inf,0.04
MJ Santner,PBKS,1,1,50.0,1.0,0.04
SO Hetmyer,RCB,1,1,50.0,1.0,0.04
SZ Mulani,MI,1,1,33.33,1.0,0.04
Bhanu Pania,MI,1,1,20.0,inf,0.04
Ravi Teja,LSG,1,1,20.0,1.0,0.04
M Pathirana,RCB,2,1,16.67,0.5,0.04
YV Dhull,LSG,1,1,16.67,1.0,0.04
MA Starc,KKR,4,1,14.29,0.33,0.04
Mujeeb Ur Rahman,RCB,2,1,14.29,0.5,0.04
MM Ali,RCB,2,1,11.11,0.5,0.04
PN Mankad,SRH,1,1,33.33,1.0,0.03
