striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores,points,high_score
RR Pant,RR,5,28,26,3,0,1,9,12,2,2,107.69,8.67,9.33,26.0,34.62,0,0,0,53.83,11 (8)
Azmatullah Omarzai,RR,2,27,13,1,1,2,3,4,2,1,207.69,13.0,27.0,4.33,23.08,0,0,0,0.0,17* (10)
GF Linde,RR,5,27,18,3,4,1,9,3,1,0,150.0,6.0,9.0,3.6,50.0,0,0,0,0.0,19 (9)
Ayush Mhatre,KKR,2,27,20,2,3,1,7,9,0,0,135.0,10.0,13.5,5.0,35.0,0,0,0,0.0,17 (11)
SH Johnson,SRH,3,27,21,1,2,0,9,6,2,3,128.57,21.0,27.0,10.5,42.86,0,0,0,0.0,13* (11)
KD Karthik,CSK,4,25,38,4,3,0,24,13,0,0,65.79,9.5,6.25,12.67,63.16,0,0,0,16.95,20 (23)
SE Rutherford,LSG,1,24,16,1,1,1,3,8,3,0,150.0,16.0,24.0,8.0,18.75,0,0,0,0.0,24 (16)
Arshdeep Singh,LSG,4,24,32,2,0,1,20,9,3,1,75.0,16.0,12.0,32.0,62.5,0,0,0,22.06,10* (10)
MR Marsh,DC,5,23,30,3,2,0,14,15,0,0,76.67,10.0,7.67,15.0,46.67,0,0,0,30.67,10* (10)
RK Bhui,RCB,2,22,18,2,1,1,6,9,0,1,122.22,9.0,11.0,9.0,33.33,0,0,0,0.0,16 (16)
Rashid Khan,GT,3,22,21,3,1,1,8,10,1,0,104.76,7.0,7.33,10.5,38.1,0,0,0,0.0,15 (9)
M Jansen,GT,3,22,23,2,0,2,13,8,1,0,95.65,11.5,11.0,11.5,56.52,0,0,0,0.0,14* (16)
Aryan Juyal,LSG,4,21,28,3,0,1,18,5,2,2,75.0,9.33,7.0,28.0,64.29,0,0,0,16.38,10 (10)
JE Root,GT,1,19,14,1,0,2,6,5,1,0,135.71,14.0,19.0,7.0,42.86,0,0,0,0.0,19 (14)
RA Jadeja,DC,2,17,8,0,2,1,4,1,1,0,212.5,inf,inf,2.67,50.0,0,0,0,0.0,14* (4)
JR Hazlewood,RR,1,17,12,0,2,0,6,1,1,2,141.67,inf,inf,6.0,50.0,0,0,0,0.0,17* (12)
J Overton,KKR,2,17,14,1,0,2,7,5,0,0,121.43,14.0,17.0,7.0,50.0,0,0,0,0.0,14 (9)
Mohammad Nabi,GT,3,17,15,1,0,1,4,9,1,0,113.33,15.0,17.0,15.0,26.67,0,0,0,0.0,9 (5)
Jagjit Singh,CSK,2,16,10,1,2,0,3,3,1,1,160.0,10.0,16.0,5.0,30.0,0,0,0,0.0,12* (6)
T Natarajan,CSK,3,13,7,1,1,1,3,1,1,0,185.71,7.0,13.0,3.5,42.86,0,0,0,0.0,7* (3)
JD Unadkat,RR,2,13,11,0,2,0,4,5,0,0,118.18,inf,inf,5.5,36.36,0,0,0,0.0,8* (8)
D Ferreira,SRH,3,13,15,2,2,0,8,5,0,0,86.67,7.5,6.5,7.5,53.33,0,0,0,0.0,10* (10)
M Theekshana,MI,3,13,25,3,2,0,19,3,1,0,52.0,8.33,4.33,12.5,76.0,0,0,0,-4.44,10 (13)
JG Bethell,SRH,1,12,6,0,0,1,1,4,1,0,200.0,inf,inf,6.0,16.67,0,0,0,0.0,12* (6)
Noor Ahmad,KKR,1,12,7,1,1,1,4,2,0,0,171.43,7.0,12.0,3.5,57.14,0,0,0,0.0,12 (7)
SK Rasheed,PBKS,1,12,7,1,1,1,4,0,1,0,171.43,7.0,12.0,3.5,57.14,0,0,0,0.0,12 (7)
N Wadhera,RR,2,12,9,2,2,0,6,1,0,1,133.33,4.5,6.0,4.5,66.67,0,0,0,0.0,12 (8)
HV Patel,PBKS,3,12,11,2,1,0,3,6,1,0,109.09,5.5,6.0,11.0,27.27,0,0,0,0.0,7 (6)
Salman Nizar,MI,2,12,18,1,0,0,6,12,0,0,66.67,18.0,12.0,inf,33.33,0,0,0,0.0,7 (11)
VG Arora,KKR,2,11,8,1,0,1,3,3,1,0,137.5,8.0,11.0,8.0,37.5,0,0,0,0.0,10 (7)
TU Deshpande,RR,1,11,11,1,0,1,6,3,1,0,100.0,11.0,11.0,11.0,54.55,0,0,0,0.0,11 (11)
JC Archer,LSG,2,11,12,1,1,0,7,2,1,1,91.67,12.0,11.0,12.0,58.33,0,0,0,0.0,8 (8)
M Siddharth,CSK,2,10,4,1,2,0,1,0,1,0,250.0,4.0,10.0,2.0,25.0,0,0,0,0.0,6 (3)
JJ Bumrah,MI,3,10,6,2,0,1,2,2,1,0,166.67,3.0,5.0,6.0,33.33,0,0,0,0.0,6 (2)
Harshit Rana,SRH,2,10,7,1,0,1,2,4,0,0,142.86,7.0,10.0,7.0,28.57,0,0,0,0.0,9 (6)
YS Chahal,RCB,3,10,10,3,0,1,7,1,0,1,100.0,3.33,3.33,10.0,70.0,0,0,0,0.0,9 (4)
Sandeep Sharma,RR,2,10,11,0,1,0,5,4,1,0,90.91,inf,inf,11.0,45.45,0,0,0,0.0,8* (6)
TA Boult,MI,1,9,6,0,1,0,1,3,1,0,150.0,inf,inf,6.0,16.67,0,0,0,0.0,9* (6)
Mohammed Shami,PBKS,1,9,7,0,0,0,2,2,2,1,128.57,inf,inf,inf,28.57,0,0,0,0.0,9* (7)
MP Yadav,CSK,1,9,8,0,1,0,2,5,0,0,112.5,inf,inf,8.0,25.0,0,0,0,0.0,9* (8)
R Ahir,MI,1,9,9,0,1,0,3,5,0,0,100.0,inf,inf,9.0,33.33,0,0,0,0.0,9* (9)
LH Ferguson,GT,2,9,17,2,0,1,14,1,1,0,52.94,8.5,4.5,17.0,82.35,0,0,0,0.0,9 (15)
Mayank Dagar,RR,3,8,11,0,1,0,7,2,1,0,72.73,inf,inf,11.0,63.64,0,0,0,0.0,8* (6)
Rasikh Salam,GT,3,7,5,1,0,1,3,1,0,0,140.0,5.0,7.0,5.0,60.0,0,0,0,0.0,6 (2)
K Rabada,MI,1,7,14,0,0,0,8,7,0,0,50.0,inf,inf,inf,57.14,0,0,0,0.0,7* (14)
B Kumar,KKR,5,7,19,4,0,1,17,1,0,0,36.84,4.75,1.75,19.0,89.47,0,0,0,0.0,7* (7)
Vaibhav Suryavanshi,PBKS,2,6,6,2,1,0,5,2,0,0,100.0,3.0,3.0,6.0,83.33,0,0,0,0.0,5 (4)
RD Chahar,RCB,2,6,8,1,1,0,5,2,0,0,75.0,8.0,6.0,8.0,62.5,0,0,0,0.0,5* (3)
M Markande,PBKS,2,6,13,2,1,0,10,2,0,0,46.15,6.5,3.0,13.0,76.92,0,0,0,0.0,6 (12)
Mohammed Siraj,RCB,1,5,2,0,1,0,0,1,0,0,250.0,inf,inf,2.0,0.0,0,0,0,0.0,5* (2)
DS Rathi,KKR,3,5,4,1,0,0,1,2,0,1,125.0,4.0,5.0,inf,25.0,0,0,0,0.0,4* (2)
KK Ahmed,GT,3,5,8,3,0,0,5,1,2,0,62.5,2.67,1.67,inf,62.5,0,0,0,0.0,3 (4)
Ravi Bishnoi,PBKS,3,5,10,3,0,0,7,2,0,1,50.0,3.33,1.67,inf,70.0,0,0,0,0.0,3 (4)
D Padikkal,KKR,1,4,2,1,1,0,1,0,0,0,200.0,2.0,4.0,2.0,50.0,0,0,0,0.0,4 (2)
V Puthur,LSG,1,4,2,0,1,0,1,0,0,0,200.0,inf,inf,2.0,50.0,0,0,0,0.0,4* (2)
A Nortje,RCB,2,4,3,1,1,0,2,0,0,0,133.33,3.0,4.0,3.0,66.67,0,0,0,0.0,4* (1)
CV Varun,PBKS,3,4,11,1,0,0,8,2,1,0,36.36,11.0,4.0,inf,72.73,0,0,0,0.0,3* (7)
GD Phillips,RR,2,3,11,2,0,0,8,3,0,0,27.27,5.5,1.5,inf,72.73,0,0,0,0.0,3 (9)
R Tewatia,SRH,1,2,2,1,0,0,0,2,0,0,100.0,2.0,2.0,inf,0.0,0,0,0,0.0,2 (2)
Cheepurapalli Stephen,DC,1,2,4,1,0,0,3,0,1,0,50.0,4.0,2.0,inf,75.0,0,0,0,0.0,2 (4)
Suyash Sharma,MI,1,2,4,0,0,0,3,0,1,0,50.0,inf,inf,inf,75.0,0,0,0,0.0,2* (4)
Mohammad Ghazanfar,CSK,2,2,7,1,0,0,5,2,0,0,28.57,7.0,2.0,inf,71.43,0,0,0,0.0,2* (3)
Imran Tahir,MI,2,2,8,2,0,0,6,2,0,0,25.0,4.0,1.0,inf,75.0,0,0,0,0.0,2 (5)
Avesh Khan,PBKS,1,1,1,0,0,0,0,1,0,0,100.0,inf,inf,inf,0.0,0,0,0,0.0,1* (1)
MJ Santner,PBKS,1,1,2,1,0,0,1,1,0,0,50.0,2.0,1.0,inf,50.0,0,0,0,0.0,1 (2)
SO Hetmyer,RCB,1,1,2,1,0,0,1,1,0,0,50.0,2.0,1.0,inf,50.0,0,0,0,0.0,1 (2)
PN Mankad,SRH,1,1,3,1,0,0,2,1,0,0,33.33,3.0,1.0,inf,66.67,0,0,0,0.0,1 (3)
SZ Mulani,MI,1,1,3,1,0,0,2,1,0,0,33.33,3.0,1.0,inf,66.67,0,0,0,0.0,1 (3)
Bhanu Pania,MI,1,1,5,0,0,0,4,1,0,0,20.0,inf,inf,inf,80.0,0,0,0,0.0,1* (5)
Ravi Teja,LSG,1,1,5,1,0,0,4,1,0,0,20.0,5.0,1.0,inf,80.0,0,0,0,0.0,1 (5)
M Pathirana,RCB,2,1,6,2,0,0,5,1,0,0,16.67,3.0,0.5,inf,83.33,0,0,0,0.0,1 (2)
YV Dhull,LSG,1,1,6,1,0,0,5,1,0,0,16.67,6.0,1.0,inf,83.33,0,0,0,0.0,1 (6)
MA Starc,KKR,4,1,7,3,0,0,7,1,0,0,14.29,2.33,0.33,inf,100.0,0,0,0,0.0,1* (2)
Mujeeb Ur Rahman,RCB,2,1,7,2,0,0,6,1,0,0,14.29,3.5,0.5,inf,85.71,0,0,0,0.0,1 (6)
MM Ali,RCB,2,1,9,2,0,0,8,1,0,0,11.11,4.5,0.5,inf,88.89,0,0,0,0.0,1 (3)
A Kamboj,RR,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0,0.0,0 (2)
Akash Deep,SRH,1,0,1,0,0,0,1,0,0,0,0.0,inf,,inf,100.0,0,0,0,0.0,0* (1)
DG Nalkande,RCB,1,0,3,1,0,0,3,0,0,0,0.0,3.0,0.0,inf,100.0,0,0,0,0.0,0 (3)
M Prasidh Krishna,DC,1,0,3,1,0,0,3,0,0,0,0.0,3.0,0.0,inf,100.0,0,0,0,0.0,0 (3)
M Shahrukh Khan,KKR,2,0,3,2,0,0,3,0,0,0,0.0,1.5,0.0,inf,100.0,0,0,0,0.0,0 (2)
Mukesh Kumar,GT,2,0,2,2,0,0,2,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0,0.0,0 (1)
Mustafizur Rahman,DC,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0,0.0,0 (1)
Pardeep Yadav,MI,1,0,2,1,0,0,2,0,0,0,0.0,2.0,0.0,inf,100.0,0,0,0,0.0,0 (2)
R Sai Kishore,GT,1,0,3,1,0,0,3,0,0,0,0.0,3.0,0.0,inf,100.0,0,0,0,0.0,0 (3)
Yash Dayal,LSG,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0,0.0,0 (1)
