bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Mohammed Shami,PBKS,6,6,132,22.0,7.89
HV Patel,PBKS,6,6,137,22.83,7.89
K Rabada,MI,5,5,120,24.0,7.81
KH Pandya,SRH,9,8,216,27.0,7.77
YS Chahal,RCB,11,5,260,52.0,7.25
M Siddharth,CSK,5,5,120,24.0,7.04
SH Johnson,SRH,5,7,90,12.86,6.8
AD Russell,DC,11,5,151,30.2,6.41
SS Ghosh,MI,3,4,72,18.0,6.25
Tanush Kotian,SRH,5,6,102,17.0,5.83
Ashutosh Sharma,RCB,7,4,78,19.5,5.8
M Jansen,GT,8,5,150,30.0,5.75
GF Linde,RR,7,5,156,31.2,5.68
Ravi Bishnoi,PBKS,8,4,192,48.0,5.26
Cheepurapalli Stephen,DC,7,4,156,39.0,5.13
PWH de Silva,DC,6,4,126,31.5,5.13
Akash Deep,SRH,6,5,143,28.6,4.85
Abhishek Sharma,MI,5,3,84,28.0,4.69
Suyash Sharma,MI,13,3,294,98.0,4.69
SZ Mulani,MI,3,3,72,24.0,4.69
Naman Dhir,GT,3,4,54,13.5,4.6
V Nigam,GT,4,4,94,23.5,4.6
NT Ellis,LSG,3,4,66,16.5,4.55
BA Stokes,LSG,8,4,174,43.5,4.55
Yash Dayal,LSG,5,4,119,29.75,4.55
Mohammed Siraj,RCB,8,3,156,52.0,4.35
T Natarajan,CSK,9,3,192,64.0,4.23
Shashank Singh,PBKS,3,3,18,6.0,3.95
Naveen-ul-Haq,SRH,3,4,58,14.5,3.88
Sikandar Raza,DC,8,3,186,62.0,3.85
KK Ahmed,GT,6,3,125,41.67,3.45
Mukesh Kumar,GT,4,3,60,20.0,3.45
JD Unadkat,RR,3,3,72,24.0,3.41
PP Chawla,RR,3,3,60,20.0,3.41
WG Jacks,LSG,4,3,54,18.0,3.41
GD Phillips,RR,2,3,36,12.0,3.41
Azmatullah Omarzai,RR,6,3,114,38.0,3.41
Imran Tahir,MI,3,2,66,33.0,3.12
R Tewatia,SRH,3,3,54,18.0,2.91
C Sakariya,SRH,5,3,114,38.0,2.91
C Green,RCB,5,2,102,51.0,2.9
PJ Cummins,PBKS,5,2,102,51.0,2.63
SN Thakur,DC,2,2,42,21.0,2.56
VG Arora,KKR,5,2,120,60.0,2.56
R Parag,GT,4,2,66,33.0,2.3
LH Ferguson,GT,3,2,69,34.5,2.3
AS Roy,LSG,5,2,90,45.0,2.27
Sanvir Singh,SRH,2,2,30,15.0,1.94
RS Hangargekar,MI,1,1,24,24.0,1.56
RD Chahar,RCB,3,1,72,72.0,1.45
Umran Malik,RCB,1,1,24,24.0,1.45
KA Pollard,CSK,2,1,12,12.0,1.41
Mohammad Ghazanfar,CSK,3,1,60,60.0,1.41
MP Stoinis,PBKS,8,1,129,129.0,1.32
MJ Santner,PBKS,1,1,24,24.0,1.32
Avesh Khan,PBKS,2,1,42,42.0,1.32
Yash Thakur,PBKS,2,1,48,48.0,1.32
N Burger,PBKS,1,1,24,24.0,1.32
Noor Ahmad,KKR,2,1,48,48.0,1.28
J Overton,KKR,2,1,42,42.0,1.28
S Gopal,DC,3,1,72,72.0,1.28
DL Chahar,DC,3,1,72,72.0,1.28
Ramandeep Singh,LSG,1,1,12,12.0,1.14
TU Deshpande,RR,2,1,48,48.0,1.14
S Dube,RR,1,1,12,12.0,1.14
A Badoni,SRH,2,1,24,24.0,0.97
V Kaverappa,SRH,1,1,18,18.0,0.97
VR Iyer,SRH,2,1,24,24.0,0.97
JG Bethell,SRH,3,1,48,48.0,0.97
