Date,Match_Num,Home,Away,Winner,POTM_performance,Top_Scorer,Top_Bowler,Match_Report
2025-03-01,62,GT,RR,RR,Rashid Khan (GT) -> 34* off 23 ; 2-32 (4.0),Naman Dhir (GT) -> 73* off 48,Swapnil Singh (RR) -> 3-29 (4.0),RR 203-7 (20.0) beat GT 182-6 (20.0) by 21 runs!
2025-03-02,63,PBKS,DC,DC,H Klaasen (PBKS) -> 97* off 68,H Klaasen (PBKS) -> 97* off 68,Mustafizur Rahman (DC) -> 2-24 (4.0),DC 173-3 (18.5) beat PBKS 172-4 (20.0) by 7 wickets!
2025-03-02,64,SRH,KKR,KKR,Noor Ahmad (KKR) -> 4-23 (4.0),D Padikkal (KKR) -> 64 off 40,Noor Ahmad (KKR) -> 4-23 (4.0),KKR 177-3 (20.0) beat SRH 162-7 (20.0) by 15 runs!
2025-03-03,65,RR,LSG,RR,BA Stokes (LSG) -> 90 off 49 ; 3-36 (4.0),BA Stokes (LSG) -> 90 off 49,JR Hazlewood (RR) -> 3-28 (4.0),RR 198-9 (19.4) beat LSG 196-5 (20.0) by 1 wicket!
2025-03-03,66,PBKS,GT,PBKS,H Klaasen (PBKS) -> 100 off 62,H Klaasen (PBKS) -> 100 off 62,Ravi Bishnoi (PBKS) -> 3-14 (1.5),PBKS 217-2 (20.0) beat GT 83-10 (9.5) by 134 runs!
2025-03-04,67,DC,RCB,DC,Sikandar Raza (DC) -> 39* off 28 ; 2-17 (2.5),N Sindhu (DC) -> 64 off 25,Harpreet Brar (RCB) -> 3-27 (4.0),DC 195-7 (20.0) beat RCB 117-10 (15.5) by 78 runs!
2025-03-04,68,KKR,LSG,LSG,MA Starc (KKR) -> 3-29 (4.0),D Padikkal (KKR) -> 55 off 43,MA Starc (KKR) -> 3-29 (4.0),LSG 180-6 (20.0) beat KKR 174-3 (20.0) by 6 runs!
2025-03-05,69,SRH,DC,SRH,P Simran Singh (SRH) -> 123* off 66,P Simran Singh (SRH) -> 123* off 66,C Sakariya (SRH) -> 2-26 (3.0),SRH 187-2 (17.5) beat DC 186-5 (20.0) by 8 wickets!
2025-03-05,70,KKR,PBKS,PBKS,RR Pant (PBKS) -> 56* off 41,RR Pant (PBKS) -> 56* off 41,Yash Thakur (PBKS) -> 2-20 (3.0),PBKS 190-4 (19.5) beat KKR 187-6 (20.0) by 6 wickets!
2025-03-06,71,CSK,PBKS,PBKS,T Natarajan (CSK) -> 3 off 2 ; 3-14 (4.0),J Fraser-McGurk (PBKS) -> 39 off 26,T Natarajan (CSK) -> 3-14 (4.0),PBKS 153-10 (19.3) beat CSK 113-10 (15.1) by 40 runs!
2025-03-07,72,SRH,LSG,SRH,Shahbaz Ahmed (LSG) -> 43 off 24 ; 3-26 (4.0),Shubman Gill (LSG) -> 56* off 45,Shahbaz Ahmed (LSG) -> 3-26 (4.0),SRH 195-6 (20.0) beat LSG 178-8 (20.0) by 17 runs!
2025-03-08,73,SRH,CSK,CSK,LS Livingstone (SRH) -> 60 off 36 ; 2-12 (2.0),TM Head (CSK) -> 64 off 37,YS Chahal (CSK) -> 3-22 (3.0),CSK 144-6 (17.2) beat SRH 143-10 (18.2) by 4 wickets!
2025-03-09,74,PBKS,CSK,PBKS,Washington Sundar (PBKS) -> 11 off 9 ; 5-28 (4.0),MP Stoinis (PBKS) -> 53 off 39,AR Patel (CSK) -> 5-19 (3.1),PBKS 146-10 (19.1) beat CSK 126-10 (14.2) by 20 runs!
