bowler,bowling_team,num_innings,runs,balls,wkts,fours,sixes,dots,ones,twos,threes,wides,noballs,economy,strike_rate,bpb,dot_%,3+_wkts,4+_wkts,5+_wkts,points,best_performance
KK Ahmed,GT,9,298,216,10,25,14,90,73,11,3,9,1,8.28,21.6,5.54,41.67,1,0,0,258.02,3-27 (24)
JC Archer,GT,12,368,264,10,30,16,102,90,23,3,6,1,8.36,26.4,5.74,38.64,0,0,0,246.38,2-38 (24)
Sikandar Raza,DC,11,343,239,10,28,12,65,116,15,3,4,0,8.61,23.9,5.98,27.2,0,0,0,228.83,2-17 (17)
Mohammed Siraj,MI,12,424,273,10,34,22,88,107,21,1,4,0,9.32,27.3,4.88,32.23,1,0,0,223.4,3-22 (24)
M Prasidh Krishna,DC,13,439,311,9,47,12,106,129,11,6,9,1,8.47,34.56,5.27,34.08,0,0,0,215.53,2-36 (24)
M Theekshana,MI,11,338,235,9,29,12,75,99,16,4,7,0,8.63,26.11,5.73,31.91,1,0,0,222.46,3-48 (24)
Mohammed Shami,GT,11,372,252,9,34,13,81,105,13,6,9,0,8.86,28.0,5.36,32.14,1,0,0,217.72,3-35 (24)
Avesh Khan,RCB,10,352,234,9,30,19,91,79,12,3,6,0,9.03,26.0,4.78,38.89,0,0,0,227.48,2-26 (24)
SH Johnson,SRH,7,260,164,9,25,9,49,66,12,3,5,2,9.51,18.22,4.82,29.88,0,0,0,223.57,2-35 (24)
Noor Ahmad,KKR,3,94,72,8,11,2,34,16,7,2,2,0,7.83,9.0,5.54,47.22,2,1,0,286.72,4-23 (24)
Abhishek Sharma,MI,6,133,88,8,11,6,28,36,7,0,3,0,9.07,11.0,5.18,31.82,2,0,0,240.27,3-25 (22)
Tanush Kotian,SRH,5,180,114,8,11,9,31,53,6,4,5,0,9.47,14.25,5.7,27.19,1,0,0,221.28,3-28 (18)
Mohammad Ghazanfar,GT,8,274,172,8,19,14,47,76,13,3,3,0,9.56,21.5,5.21,27.33,1,1,0,202.68,4-23 (18)
Harshit Rana,PBKS,7,205,162,7,15,9,59,71,7,1,3,0,7.59,23.14,6.75,36.42,0,0,0,220.62,2-16 (18)
TU Deshpande,RR,6,176,126,7,17,6,44,50,8,1,3,0,8.38,18.0,5.48,34.92,1,0,0,217.2,3-30 (24)
Rasikh Salam,LSG,4,154,96,7,16,8,36,32,4,0,2,0,9.62,13.71,4.0,37.5,1,0,0,221.36,3-24 (24)
Yash Thakur,PBKS,4,89,78,6,8,2,30,35,3,0,3,1,6.85,13.0,7.8,38.46,1,0,0,240.98,3-21 (24)
PWH de Silva,DC,11,346,258,6,25,13,82,116,17,5,3,0,8.05,43.0,6.79,31.78,0,0,0,183.81,2-30 (24)
Swapnil Singh,RR,3,109,72,6,13,4,26,26,3,0,1,0,9.08,12.0,4.24,36.11,2,0,0,215.85,3-38 (24)
NT Ellis,LSG,6,225,138,6,16,11,34,66,11,0,6,1,9.78,23.0,5.11,24.64,0,0,0,172.29,2-38 (24)
M Markande,LSG,7,210,150,5,11,10,41,79,7,2,6,1,8.4,30.0,7.14,27.33,0,0,0,173.68,2-23 (24)
Azmatullah Omarzai,RR,7,180,127,5,12,9,45,48,9,4,0,0,8.5,25.4,6.05,35.43,0,0,0,187.56,1-36 (24)
MJ Santner,KKR,9,285,192,5,21,11,56,81,19,4,4,0,8.91,38.4,6.0,29.17,0,0,0,164.33,2-20 (24)
VG Arora,KKR,6,183,114,5,18,7,35,46,3,5,2,0,9.63,22.8,4.56,30.7,1,0,0,171.01,3-38 (24)
JG Bethell,SRH,4,29,30,4,1,0,11,14,2,2,0,1,5.8,7.5,30.0,36.67,0,0,0,357.0,2-10 (12)
YS Chahal,CSK,6,158,113,4,14,6,38,48,4,3,1,0,8.39,28.25,5.65,33.63,1,0,0,168.63,3-22 (18)
A Nortje,LSG,6,193,138,4,14,8,45,58,11,2,3,0,8.39,34.5,6.27,32.61,0,0,0,165.48,2-40 (24)
G Coetzee,KKR,4,110,78,4,12,4,35,21,4,2,2,1,8.46,19.5,4.88,44.87,0,0,0,196.6,2-21 (18)
WG Jacks,LSG,10,170,120,4,13,8,38,56,5,0,4,0,8.5,30.0,5.71,31.67,0,0,0,163.07,1-16 (18)
R Ashwin,KKR,13,368,258,4,18,20,90,99,22,9,6,0,8.56,64.5,6.79,34.88,0,0,0,158.64,1-23 (18)
SM Curran,KKR,7,147,102,4,12,6,36,36,10,2,1,0,8.65,25.5,5.67,35.29,0,0,0,174.1,1-17 (12)
AS Roy,GT,7,225,156,4,17,9,46,73,7,4,3,1,8.65,39.0,6.0,29.49,0,0,0,154.61,2-31 (24)
PP Chawla,RR,6,195,131,4,17,6,38,56,10,4,3,0,8.93,32.75,5.7,29.01,0,0,0,155.74,2-39 (24)
JA Richardson,MI,2,76,48,4,10,2,19,13,2,2,1,0,9.5,12.0,4.0,39.58,1,0,0,197.85,3-37 (24)
Nithish Kumar Reddy,GT,6,115,66,4,9,4,10,37,4,2,4,0,10.45,16.5,5.08,15.15,0,0,0,141.32,1-9 (6)
GD Phillips,GT,5,123,72,3,11,6,20,28,7,0,1,0,10.25,24.0,4.24,27.78,0,0,0,139.1,1-45 (24)
KV Sharma,RCB,1,41,24,3,3,2,5,13,0,1,1,0,10.25,8.0,4.8,20.83,1,0,0,173.67,3-41 (24)
K Kartikeya,GT,1,25,24,2,3,0,11,7,3,0,0,0,6.25,12.0,8.0,45.83,0,0,0,213.58,2-25 (24)
AK Markram,SRH,4,40,36,2,4,1,19,7,4,1,0,0,6.67,18.0,7.2,52.78,0,0,0,207.83,1-15 (12)
MP Yadav,RR,3,92,66,2,8,3,26,20,7,2,2,0,8.36,33.0,6.0,39.39,0,0,0,157.39,1-20 (24)
R Parag,MI,2,67,48,2,6,1,10,27,2,2,0,0,8.38,24.0,6.86,20.83,0,0,0,131.73,2-30 (24)
DL Chahar,KKR,5,166,114,2,13,9,42,43,6,1,2,0,8.74,57.0,5.18,36.84,0,0,0,137.04,1-41 (24)
Mukesh Kumar,SRH,2,73,48,2,8,3,15,21,1,0,0,0,9.12,24.0,4.36,31.25,0,0,0,137.6,1-43 (24)
J Suchith,RCB,4,139,90,2,11,6,26,39,6,2,2,0,9.27,45.0,5.29,28.89,0,0,0,125.38,1-34 (18)
MP Stoinis,PBKS,8,150,91,2,9,7,21,41,11,2,3,0,9.89,45.5,5.69,23.08,0,0,0,114.96,1-25 (13)
RD Chahar,RCB,9,295,174,2,25,13,48,68,17,3,6,0,10.17,87.0,4.58,27.59,0,0,0,105.91,1-19 (18)
Ramandeep Singh,RCB,4,52,30,2,3,3,8,11,4,1,0,0,10.4,15.0,5.0,26.67,0,0,0,144.04,1-8 (6)
C Green,RCB,3,103,54,2,9,5,14,19,4,3,1,0,11.44,27.0,3.86,25.93,0,0,0,118.67,1-34 (24)
MJ Suthar,MI,1,47,24,2,4,3,6,10,1,0,1,0,11.75,12.0,3.43,25.0,0,0,0,139.83,2-47 (24)
HR Shokeen,RCB,2,57,25,2,7,2,4,8,3,1,0,0,13.68,12.5,2.78,16.0,0,0,0,115.46,2-10 (7)
K Rabada,DC,4,127,90,1,10,6,28,42,3,1,0,0,8.47,90.0,5.62,31.11,0,0,0,114.68,1-44 (24)
AJ Hosein,SRH,5,179,120,1,14,10,42,49,4,1,3,0,8.95,120.0,5.0,35.0,0,0,0,114.34,1-21 (24)
MADI Hemantha,CSK,2,80,48,1,7,3,9,26,1,2,0,0,10.0,48.0,4.8,18.75,0,0,0,91.17,1-41 (24)
Mohsin Khan,SRH,1,41,24,1,6,1,9,7,1,0,2,0,10.25,24.0,3.43,37.5,0,0,0,133.24,1-41 (24)
A Badoni,RCB,4,33,19,1,2,2,3,11,1,0,0,0,10.42,19.0,4.75,15.79,0,0,0,102.24,1-13 (6)
R Sai Kishore,RR,3,97,55,1,7,5,16,22,3,2,5,0,10.58,55.0,4.58,29.09,0,0,0,107.87,1-29 (18)
MM Sharma,DC,4,89,48,1,9,4,9,24,1,1,0,0,11.12,48.0,3.69,18.75,0,0,0,83.61,1-35 (24)
SN Thakur,DC,1,45,24,1,4,3,7,9,1,0,0,0,11.25,24.0,3.43,29.17,0,0,0,115.21,1-45 (24)
Gurjapneet Singh,RCB,1,48,24,1,5,2,7,7,1,2,1,0,12.0,24.0,3.43,29.17,0,0,0,114.91,1-48 (24)
N Rana,KKR,1,3,6,0,0,0,3,3,0,0,0,0,3.0,inf,inf,50.0,0,0,0,163.33,0-3 (6)
PN Mankad,RCB,1,4,6,0,0,0,2,4,0,0,0,0,4.0,inf,inf,33.33,0,0,0,121.66,0-4 (6)
SZ Mulani,MI,1,24,24,0,3,0,10,10,1,0,0,0,6.0,inf,8.0,41.67,0,0,0,139.26,0-24 (24)
DJ Hooda,GT,5,39,30,0,3,0,8,13,6,0,1,1,7.8,inf,10.0,26.67,0,0,0,115.41,0-10 (6)
D Ferreira,RCB,1,9,6,0,1,0,1,3,1,0,0,0,9.0,inf,6.0,16.67,0,0,0,74.2,0-9 (6)
Mujeeb Ur Rahman,RCB,1,36,24,0,3,1,6,12,1,1,1,0,9.0,inf,6.0,25.0,0,0,0,89.86,0-36 (24)
Shashank Singh,PBKS,1,36,24,0,2,2,4,16,0,0,0,0,9.0,inf,6.0,16.67,0,0,0,72.95,0-36 (24)
M Jansen,GT,3,86,57,0,12,1,21,16,5,2,0,0,9.05,inf,4.38,36.84,0,0,0,103.13,0-41 (24)
AD Russell,DC,3,84,54,0,7,2,8,31,6,0,1,0,9.33,inf,6.0,14.81,0,0,0,67.59,0-35 (24)
SP Narine,RR,4,153,96,0,10,9,30,41,6,0,6,0,9.56,inf,5.05,31.25,0,0,0,91.21,0-39 (24)
R Tewatia,GT,1,10,6,0,1,0,1,3,1,0,1,0,10.0,inf,6.0,16.67,0,0,0,73.09,0-10 (6)
MM Ali,RR,2,81,48,0,9,4,18,14,3,0,1,0,10.12,inf,3.69,37.5,0,0,0,99.08,0-43 (24)
LH Ferguson,SRH,2,61,36,0,7,2,10,15,2,0,2,0,10.17,inf,4.0,27.78,0,0,0,82.64,0-17 (12)
VR Iyer,SRH,3,107,60,0,13,4,15,26,2,0,1,0,10.7,inf,3.53,25.0,0,0,0,71.75,0-17 (12)
OEG Baartman,MI,2,77,39,0,6,3,7,15,5,3,0,1,11.85,inf,4.33,17.95,0,0,0,62.99,0-31 (18)
S Dube,RR,1,48,24,0,5,3,6,10,0,0,0,0,12.0,inf,3.0,25.0,0,0,0,70.58,0-48 (24)
N Sindhu,DC,1,25,12,0,2,1,1,6,1,1,0,0,12.5,inf,4.0,8.33,0,0,0,43.66,0-25 (12)
R Ravindra,GT,1,40,18,0,3,3,2,10,0,0,0,0,13.33,inf,3.0,11.11,0,0,0,42.47,0-40 (18)
Abdul Samad,LSG,1,14,6,0,1,1,1,2,1,0,0,0,14.0,inf,3.0,16.67,0,0,0,54.73,0-14 (6)
S Gopal,DC,2,33,12,0,1,4,3,3,1,0,0,0,16.5,inf,2.4,25.0,0,0,0,65.81,0-8 (6)
TH David,LSG,1,23,6,0,1,3,1,1,0,0,0,0,23.0,inf,1.5,16.67,0,0,0,43.44,0-23 (6)
