striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
SA Yadav,Pace,Middle,2,12,180,112,6,30.0,160.71,DC
KL Rahul,Pace,PP,2,10,180,97,2,90.0,185.57,SRH
Tarang Gohel,Spin,Middle,1,9,179,101,4,44.75,177.23,DC
Priyansh Arya,Spin,Middle,2,11,178,112,5,35.6,158.93,RCB
Tilak Varma,Pace,Middle,1,12,177,116,6,29.5,152.59,CSK
N Sindhu,Pace,PP,1,11,177,109,3,59.0,162.39,DC
SV Samson,Pace,PP,1,18,176,119,4,44.0,147.9,GT
N Sindhu,Pace,Death,2,8,175,63,6,29.17,277.78,DC
TP Ura,Spin,Middle,1,9,175,100,2,87.5,175.0,PBKS
FH Allen,Pace,PP,2,17,175,93,10,17.5,188.17,PBKS
SS Iyer,Pace,Middle,1,12,175,114,6,29.17,153.51,LSG
SP Narine,Pace,PP,2,17,175,145,7,25.0,120.69,KKR
R Parag,Pace,Middle,1,10,174,99,6,29.0,175.76,GT
Abishek Porel,Pace,Middle,1,13,174,112,5,34.8,155.36,RR
V Kohli,Spin,Middle,2,11,174,119,7,24.86,146.22,RR
MR Marsh,Pace,PP,2,10,173,97,0,,178.35,SRH
P Simran Singh,Spin,Middle,1,8,173,110,3,57.67,157.27,SRH
SV Samson,Spin,Middle,1,11,173,102,4,43.25,169.61,GT
Sameer Rizvi,Pace,Middle,1,13,172,115,3,57.33,149.57,LSG
Abhishek Sharma,Spin,PP,2,10,171,81,2,85.5,211.11,MI
JM Sharma,Pace,Death,1,8,171,78,2,85.5,219.23,RCB
CH Gayle,Pace,Middle,2,10,171,111,1,171.0,154.05,CSK
KA Pollard,Pace,Death,1,10,170,77,2,85.0,220.78,CSK
H Klaasen,Spin,Middle,2,12,170,118,3,56.67,144.07,CSK
RM Patidar,Spin,Middle,2,11,170,131,7,24.29,129.77,KKR
GJ Maxwell,Spin,PP,1,17,170,111,5,34.0,153.15,DC
JM Sharma,Pace,Middle,1,14,169,121,5,33.8,139.67,RCB
KL Rahul,Spin,Death,1,9,166,83,4,41.5,200.0,SRH
CH Gayle,Spin,Middle,1,10,166,101,5,33.2,164.36,CSK
KA Pollard,Pace,Middle,2,12,165,104,7,23.57,158.65,CSK
RD Rickelton,Pace,PP,1,12,165,107,5,33.0,154.21,LSG
RD Rickelton,Spin,PP,2,11,165,105,4,41.25,157.14,LSG
KL Rahul,Spin,PP,1,15,165,110,3,55.0,150.0,SRH
P Simran Singh,Spin,Middle,2,8,164,105,3,54.67,156.19,SRH
GJ Maxwell,Pace,Middle,2,8,163,94,2,81.5,173.4,DC
Aniket Verma,Pace,Middle,2,13,162,97,4,40.5,167.01,RR
Tarang Gohel,Spin,Middle,2,9,162,93,5,32.4,174.19,DC
YBK Jaiswal,Spin,Death,1,7,161,57,2,80.5,282.46,RR
Shashank Singh,Spin,Middle,1,17,160,125,9,17.78,128.0,PBKS
H Klaasen,Spin,Middle,1,6,159,108,4,39.75,147.22,CSK
Abhishek Sharma,Spin,Middle,2,9,158,101,4,39.5,156.44,MI
Shubman Gill,Spin,Middle,2,10,158,114,5,31.6,138.6,LSG
RD Rickelton,Pace,Middle,1,6,158,92,4,39.5,171.74,LSG
Tilak Varma,Spin,Middle,1,12,158,91,6,26.33,173.63,CSK
MJ Owen,Pace,PP,2,9,155,89,5,31.0,174.16,DC
V Kohli,Pace,Middle,2,6,154,109,1,154.0,141.28,RR
N Pooran,Pace,Death,2,10,153,53,7,21.86,288.68,MI
FH Allen,Spin,PP,2,10,153,98,3,51.0,156.12,PBKS
N Sindhu,Pace,Middle,1,12,153,105,3,51.0,145.71,DC
V Suryavanshi,Spin,PP,2,12,153,100,4,38.25,153.0,PBKS
JM Sharma,Spin,Death,2,15,152,86,11,13.82,176.74,RCB
N Pooran,Spin,Death,1,9,151,63,2,75.5,239.68,MI
T Stubbs,Pace,Middle,1,13,151,101,6,25.17,149.5,CSK
Chirag Jani,Pace,Middle,1,12,150,93,5,30.0,161.29,CSK
N Sindhu,Pace,Death,1,9,150,84,2,75.0,178.57,DC
VR Iyer,Spin,Middle,2,12,150,100,1,150.0,150.0,SRH
B Sai Sudharsan,Spin,PP,2,11,150,92,2,75.0,163.04,PBKS
P Simran Singh,Pace,Middle,2,8,148,89,3,49.33,166.29,SRH
WL Madsen,Spin,Middle,2,6,148,87,0,,170.11,MI
MJ Owen,Spin,Middle,2,11,147,95,8,18.38,154.74,DC
P Simran Singh,Spin,PP,2,10,145,96,3,48.33,151.04,SRH
Priyansh Arya,Pace,PP,1,11,145,108,3,48.33,134.26,RCB
J Fraser-McGurk,Spin,PP,2,9,144,73,2,72.0,197.26,KKR
JC Buttler,Pace,Middle,1,14,144,103,5,28.8,139.81,LSG
WG Jacks,Pace,PP,2,14,144,82,5,28.8,175.61,LSG
PD Salt,Spin,PP,1,10,143,80,4,35.75,178.75,RCB
BJ McMullen,Spin,PP,1,10,143,101,4,35.75,141.58,RR
C Green,Spin,Middle,1,12,143,92,7,20.43,155.43,KKR
GJ Maxwell,Spin,PP,2,13,143,80,2,71.5,178.75,DC
JP Inglis,Pace,PP,1,13,142,99,4,35.5,143.43,GT
Nithish Kumar Reddy,Spin,Middle,1,13,142,108,2,71.0,131.48,SRH
AB de Villiers,Spin,Middle,1,7,141,117,1,141.0,120.51,RR
SV Samson,Pace,Middle,2,10,141,97,6,23.5,145.36,GT
SA Yadav,Pace,PP,1,15,141,87,4,35.25,162.07,DC
Ishan Kishan,Pace,PP,2,8,141,96,4,35.25,146.88,MI
VR Iyer,Pace,Death,2,13,140,66,4,35.0,212.12,SRH
SP Narine,Spin,Middle,1,9,140,93,8,17.5,150.54,KKR
D Wiese,Pace,Death,1,7,137,51,3,45.67,268.63,GT
FH Allen,Pace,Middle,1,9,137,76,5,27.4,180.26,PBKS
Shashank Singh,Pace,Death,1,13,137,77,3,45.67,177.92,PBKS
SV Samson,Spin,Middle,2,11,136,99,5,27.2,137.37,GT
Arshad Khan,Pace,Death,2,15,136,70,4,34.0,194.29,DC
Shubman Gill,Pace,Middle,1,9,136,81,3,45.33,167.9,LSG
V Suryavanshi,Spin,Middle,1,16,136,104,10,13.6,130.77,PBKS
Arshad Khan,Pace,Death,1,10,136,62,2,68.0,219.35,DC
Atharva Taide,Pace,Middle,2,6,134,92,2,67.0,145.65,MI
C Green,Pace,Death,2,8,134,62,5,26.8,216.13,KKR
Aniket Verma,Pace,Middle,1,11,134,89,5,26.8,150.56,RR
YBK Jaiswal,Pace,PP,2,11,134,73,3,44.67,183.56,RR
N Rana,Pace,Middle,2,6,134,92,2,67.0,145.65,PBKS
Tarang Gohel,Pace,Middle,1,6,133,69,3,44.33,192.75,DC
N Rana,Pace,PP,1,12,133,79,3,44.33,168.35,PBKS
V Suryavanshi,Pace,Middle,1,9,133,96,5,26.6,138.54,PBKS
KL Rahul,Spin,PP,2,11,133,92,2,66.5,144.57,SRH
JC Buttler,Pace,Death,1,8,132,60,4,33.0,220.0,LSG
S Dube,Pace,PP,1,10,132,75,2,66.0,176.0,RR
AB de Villiers,Pace,Death,1,8,131,50,4,32.75,262.0,RR
TM Head,Pace,PP,2,10,131,86,2,65.5,152.33,
RG Sharma,Pace,Death,2,8,131,60,5,26.2,218.33,KKR
JP Inglis,Pace,Death,1,10,131,52,5,26.2,251.92,GT
MW Short,Pace,Middle,2,7,131,84,6,21.83,155.95,MI
C Green,Pace,Middle,1,12,131,82,7,18.71,159.76,KKR
SV Samson,Spin,PP,1,13,131,88,5,26.2,148.86,GT
GD Phillips,Pace,Death,2,8,131,52,3,43.67,251.92,GT
Smaran Ravichandran,Pace,Middle,1,15,130,106,6,21.67,122.64,PBKS
GJ Maxwell,Spin,Middle,2,10,130,88,4,32.5,147.73,DC
V Suryavanshi,Spin,Middle,2,8,130,89,5,26.0,146.07,PBKS
KL Rahul,Pace,Middle,2,11,130,115,1,130.0,113.04,SRH
Dhruv Jurel,Spin,Middle,2,7,129,94,2,64.5,137.23,KKR
BJ McMullen,Pace,PP,1,8,129,72,2,64.5,179.17,RR
SA Yadav,Pace,Death,1,8,129,48,3,43.0,268.75,DC
WG Jacks,Spin,PP,1,16,129,114,6,21.5,113.16,LSG
TM Head,Pace,Middle,2,9,129,90,4,32.25,143.33,
S Dube,Spin,PP,2,10,128,75,2,64.0,170.67,RR
Tanush Kotian,Spin,Death,2,8,128,54,2,64.0,237.04,CSK
Aniket Verma,Pace,Death,1,8,128,56,3,42.67,228.57,RR
PHKD Mendis,Pace,Death,2,8,127,56,5,25.4,226.79,DC
Tilak Varma,Spin,PP,1,12,127,94,4,31.75,135.11,CSK
JM Sharma,Spin,Death,1,6,126,57,1,126.0,221.05,RCB
Tanush Kotian,Pace,Death,2,10,126,57,6,21.0,221.05,CSK
MP Stoinis,Pace,PP,1,6,126,82,2,63.0,153.66,KKR
N Pooran,Spin,Middle,2,13,125,83,3,41.67,150.6,MI
RD Gaikwad,Spin,Middle,1,14,125,91,7,17.86,137.36,GT
Abishek Porel,Pace,PP,1,7,125,74,1,125.0,168.92,RR
N Pooran,Pace,Middle,1,14,125,87,4,31.25,143.68,MI
JP Inglis,Pace,Middle,2,13,124,86,4,31.0,144.19,GT
N Pooran,Pace,Death,1,11,124,73,8,15.5,169.86,MI
Aniket Verma,Spin,PP,1,8,124,75,4,31.0,165.33,RR
B Sai Sudharsan,Pace,Middle,2,8,123,106,4,30.75,116.04,PBKS
SP Narine,Pace,Middle,2,7,122,91,5,24.4,134.07,KKR
PD Salt,Pace,Middle,2,11,122,83,5,24.4,146.99,RCB
Shashank Singh,Pace,Death,2,10,122,51,3,40.67,239.22,PBKS
Rahul Singh,Spin,PP,2,5,121,60,1,121.0,201.67,RCB
CH Gayle,Pace,Death,2,5,120,50,2,60.0,240.0,CSK
MP Stoinis,Pace,Middle,2,3,120,65,0,,184.62,KKR
Chirag Jani,Pace,Death,1,9,120,65,5,24.0,184.62,CSK
Jay Gohil,Pace,Death,1,7,119,66,2,59.5,180.3,LSG
RD Gaikwad,Pace,Middle,2,6,118,65,4,29.5,181.54,GT
S Dube,Pace,PP,2,16,118,87,5,23.6,135.63,RR
N Sindhu,Pace,Middle,2,9,118,76,4,29.5,155.26,DC
N Wadhera,Pace,Death,1,14,117,75,8,14.62,156.0,KKR
BM Duckett,Pace,PP,2,10,116,82,2,58.0,141.46,SRH
JC Buttler,Spin,Middle,2,8,116,69,4,29.0,168.12,LSG
WG Jacks,Spin,Middle,2,9,116,86,7,16.57,134.88,LSG
JP Inglis,Spin,PP,1,12,116,77,5,23.2,150.65,GT
HH Pandya,Pace,Death,1,12,115,57,2,57.5,201.75,MI
T Stubbs,Spin,Death,1,11,115,56,2,57.5,205.36,CSK
MP Stoinis,Pace,PP,2,9,115,72,4,28.75,159.72,KKR
KA Pollard,Spin,Death,1,11,114,52,3,38.0,219.23,CSK
C Green,Pace,PP,1,13,114,81,6,19.0,140.74,KKR
JC Buttler,Pace,PP,1,11,114,92,3,38.0,123.91,LSG
Naman Dhir,Pace,PP,1,13,113,76,2,56.5,148.68,GT
Abdul Samad,Pace,Death,1,13,113,60,5,22.6,188.33,LSG
VR Iyer,Pace,Middle,2,9,113,85,3,37.67,132.94,SRH
SV Samson,Pace,Middle,1,9,113,83,5,22.6,136.14,GT
R Parag,Spin,Death,2,13,113,52,6,18.83,217.31,GT
SS Iyer,Spin,Middle,2,9,112,77,5,22.4,145.45,LSG
Tilak Varma,Pace,Middle,2,9,112,74,5,22.4,151.35,CSK
V Kohli,Spin,PP,1,8,112,57,3,37.33,196.49,RR
Shashank Singh,Pace,Middle,1,13,112,84,3,37.33,133.33,PBKS
HH Pandya,Spin,Death,1,11,111,56,5,22.2,198.21,MI
BJ McMullen,Spin,Middle,1,7,111,86,4,27.75,129.07,RR
PWH de Silva,Spin,PP,2,8,111,61,1,111.0,181.97,RCB
AD Russell,Pace,Death,1,5,110,52,1,110.0,211.54,DC
R Parag,Pace,Middle,2,11,110,68,1,110.0,161.76,GT
SP Narine,Spin,Middle,2,8,109,84,5,21.8,129.76,KKR
Naman Dhir,Pace,PP,2,11,109,63,1,109.0,173.02,GT
TH David,Spin,Middle,1,8,109,59,3,36.33,184.75,PBKS
Abishek Porel,Spin,Middle,1,11,109,80,4,27.25,136.25,RR
JJ Smit,Pace,Death,1,8,109,58,5,21.8,187.93,PBKS
KL Rahul,Pace,Middle,1,10,108,73,5,21.6,147.95,SRH
MR Marsh,Spin,PP,2,9,107,64,2,53.5,167.19,SRH
JM Sharma,Pace,Middle,2,13,107,73,3,35.67,146.58,RCB
KA Pollard,Pace,Death,2,4,107,46,1,107.0,232.61,CSK
MJ Owen,Spin,PP,2,6,107,54,1,107.0,198.15,DC
KL Rahul,Pace,PP,1,11,107,74,2,53.5,144.59,SRH
Suryansh Shedge,Pace,Death,2,9,106,57,6,17.67,185.96,CSK
TP Ura,Spin,Death,1,5,105,50,3,35.0,210.0,PBKS
TH David,Pace,Middle,1,9,105,66,3,35.0,159.09,PBKS
JM Sharma,Spin,Middle,1,8,105,62,1,105.0,169.35,RCB
Hassan Nawaz,Pace,Middle,1,7,105,69,3,35.0,152.17,RCB
B Sai Sudharsan,Spin,PP,1,10,105,84,2,52.5,125.0,PBKS
RD Rickelton,Spin,Middle,2,6,105,70,2,52.5,150.0,LSG
JP Inglis,Spin,Death,2,6,105,43,1,105.0,244.19,GT
RG Sharma,Pace,Middle,2,9,104,76,4,26.0,136.84,KKR
S Dube,Spin,PP,1,8,104,75,1,104.0,138.67,RR
VR Iyer,Spin,Death,1,9,104,55,3,34.67,189.09,SRH
Naman Dhir,Pace,Death,2,8,103,52,4,25.75,198.08,GT
Abishek Porel,Spin,Death,1,7,103,50,2,51.5,206.0,RR
Kartik Sharma,Spin,Middle,2,6,103,51,1,103.0,201.96,SRH
Ishaan Gadekar,Spin,Middle,2,7,103,58,5,20.6,177.59,SRH
WG Jacks,Spin,PP,2,11,102,74,3,34.0,137.84,LSG
Nithish Kumar Reddy,Pace,Middle,1,8,102,69,3,34.0,147.83,SRH
RG Sharma,Spin,Death,2,8,102,52,5,20.4,196.15,KKR
R Parag,Pace,Death,1,10,102,50,4,25.5,204.0,GT
RD Rickelton,Pace,PP,2,10,102,56,4,25.5,182.14,LSG
N Wadhera,Pace,Middle,1,8,101,88,0,,114.77,KKR
RD Gaikwad,Spin,PP,2,11,101,74,6,16.83,136.49,GT
TH David,Pace,Death,1,8,100,52,2,50.0,192.31,PBKS
PWH de Silva,Pace,Middle,1,4,100,48,1,100.0,208.33,RCB
Anmolpreet Singh,Spin,Death,1,8,100,48,2,50.0,208.33,CSK
Smaran Ravichandran,Pace,PP,2,8,100,75,3,33.33,133.33,PBKS
MW Short,Pace,PP,2,8,100,68,2,50.0,147.06,MI
Aniket Verma,Pace,PP,2,10,99,56,3,33.0,176.79,RR
C Green,Pace,PP,2,10,98,59,2,49.0,166.1,KKR
B Sai Sudharsan,Pace,Middle,1,7,98,81,3,32.67,120.99,PBKS
T Stubbs,Pace,Death,1,8,97,46,2,48.5,210.87,CSK
N Rana,Pace,PP,2,9,97,72,2,48.5,134.72,PBKS
J Fraser-McGurk,Pace,PP,2,7,97,55,3,32.33,176.36,KKR
WG Jacks,Spin,Death,1,4,97,47,2,48.5,206.38,LSG
AB de Villiers,Spin,Death,1,8,97,42,3,32.33,230.95,RR
SA Yadav,Pace,PP,2,8,97,56,2,48.5,173.21,DC
AB de Villiers,Spin,Middle,2,8,96,60,3,32.0,160.0,RR
AD Russell,Pace,Death,2,6,96,40,1,96.0,240.0,DC
Abdul Samad,Spin,Middle,1,9,96,97,2,48.0,98.97,LSG
BM Duckett,Pace,Middle,2,6,96,68,2,48.0,141.18,SRH
Sameer Rizvi,Pace,Middle,2,7,95,52,1,95.0,182.69,LSG
MJ Owen,Pace,Death,1,7,94,44,5,18.8,213.64,DC
Shadab Khan,Spin,Death,1,6,93,51,3,31.0,182.35,SRH
BM Duckett,Pace,PP,1,5,93,50,2,46.5,186.0,SRH
PWH de Silva,Pace,Middle,2,9,93,58,5,18.6,160.34,RCB
Abhishek Sharma,Pace,Middle,2,10,93,63,7,13.29,147.62,MI
KA Pollard,Spin,Middle,2,12,92,71,7,13.14,129.58,CSK
Utkarsh Singh,Spin,Death,1,6,92,42,3,30.67,219.05,PBKS
KL Rahul,Pace,Death,2,9,92,43,4,23.0,213.95,SRH
RA Jadeja,Spin,Death,2,11,92,49,4,23.0,187.76,SRH
N Rana,Spin,Middle,1,13,91,76,10,9.1,119.74,PBKS
RK Singh,Pace,Death,1,7,91,45,3,30.33,202.22,MI
Chirag Jani,Pace,Middle,2,6,91,49,3,30.33,185.71,CSK
Karan Shinde,Spin,Death,2,7,91,41,4,22.75,221.95,RCB
N Sindhu,Pace,PP,2,9,91,54,3,30.33,168.52,DC
N Wadhera,Spin,Death,1,8,90,54,3,30.0,166.67,KKR
Aniket Verma,Pace,PP,1,9,90,60,1,90.0,150.0,RR
GJ Maxwell,Pace,Death,2,5,90,39,1,90.0,230.77,DC
Chirag Jani,Spin,Middle,1,10,89,63,0,,141.27,CSK
Tarang Gohel,Spin,PP,1,5,89,53,1,89.0,167.92,DC
RD Gaikwad,Pace,Death,1,3,88,36,0,,244.44,GT
PHKD Mendis,Pace,Middle,2,6,88,51,2,44.0,172.55,DC
MR Marsh,Pace,Middle,2,7,88,54,2,44.0,162.96,SRH
Salil Arora,Spin,Middle,2,5,88,52,2,44.0,169.23,RCB
SS Iyer,Spin,PP,1,10,88,62,3,29.33,141.94,LSG
TM Head,Pace,Middle,1,3,87,58,1,87.0,150.0,
Salil Arora,Pace,PP,1,3,87,37,0,,235.14,RCB
MP Stoinis,Spin,PP,2,7,87,68,2,43.5,127.94,KKR
Shashank Singh,Spin,Middle,2,7,87,70,2,43.5,124.29,PBKS
PHKD Mendis,Spin,Middle,2,7,87,57,3,29.0,152.63,DC
RA Jadeja,Spin,Death,1,6,86,48,4,21.5,179.17,SRH
MR Marsh,Spin,Middle,2,8,86,65,5,17.2,132.31,SRH
C Green,Spin,Death,2,3,86,35,1,86.0,245.71,KKR
Aniket Verma,Pace,Death,2,6,86,37,3,28.67,232.43,RR
BM Duckett,Spin,PP,1,6,85,46,3,28.33,184.78,SRH
